N	2gram	Medvedev_V	Analitik
1	не только	26	71
2	и в	26	66
3	в качестве	12	61
4	но и	10	57
5	в том	15	52
6	может быть	23	52
7	в этом	29	51
8	в частности	12	51
9	как и	7	50
10	и не	20	48
11	а не	7	42
12	том что	8	40
13	то есть	1	35
14	так и	6	35
15	отнюдь не	4	29
16	как бы	5	29
17	не может	17	29
18	а в	3	28
19	в его	15	27
20	и его	6	27
21	не в	6	26
22	но не	2	26
23	всего лишь	3	24
24	в себе	6	24
25	не случайно	1	24
26	художественного целого	1	24
27	что в	11	22
28	и даже	2	22
29	к тому	5	22
30	в этой	4	22
31	лишь в	2	21
32	о том	10	20
33	в самом	4	19
34	то же	10	19
35	в своей	4	19
36	по отношению	7	19
37	с его	4	19
38	но в	2	19
39	в данном	1	18
40	произведения в	7	18
41	в то	6	18
42	отношению к	7	18
43	с другой	11	17
44	только в	8	17
45	со стороны	1	17
46	или иной	2	17
47	в целом	5	17
48	повестей белкина	1	16
49	что и	3	16
50	могут быть	8	16
51	то что	7	16
52	в пределах	5	16
53	между тем	6	15
54	уже не	1	15
55	прежде всего	13	15
56	в их	5	15
57	литературное произведение	1	15
58	не менее	2	14
59	той или	1	14
60	мы имеем	3	14
61	же время	5	14
62	данном случае	1	14
63	далеко не	3	14
64	по себе	2	13
65	точки зрения	3	13
66	тому же	1	13
67	он не	2	13
68	как раз	4	13
69	для него	9	13
70	а также	1	13
71	в начале	1	13
72	и к	3	12
73	и сам	2	12
74	никогда не	5	12
75	как это	12	12
76	сводится к	3	12
77	как в	1	12
78	еще не	2	12
79	произведения как	6	12
80	в конечном	7	12
81	в той	1	11
82	даже в	5	11
83	конечном счете	5	11
84	имеем дело	1	11
85	в свою	1	11
86	это не	7	11
87	можно сказать	4	11
88	и как	3	11
89	не с	2	11
90	не следует	8	11
91	именно в	3	10
92	все же	6	10
93	с одной	2	10
94	в конце	3	10
95	было бы	8	10
96	подобно тому	3	10
97	здесь не	1	10
98	того или	2	10
99	один из	6	10
100	на себя	1	10
101	говорить о	2	9
102	говорит о	7	9
103	не столько	2	9
104	в результате	5	9
105	другой стороны	8	9
106	одной стороны	2	9
107	свою очередь	1	9
108	том чтобы	2	9
109	в своем	8	9
110	по поводу	4	9
111	крайней мере	2	9
112	таким образом	32	9
113	во всех	7	9
114	за пределы	1	9
115	или иного	1	9
116	только не	2	9
117	вместе с	8	9
118	по крайней	2	9
119	тому как	3	9
120	того что	3	9
121	личности в	1	9
122	дело с	1	8
123	о чем	2	8
124	роль в	4	8
125	не всегда	2	8
126	я с	1	8
127	одной из	2	8
128	как известно	2	8
129	о его	2	8
130	с ним	1	8
131	если бы	3	8
132	и все	1	8
133	что он	4	8
134	перед нами	5	8
135	не является	5	8
136	в основе	1	8
137	хотя и	2	8
138	этом отношении	14	8
139	дело не	1	8
140	он и	2	8
141	в ходе	1	8
142	в году	7	7
143	во всяком	2	7
144	в противоположность	3	7
145	в другом	2	7
146	в одном	5	7
147	как мы	1	7
148	который в	2	7
149	одна из	4	7
150	внимание на	2	7
151	несмотря на	1	7
152	в ее	4	7
153	у него	6	7
154	в таком	1	7
155	как говорит	5	7
156	героя и	1	7
157	личности и	1	7
158	и тем	1	7
159	приводит к	6	7
160	собственно говоря	1	7
161	в соответствии	1	7
162	всяком случае	2	7
163	и для	2	7
164	все это	13	7
165	со своим	3	7
166	таком случае	1	7
167	на его	1	7
168	или иначе	1	7
169	во времени	1	7
170	художественного произведения	6	7
171	себя и	1	7
172	как будто	1	7
173	вплоть до	2	7
174	так или	1	6
175	или в	3	6
176	художественное произведение	7	6
177	казалось бы	1	6
178	при всей	2	6
179	хотя бы	20	6
180	вовсе не	3	6
181	из них	11	6
182	то в	1	6
183	что не	3	6
184	однако при	1	6
185	в силу	14	6
186	в нем	7	6
187	он был	1	6
188	если в	2	6
189	на этом	2	6
190	из которых	2	6
191	из того	1	6
192	из этих	7	6
193	соответствии с	1	6
194	в сознании	4	6
195	более чем	1	6
196	и то	1	6
197	ответ на	1	6
198	уже в	1	6
199	есть в	1	6
200	ли не	2	6
201	по его	2	6
202	должен быть	4	6
203	его в	3	6
204	тем более	1	6
205	же в	7	6
206	что на	1	6
207	к числу	1	5
208	по выражению	1	5
209	не как	1	5
210	а затем	2	5
211	в этих	1	5
212	в них	5	5
213	мысль о	2	5
214	тем что	1	5
215	или ином	1	5
216	речь идет	1	5
217	а а	1	5
218	исходя из	1	5
219	в котором	3	5
220	входит в	1	5
221	для того	3	5
222	в слове	3	5
223	может служить	1	5
224	к этому	9	5
225	и он	3	5
226	проявляется в	1	5
227	с другими	2	5
228	ни в	1	5
229	не о	2	5
230	будто бы	2	5
231	а всего	3	5
232	но как	3	5
233	а с	1	5
234	бы быть	1	5
235	и по	3	5
236	и потому	2	5
237	с ее	1	5
238	в особенности	2	5
239	том или	1	5
240	говорит и	8	5
241	романа в	1	5
242	не могут	10	5
243	самом деле	1	5
244	в романе	4	5
245	как о	3	5
246	к его	2	5
247	да и	2	5
248	в итоге	1	5
249	еще и	2	5
250	совершенно не	1	5
251	что мы	2	5
252	в роли	1	5
253	каждый из	1	5
