N	4gram	Tiupa_Lite	VLabPisa
1	в то же время	12	5
2	и в то же	1	3
3	с одной стороны и	1	2
4	и не может быть	1	2
5	приводит к тому что	1	2
6	чего бы не было	1	2
7	во всех этих и	1	2
8	только в том что	2	1
9	именно в том что	1	1
10	с этой точки зрения	3	1
11	него в конечном счете	1	1
12	не имеет ничего общего	1	1
13	не удивительно поэтому что	1	1
14	одно и то же	1	1
15	но с другой стороны	3	1
16	имеет ничего общего с	1	1
17	в конечном счете вся	2	1
18	и т п это	1	1
19	но в то же	1	1
20	с другой стороны он	1	1
21	для него в конечном	1	1
22	нет и не может	1	1
23	не говоря уже о	2	1
24	то же время она	1	1
25	мы имеем дело с	1	1
