N	2gram	Ircho_Kome	Poddanst
1	не только	12	17
2	и в	40	14
3	и не	19	12
4	в области	3	11
5	в этом	9	10
6	в отношении	6	10
7	н а	1	10
8	в том	19	9
9	то же	7	9
10	в качестве	8	9
11	но в	6	9
12	хотя бы	2	8
13	в пределах	1	8
14	только в	6	7
15	же время	5	7
16	в то	14	7
17	в судьбах	1	6
18	в ней	2	6
19	было бы	8	6
20	но и	14	6
21	может быть	16	5
22	отношении к	1	5
23	с другой	7	5
24	не в	8	5
25	и о	3	5
26	в которых	1	5
27	а н	1	5
28	в русской	1	4
29	и к	2	4
30	что в	12	4
31	в котором	6	4
32	по себе	2	4
33	и если	2	4
34	и потому	1	4
35	на пути	1	4
36	европейской культуры	2	4
37	не может	3	4
38	а в	9	4
39	то что	8	4
40	как бы	3	4
41	если бы	4	4
42	а также	5	4
43	в своем	6	4
44	л и	1	4
45	же в	7	4
46	том что	19	4
47	наряду с	7	3
48	в себе	3	3
49	ей в	1	3
50	с одной	5	3
51	мы не	4	3
52	это не	2	3
53	одной стороны	5	3
54	для того	3	3
55	между тем	9	3
56	хотя и	6	3
57	т е	14	3
58	с тем	5	3
59	потому что	8	3
60	прежде всего	8	3
61	вслед за	4	3
62	сводится к	1	3
63	тем самым	1	3
64	но не	3	3
65	могут быть	3	3
66	и т	11	3
67	и как	3	3
68	с ними	2	3
69	столь же	9	3
70	в порядке	2	3
71	в нем	8	3
72	и без	3	3
73	тот же	5	3
74	точки зрения	7	3
75	с этим	5	2
76	во всех	4	2
77	к началу	1	2
78	одних и	1	2
79	является в	1	2
80	и это	3	2
81	и других	7	2
82	было в	1	2
83	если в	3	2
84	более чем	4	2
85	о наследстве	1	2
86	и вот	4	2
87	время в	1	2
88	в значительной	1	2
89	том числе	4	2
90	теперь в	2	2
91	еще более	2	2
92	начала и	1	2
93	по сравнению	1	2
94	и весьма	1	2
95	в ее	2	2
96	и тем	2	2
97	того что	1	2
98	как раз	4	2
99	в частности	7	2
100	в его	8	2
101	и право	2	2
102	не о	1	2
103	а не	1	2
104	но о	1	2
105	все это	7	2
106	в которую	1	2
107	говорить о	3	2
108	в тот	1	2
109	света в	1	2
110	для них	2	2
111	может и	1	2
112	где в	1	2
113	и и	3	2
114	в виде	3	2
115	в них	7	2
116	не было	1	2
117	г и	8	2
118	ii в	4	2
119	и с	8	2
120	в начале	7	2
121	как на	2	2
122	в а	1	2
123	в общем	2	2
124	главным образом	4	2
125	особый и	1	2
126	именно в	5	2
127	в жизни	1	2
128	отношения к	1	2
129	и г	1	2
130	друг другу	2	2
131	iii в	7	2
132	в последние	2	2
133	во всей	1	2
134	помнить что	1	2
135	в силу	4	2
136	в северной	1	2
137	одна из	4	2
138	между прочим	2	2
139	в мире	3	2
140	например в	1	2
141	не менее	6	2
142	где бы	1	2
143	не столько	1	2
144	отнюдь не	2	2
145	и укрепить	1	2
146	со стороны	3	2
147	да и	5	2
148	точек зрения	2	2
149	в эту	2	2
150	культуры в	1	2
151	из них	16	2
152	тем более	1	2
153	образом на	1	2
154	что из	3	2
155	не к	2	2
156	бы ни	1	2
157	к сожалению	2	1
158	этих двух	1	1
159	и мир	2	1
160	были бы	1	1
161	xx в	1	1
162	представить себе	3	1
163	во всяком	4	1
164	и тех	1	1
165	и теперь	3	1
166	можем представить	1	1
167	выступает в	1	1
168	бы и	1	1
169	мы можем	6	1
170	средств в	2	1
171	сам как	1	1
172	и эти	1	1
173	на этой	1	1
174	демократическом строе	2	1
175	а с	1	1
176	в данном	1	1
177	с его	4	1
178	за то	4	1
179	в годы	7	1
180	в н	6	1
181	темы и	1	1
182	и более	2	1
183	можно говорить	1	1
184	те же	1	1
185	вместе с	8	1
186	и частной	1	1
187	и здесь	6	1
188	до тех	1	1
189	и на	9	1
190	отличие от	4	1
191	в самом	5	1
192	мир в	1	1
193	вопрос о	5	1
194	и очень	2	1
195	не означает	2	1
196	они не	1	1
197	в исторической	1	1
198	этой области	2	1
199	восходит к	4	1
200	них в	1	1
201	это в	1	1
202	только что	2	1
203	мысль и	1	1
204	в философии	2	1
205	усомниться в	2	1
206	вероятно что	3	1
207	они являются	1	1
208	также что	2	1
209	в действии	2	1
210	получили в	2	1
211	к этой	1	1
212	в основном	1	1
