N	3gram	Berdyaev_N	EvropaiE
1	с одной стороны	2	8
2	в том что	1	6
3	так же как	2	5
4	не только в	1	4
5	в последние годы	1	3
6	можно было бы	1	3
7	в этом смысле	2	3
8	же как и	1	3
9	заключает в себе	1	3
10	во всяком случае	1	3
11	в известном смысле	1	3
12	войны и революции	2	2
13	не может быть	4	2
14	в большинстве случаев	1	2
15	то что в	1	2
16	с другой стороны	2	2
17	в том случае	1	1
18	в эту эпоху	1	1
19	культура древнего египта	1	1
20	а не к	1	1
21	но и в	1	1
22	том числе и	1	1
23	то время как	1	1
24	власти и в	1	1
25	не может остаться	1	1
26	не быть в	1	1
27	в том смысле	1	1
28	в отличие от	1	1
29	культуры в ее	1	1
30	помнить что в	1	1
31	и того же	1	1
32	что в силу	1	1
33	не могут быть	1	1
34	нужно помнить что	1	1
35	хозяйственной жизни в	1	1
36	выходит за пределы	1	1
37	и не в	1	1
38	том случае если	1	1
39	процессы направленные к	1	1
40	та или иная	1	1
41	в том числе	1	1
42	это значит что	1	1
43	в своем развитии	1	1
44	и германии во	1	1
45	в то время	1	1
46	что в этом	1	1
47	в значительной степени	1	1
48	и для того	1	1
49	одного и того	1	1
50	не будет уже	1	1
