N	3gram	Berdyaev_O	KulturaY
1	для того чтобы	3	38
2	в том что	1	33
3	в самом деле	1	29
4	во всяком случае	1	19
5	и в самом	1	11
6	не может быть	2	11
7	в этом отношении	1	11
8	о том что	1	10
9	не в том	1	8
10	само по себе	1	8
11	в том случае	1	7
12	после того как	1	7
13	и в этом	2	5
14	я имею в	1	4
15	сам по себе	1	4
16	в иных случаях	1	4
17	смысле этого слова	1	4
18	на то что	1	4
19	имею в виду	1	4
20	и дело что	1	3
21	о том как	1	3
22	вместо того чтобы	1	3
23	с тем что	2	3
24	от того что	1	3
25	в виду не	1	3
26	и не в	1	3
27	не могут быть	2	3
28	том случае если	1	3
29	в противоречии с	1	2
30	и прежде всего	1	2
31	в каждом из	1	2
32	находится в противоречии	1	2
33	с вопросом о	1	2
34	в том-то и	1	2
35	в совершенно ином	1	2
36	потому что в	1	2
37	в строгом смысле	1	2
38	по природе своей	1	2
39	как например в	1	2
40	что же это	2	2
41	хотя и не	1	2
42	и в том	1	2
43	что не все	1	2
44	так и не	1	2
45	в другом месте	1	2
46	прежде всего в	1	2
47	по сравнению с	1	2
48	том-то и дело	1	2
49	должен был бы	1	2
50	в первый период	1	2
51	а вовсе не	1	2
52	это потому что	1	2
53	не потому ли	1	1
54	же это за	2	1
55	и мысли в	1	1
56	в братьях карамазовых	1	1
57	это не есть	1	1
58	и все это	1	1
59	что не в	1	1
60	ли сказать что	2	1
61	бы и не	1	1
62	том что в	1	1
63	и никогда не	2	1
64	в дневнике писателя	2	1
65	и вопрос о	1	1
66	свои силы в	1	1
67	бы в самой	1	1
68	и в его	1	1
69	и не может	1	1
70	как это часто	1	1
71	дана уже в	1	1
72	но и в	2	1
73	в том только	1	1
74	как и в	1	1
75	не было для	1	1
76	но к этому	1	1
77	можно ли сказать	2	1
78	не в силах	1	1
79	что и это	1	1
80	одно из самых	1	1
81	да и то	1	1
82	в этих словах	1	1
83	но в этой	1	1
84	и больше всего	1	1
85	и то что	1	1
86	и все же	1	1
87	потому что у	1	1
88	не могут и	1	1
89	это было бы	2	1
