N	2gram	Losev_Dial	VLabPisa
1	таким образом	14	32
2	в этом	14	29
3	не только	35	26
4	и в	34	26
5	и т	41	25
6	может быть	30	23
7	и не	50	20
8	хотя бы	9	20
9	т е	72	18
10	не может	29	17
11	в процессе	2	17
12	т д	38	16
13	в его	6	15
14	в том	17	15
15	этом отношении	2	14
16	в силу	5	14
17	все это	13	13
18	прежде всего	20	13
19	в качестве	1	12
20	вот что	1	12
21	в частности	3	12
22	как это	8	12
23	что в	12	11
24	с другой	5	11
25	из них	4	11
26	то же	9	10
27	не могут	6	10
28	о том	11	10
29	но и	14	10
30	для него	4	9
31	как видим	2	9
32	об этом	8	9
33	т п	1	9
34	к этому	3	9
35	могут быть	5	8
36	другой стороны	4	8
37	только в	10	8
38	на основании	3	8
39	все эти	4	8
40	вместе с	3	8
41	том что	18	8
42	ни один	2	8
43	было бы	13	8
44	в своем	7	8
45	это не	13	7
46	говорит о	5	7
47	в конечном	1	7
48	не было	6	7
49	очевидно что	1	7
50	тому что	5	7
51	как и	14	7
52	их в	2	7
53	действительности и	1	7
54	во всех	2	7
55	а не	39	7
56	то что	25	7
57	художественное произведение	1	7
58	же в	2	7
59	в нем	7	7
60	из этих	5	7
61	думается что	1	6
62	у него	2	6
63	более или	1	6
64	в порядке	1	6
65	все же	4	6
66	идеи и	2	6
67	это и	12	6
68	бы и	2	6
69	в искусстве	1	6
70	не в	11	6
71	так и	11	6
72	в себе	8	6
73	или менее	1	6
74	в зависимости	3	6
75	том же	1	6
76	и его	8	6
77	в то	9	6
78	образы и	1	5
79	утверждать что	6	5
80	даже в	1	5
81	в результате	7	5
82	в их	2	5
83	в них	6	5
84	связи с	3	5
85	конечном счете	1	5
86	как говорит	1	5
87	зависимости от	4	5
88	к тому	4	5
89	перед нами	5	5
90	не является	1	5
91	вот почему	3	5
92	и при	4	5
93	в одном	3	5
94	в пределах	1	5
95	же время	5	5
96	как бы	19	5
97	сказать что	7	5
98	и есть	24	5
99	никогда не	9	5
100	в самом	9	4
101	ее в	3	4
102	только что	7	4
103	познания и	2	4
104	вот как	2	4
105	в ее	5	4
106	как раз	11	4
107	можно сказать	5	4
108	что для	5	4
109	в этой	3	4
110	что все	16	4
111	что он	18	4
112	равно как	2	4
113	в виду	12	4
114	по существу	2	4
115	в романе	1	4
116	с тем	4	4
117	с ними	3	4
118	в своей	4	4
119	одном из	1	4
120	силу этого	3	4
121	должен быть	1	4
122	с его	7	4
123	чем же	3	4
124	в связи	3	4
125	в философии	1	4
126	это только	1	4
127	когда он	3	4
128	в нашей	1	4
129	их и	1	4
130	и сводится	3	4
131	одна из	4	4
132	можно утверждать	2	4
133	отнюдь не	16	4
134	во время	1	4
135	и ее	8	4
136	и к	5	3
137	что они	2	3
138	что оно	9	3
139	и он	3	3
140	что у	2	3
141	мы знаем	3	3
142	мы имеем	3	3
143	того что	22	3
144	никак не	3	3
145	но как	3	3
146	видеть в	1	3
147	утверждает что	3	3
148	что и	8	3
149	у нас	7	3
150	классовой природой	1	3
151	подобно тому	5	3
152	его в	2	3
153	творчества и	1	3
154	если бы	10	3
155	или в	4	3
156	сил и	2	3
157	в другую	1	3
158	это мы	1	3
159	опыта и	1	3
160	именно в	5	3
161	в конце	2	3
162	или иная	3	3
163	например в	3	3
164	момент в	1	3
165	между ними	1	3
166	и как	13	3
167	в слове	3	3
168	же и	2	3
169	в которых	1	3
170	не столь	1	3
171	что например	1	3
172	том как	2	3
173	и художественного	1	3
174	мира и	3	3
175	вовсе не	18	3
176	рассудок и	1	3
177	бы в	5	3
178	с этим	4	3
179	и мир	1	3
180	а в	3	3
181	говорил что	2	3
182	что не	8	3
183	как о	6	3
184	в котором	2	3
185	даже и	9	3
186	она не	10	3
187	в противоположность	3	3
188	говорить не	3	3
189	его не	3	3
190	но даже	4	3
191	того чтобы	1	3
192	для того	4	3
193	тому как	5	3
194	и трудно	1	3
195	и их	1	3
196	как он	4	3
197	вслед за	1	3
198	далеко не	1	3
199	этот вопрос	1	3
200	так же	7	3
201	при помощи	6	3
202	человека и	2	3
203	при всем	5	3
204	как на	6	3
205	нет и	5	3
206	та или	4	3
207	образом в	1	3
208	и от	4	3
209	точки зрения	43	3
210	жизни и	8	3
211	и по	2	3
212	всех этих	3	3
213	мы наблюдаем	1	2
214	в особенности	9	2
215	же о	1	2
216	представить себе	1	2
217	им как	1	2
218	только не	10	2
219	все его	2	2
220	и этот	1	2
221	из которых	4	2
222	они и	1	2
223	нет ни	5	2
224	от его	2	2
225	они не	3	2
226	на вопрос	1	2
227	самого себя	1	2
228	воплощение в	1	2
229	должно быть	7	2
230	того как	2	2
231	зависит от	4	2
232	при всей	1	2
233	с одной	4	2
234	должна быть	11	2
235	образа в	1	2
236	внимание на	1	2
237	тогда когда	9	2
238	смысле слова	1	2
239	через это	1	2
240	с нею	1	2
241	само собою	1	2
242	говорить о	13	2
243	да и	4	2
244	плана с	1	2
245	хотя и	9	2
246	связанное с	1	2
247	о чем	2	2
248	не приходится	2	2
249	одном и	1	2
250	после этого	2	2
251	в науке	3	2
252	что такое	25	2
253	и через	1	2
254	представления об	1	2
255	за эти	1	2
