N	4gram	Bakhtin_Fr	Analitik
1	в то же время	13	14
2	не что иное как	1	6
3	одного и того же	1	6
4	в той или иной	2	5
5	есть не что иное	1	5
6	и не может быть	1	4
7	дело в том что	2	3
8	одной и той же	2	3
9	бы то ни было	1	3
10	ни в коем случае	1	2
11	который в свою очередь	1	2
12	нет и не может	1	2
13	один и тот же	3	2
14	какой бы то ни	1	2
15	но в то же	7	2
16	то же время они	1	2
17	для более широкого и	1	1
18	мы имеем в виду	2	1
19	в том случае если	1	1
20	той или иной форме	1	1
21	и в данном случае	1	1
22	а не так как	1	1
23	в большей или меньшей	2	1
24	что в отличие от	1	1
25	большей или меньшей степени	2	1
26	на самом же деле	1	1
27	то же время оно	1	1
28	под этим углом зрения	1	1
29	свидетельствует о том что	1	1
30	в том числе и	3	1
31	или во всяком случае	1	1
32	мы встречаемся с ним	1	1
33	стороны одной и той	1	1
34	в конечном счете всегда	1	1
35	аспекта одного и того	1	1
36	в том же году	1	1
37	то же время он	1	1
38	одним и тем же	1	1
39	но дело здесь не	1	1
40	он не видит что	1	1
