N	2gram	Losev_Dial	Stilisti
1	и в	35	42
2	как бы	19	30
3	не только	26	28
4	прежде всего	14	22
5	хотя бы	6	18
6	то же	21	16
7	но и	17	16
8	и не	51	14
9	может быть	30	13
10	не может	16	13
11	как и	10	12
12	что мы	3	11
13	мы уже	8	11
14	точки зрения	25	11
15	в этом	18	10
16	в себе	23	10
17	и как	14	10
18	мы должны	6	10
19	как мы	5	10
20	отнюдь не	13	10
21	мы не	1	9
22	при этом	2	9
23	все же	9	9
24	язык и	1	9
25	то что	25	9
26	для того	2	9
27	в то	10	9
28	таким образом	5	8
29	так как	24	8
30	с тем	2	8
31	и это	6	8
32	в ней	4	8
33	тем самым	1	8
34	что же	5	8
35	ничего не	19	8
36	так и	18	7
37	мы можем	5	7
38	только в	7	7
39	в которой	3	7
40	зависимости от	2	7
41	и его	6	7
42	потому что	23	7
43	того чтобы	1	7
44	другими словами	2	7
45	и тем	2	7
46	же время	9	7
47	было бы	14	7
48	и той	1	7
49	той же	1	7
50	и от	5	7
51	в зависимости	2	7
52	а не	24	7
53	никогда не	18	7
54	во всех	3	6
55	в его	4	6
56	не в	12	6
57	в нем	25	6
58	в конце	5	6
59	но ведь	2	6
60	и так	2	6
61	на его	1	6
62	бы в	3	6
63	одно и	8	6
64	или как	2	6
65	когда мы	3	6
66	в этой	3	6
67	точку зрения	3	6
68	мы будем	2	6
69	или иной	4	6
70	в области	2	6
71	в той	4	5
72	в самом	6	5
73	то есть	1	5
74	уже в	5	5
75	и их	5	5
76	с точки	18	5
77	не является	3	5
78	в живом	1	5
79	все время	4	5
80	самом деле	6	5
81	но все	5	5
82	и с	10	5
83	но в	8	5
84	тому что	4	5
85	мы никогда	1	5
86	вместе с	3	5
87	точек зрения	3	5
88	своей жизни	1	5
89	того или	1	5
90	а с	2	5
91	мы увидим	2	5
92	и следовательно	7	5
93	слова и	1	5
94	как это	8	5
95	и является	2	5
96	а в	8	5
97	у которого	1	5
98	же самое	3	5
99	в сознании	3	5
100	и то	15	5
101	независимо от	2	5
102	и наконец	1	5
103	одной и	1	4
104	всего в	1	4
105	были бы	3	4
106	и к	8	4
107	мы видим	6	4
108	один из	3	4
109	всех своих	1	4
110	что это	21	4
111	на него	2	4
112	что такое	13	4
113	все это	14	4
114	в качестве	2	4
115	или иную	1	4
116	в одном	4	4
117	его в	3	4
118	если бы	12	4
119	и все	11	4
120	с самого	2	4
121	так сказать	1	4
122	к своему	1	4
123	да и	11	4
124	как только	4	4
125	уже не	3	4
126	к тому	6	4
127	о том	8	4
128	и без	1	4
129	вопроса о	1	4
130	той или	11	4
131	самого начала	2	4
132	в каждом	4	4
133	можно сказать	10	4
134	если мы	3	4
135	и пр	7	4
136	не существует	8	4
137	ту или	1	4
138	не что	4	4
139	можно было	5	4
140	или иное	5	4
141	на это	1	4
142	так же	6	4
143	в целом	1	4
144	не забудем	1	4
145	себя в	2	4
146	мы называем	1	4
147	тем же	3	4
148	не знаем	1	4
149	что именно	3	4
150	тех или	5	4
151	точка зрения	3	4
152	не просто	19	4
153	то или	5	4
154	которой мы	1	4
155	того что	6	4
156	не к	2	4
157	построения и	1	3
158	представить себе	2	3
159	не так	1	3
160	что оно	9	3
161	короче говоря	1	3
162	общества и	1	3
163	и здесь	1	3
164	та же	6	3
165	что у	3	3
166	зрения на	1	3
167	приближается к	1	3
168	что эти	3	3
169	как таковой	6	3
170	совершенно не	13	3
171	если он	1	3
172	для нас	1	3
173	и вот	10	3
174	в том	20	3
175	или иных	1	3
176	отношения к	3	3
177	несмотря на	12	3
178	для него	2	3
179	хотя и	4	3
180	в разных	6	3
181	ни на	8	3
182	в ее	3	3
183	забудем что	1	3
184	из которых	1	3
185	расстояние между	1	3
186	мы в	2	3
187	то мы	2	3
188	на самом	5	3
189	и уже	4	3
190	что и	7	3
191	в виду	9	3
192	быть может	5	3
193	между ними	1	3
194	и само	1	3
195	но что	10	3
196	в будущем	1	3
197	связи с	3	3
198	и даже	23	3
199	нам в	1	3
200	здесь мы	1	3
201	в основе	4	3
202	содержание и	2	3
203	но вот	5	3
204	допустим что	1	3
205	но для	2	3
206	и тому	1	3
207	может стать	1	3
208	все эти	4	3
209	как в	3	3
210	по своему	4	3
211	должно было	1	3
212	том что	18	3
213	бы мы	2	3
214	об этом	7	3
215	конце концов	4	3
216	слова о	1	3
217	перед нами	3	3
218	еще не	4	3
219	но при	1	3
220	только благодаря	2	3
221	его и	1	3
222	то он	2	3
223	нуждается в	6	3
224	выражение в	1	3
225	мертвых душ	1	3
226	а к	1	3
227	в котором	5	3
228	что всякое	1	3
229	если не	1	3
230	этом мы	1	3
231	и поэтому	1	3
232	между тем	3	3
233	явления природы	1	3
234	не знает	2	3
235	в частности	4	3
236	только на	3	3
237	не с	5	3
238	через нее	1	3
239	в тех	2	3
240	о своем	2	3
241	конечно не	9	3
242	от того	2	3
243	ведь если	1	3
244	их в	2	3
245	не становится	1	3
246	заметить что	2	3
247	нет и	2	3
248	не будет	2	3
249	сказать что	19	3
250	главным образом	2	3
251	может показаться	1	3
252	будем говорить	2	3
253	в голову	2	3
