N	2gram	Berdyaev_V	Hudozhes
1	то есть	1	26
2	в мире	5	24
3	и в	16	23
4	не только	2	20
5	в том	3	20
6	может быть	1	19
7	и не	20	16
8	тогда как	1	15
9	но и	5	14
10	а не	7	13
11	но не	2	13
12	а в	2	13
13	я в	1	13
14	в этом	4	12
15	то же	1	12
16	так и	4	12
17	как бы	5	11
18	в его	4	11
19	но в	3	10
20	том что	2	9
21	с другой	1	9
22	в искусстве	1	9
23	не в	3	9
24	что в	3	7
25	в самом	1	7
26	только в	2	7
27	в своей	3	7
28	как это	1	7
29	лишь в	3	7
30	отношение к	1	7
31	другой стороны	1	6
32	уже не	2	6
33	с его	3	6
34	в ее	1	6
35	в нем	4	6
36	ни в	3	5
37	в виду	1	5
38	что он	4	5
39	того чтобы	2	5
40	для того	1	5
41	для него	2	5
42	того что	5	5
43	прежде всего	2	5
44	в их	1	5
45	то что	9	5
46	могут быть	2	5
47	для себя	1	4
48	по пути	5	4
49	еще не	8	4
50	говорить о	4	4
51	в своем	1	4
52	к тому	3	4
53	и то	2	4
54	это не	2	4
55	в этих	3	4
56	в себя	2	4
57	между тем	2	4
58	и тем	1	4
59	и что	3	4
60	в форме	2	4
61	со своей	1	4
62	хотя и	5	4
63	человеческой жизни	1	3
64	и на	1	3
65	с этой	1	3
66	о чем	1	3
67	и сам	2	3
68	в жизни	3	3
69	как и	4	3
70	их в	3	3
71	себя и	1	3
72	в роли	1	3
73	в противоположность	1	3
74	к нему	1	3
75	потому что	4	3
76	в одном	1	3
77	и внешней	1	3
78	и для	3	3
79	человека к	1	3
80	или даже	1	3
81	во всех	3	3
82	личности и	3	3
83	в которой	1	3
84	не будет	2	3
85	не случайно	1	3
86	в целом	1	3
87	и ее	1	3
88	ведет к	1	2
89	мире и	1	2
90	и другие	1	2
91	один из	2	2
92	и который	1	2
93	с ним	2	2
94	в них	3	2
95	оно не	3	2
96	все эти	3	2
97	значения и	2	2
98	с ними	1	2
99	в одно	1	2
100	как в	1	2
101	роль в	1	2
102	к бытию	3	2
103	жизни в	1	2
104	ни для	1	2
105	в известном	1	2
106	еще и	1	2
107	не могли	2	2
108	во мне	4	2
109	не всегда	1	2
110	речь идет	1	2
111	говорит что	1	2
112	вслед за	2	2
113	и это	2	2
114	превращается в	3	2
115	так же	1	2
116	я думаю	2	2
117	одна из	2	2
118	этого слова	1	2
119	на котором	1	2
120	не просто	1	2
121	никогда не	3	2
122	и по	1	2
123	жизни но	1	2
124	бы то	1	2
125	но от	1	2
126	ее в	2	2
127	все это	5	2
128	что и	3	2
129	к жизни	1	2
130	слова не	1	2
131	у него	1	2
132	ведет по	2	2
133	тому что	3	2
134	я не	1	2
135	мира и	1	2
136	в чем	3	2
137	вовсе не	1	2
138	и потому	7	2
139	но как	1	2
140	а с	2	2
141	на этом	1	2
142	человеческого бытия	1	2
143	то ни	1	2
144	но она	1	2
145	не с	2	2
146	нового времени	1	2
147	человека и	6	2
148	этом мире	1	2
149	в этой	1	2
150	известном смысле	1	2
151	тот кто	2	2
152	и развитием	1	2
153	не сумеет	1	2
154	мира в	2	2
155	мира с	1	2
156	с которыми	1	1
157	от него	2	1
158	все что	4	1
159	и против	3	1
160	это тот	1	1
161	за ним	3	1
162	же и	1	1
163	другом но	1	1
164	и свою	1	1
165	если в	1	1
166	которая в	1	1
167	того кому	1	1
168	живет в	1	1
169	личностью и	1	1
170	теперь в	1	1
171	думаю что	1	1
172	что это	1	1
173	с внутренним	1	1
174	ты и	1	1
