N	2gram	Tiupa_Narr	SlovoVZh
1	не может	10	16
2	может быть	25	14
3	точки зрения	10	14
4	как бы	4	13
5	и его	5	13
6	таким образом	1	12
7	и в	19	12
8	отношению к	6	11
9	по отношению	7	11
10	и не	20	10
11	если бы	1	9
12	прежде всего	4	8
13	для нас	1	7
14	сказать что	4	7
15	все время	1	6
16	в ней	3	6
17	в том	18	6
18	в процессе	1	6
19	только в	4	6
20	в нем	4	6
21	при этом	9	6
22	к содержанию	3	6
23	и др	2	5
24	можно сказать	5	5
25	что мы	2	5
26	героя и	4	5
27	хотя бы	4	5
28	должна быть	2	5
29	то же	4	5
30	к предмету	1	5
31	а не	12	5
32	в виду	1	5
33	то что	11	5
34	как и	7	5
35	как в	7	5
36	отнюдь не	5	5
37	том что	14	5
38	но в	6	5
39	никогда не	3	5
40	в самом	1	4
41	и к	1	4
42	высказывания как	1	4
43	в литературе	2	4
44	и на	3	4
45	не только	32	4
46	ни было	3	4
47	и является	1	4
48	на самом	1	4
49	от того	1	4
50	его в	2	4
51	с другой	8	4
52	не в	14	4
53	дело в	1	4
54	отношение к	2	4
55	что не	4	4
56	так и	9	4
57	уже не	5	4
58	жизни и	3	4
59	в этом	17	4
60	все же	7	4
61	к нему	5	4
62	бы то	3	3
63	как к	2	3
64	и с	4	3
65	до сих	1	3
66	и более	1	3
67	в котором	1	3
68	с героем	1	3
69	и по	1	3
70	и пр	1	3
71	мы не	1	3
72	то ни	3	3
73	между тем	3	3
74	для него	2	3
75	с ним	1	3
76	того что	2	3
77	быть и	1	3
78	и уже	1	3
79	когда он	3	3
80	тем не	3	3
81	ни в	3	3
82	в пределах	2	3
83	по себе	5	3
84	так же	2	3
85	в них	1	3
86	этой точки	2	3
87	самом деле	2	3
88	в себе	8	3
89	все эти	2	3
90	о том	6	3
91	здесь не	4	3
92	не менее	3	3
93	в художественном	1	3
94	нуждается в	5	3
95	да и	4	3
96	но и	23	3
97	и для	2	3
98	точек зрения	2	3
99	точка зрения	6	3
100	и ее	2	3
101	и наконец	1	3
102	сих пор	1	3
103	и вообще	1	3
104	внутренней речи	1	3
105	еще не	7	3
106	в особенности	4	2
107	что в	3	2
108	этих двух	1	2
109	нет ничего	1	2
110	но это	1	2
111	не так	1	2
112	и потому	2	2
113	вместе со	1	2
114	ни на	1	2
115	и то	1	2
116	опираясь на	1	2
117	мы можем	1	2
118	героя или	1	2
119	в данном	5	2
120	в то	3	2
121	еще раз	1	2
122	данном случае	4	2
123	и закономерностью	1	2
124	зависит от	2	2
125	с одной	7	2
126	совпадает с	1	2
127	уже в	3	2
128	высказывания и	3	2
129	форма высказывания	2	2
130	в его	9	2
131	с этой	1	2
132	она не	2	2
133	это не	2	2
134	одной стороны	7	2
135	как уже	1	2
136	довлеет себе	1	2
137	дело с	2	2
138	с точки	2	2
139	мы имеем	2	2
140	с чисто	1	2
141	на него	3	2
142	в себя	6	2
143	от всех	2	2
144	как это	6	2
145	те же	4	2
146	но все	4	2
147	но зато	1	2
148	если же	1	2
149	что и	1	2
150	в форме	5	2
151	же самое	1	2
152	другой стороны	4	2
153	слушателя в	1	2
154	как не	1	2
155	есть уже	1	2
156	тому же	5	2
157	связь с	1	2
158	оно не	2	2
159	как же	1	2
160	эта возможность	1	2
161	и здесь	1	2
162	не довлеет	1	2
163	и все	2	2
164	в комнате	1	2
165	но не	6	2
166	быть только	1	2
167	его как	2	2
168	не есть	3	2
169	могут быть	3	2
170	и оценки	1	2
171	с другими	1	2
172	из общей	1	2
173	в своем	2	2
174	в какой	2	2
175	имеет место	4	2
176	между ними	2	2
177	место в	1	2
178	к его	1	2
179	говорящего но	1	2
180	оценки и	1	2
181	до известной	1	2
182	с его	6	2
183	себя и	2	2
184	является для	1	2
185	известной степени	1	2
186	бы не	2	2
187	между собой	2	2
188	он не	3	2
189	независимо от	2	2
190	не отражает	1	2
191	в чем	1	2
192	делает его	1	2
193	и совершенно	1	2
194	точку зрения	4	2
195	как только	1	2
196	едва ли	1	2
197	ничего не	2	2
198	жизнью и	2	2
199	возможна только	1	2
200	более того	1	2
201	в русской	1	1
202	к одному	1	1
203	себе оно	1	1
204	было на	1	1
205	этих свойств	1	1
206	то в	6	1
207	от него	1	1
208	это и	3	1
209	и тех	1	1
210	поэтикой и	1	1
211	что они	3	1
212	его и	1	1
213	является в	1	1
214	нему в	1	1
215	входя в	1	1
216	во всех	1	1
217	события а	2	1
218	не является	8	1
219	следует отметить	2	1
220	а с	3	1
221	если оно	1	1
222	что оно	1	1
223	и он	3	1
224	та же	2	1
225	было в	2	1
226	зрения на	2	1
227	основе своей	4	1
228	на этом	1	1
229	не отвечает	1	1
230	них в	1	1
231	мы воспринимаем	1	1
232	бы но	1	1
233	и было	1	1
234	то есть	19	1
235	поскольку мы	1	1
236	нельзя было	1	1
237	и сейчас	2	1
238	материала в	1	1
