N	3gram	Tiupa_Disk	Problema
1	тем не менее	1	56
2	о том что	8	39
3	в том что	18	37
4	то же самое	2	30
5	в связи с	1	29
6	в данном случае	6	28
7	той или иной	6	26
8	по крайней мере	3	26
9	во всяком случае	2	25
10	с другой стороны	4	25
11	с точки зрения	3	25
12	в таком случае	1	23
13	содержит в себе	3	23
14	сам по себе	1	21
15	и то что	2	20
16	на то что	1	19
17	в этом смысле	1	19
18	как раз и	1	18
19	то есть в	2	17
20	в то же	7	17
21	как будто бы	2	14
22	до сих пор	1	14
23	в этом случае	3	14
24	сами по себе	2	13
25	того или иного	2	13
26	на самом деле	1	13
27	не может быть	5	12
28	можно сказать что	3	12
29	дело в том	3	11
30	тех или иных	1	11
31	или по крайней	1	11
32	с одной стороны	12	11
33	в той или	1	10
34	вместе с тем	1	10
35	более или менее	2	10
36	только то что	2	10
37	не только в	2	10
38	еще не есть	1	9
39	что же касается	4	9
40	не говоря уже	2	9
41	только в том	2	8
42	заключается в том	1	8
43	о том как	1	7
44	говоря уже о	2	7
45	но в таком	1	7
46	к тому же	4	7
47	в чистом виде	1	7
48	с самого начала	2	7
49	в том или	1	7
50	это и есть	1	7
51	только потому что	1	7
52	обратить внимание на	2	7
53	тот или иной	2	7
54	и как бы	5	6
55	в самом деле	1	6
56	и тем более	1	6
57	и то же	2	6
58	так и в	4	6
59	но отнюдь не	2	6
60	то что в	1	6
61	или иной мере	1	6
62	на первый взгляд	1	6
63	в этом отношении	4	6
64	хотя бы и	1	5
65	свидетельствует о том	1	5
66	в чем не	1	5
67	в первую очередь	3	5
68	пока еще не	3	5
69	а также и	1	5
70	та или иная	1	5
71	в том числе	3	5
72	сказать и о	2	5
73	с той или	2	5
74	и прежде всего	2	5
75	том или ином	1	5
76	одно и то	2	5
77	том что он	1	5
78	ни в чем	1	5
79	на том что	1	4
80	дело не в	1	4
81	друг от друга	1	4
82	том числе и	3	4
83	но все же	1	4
84	то есть по	1	4
85	мы имеем дело	3	4
86	и потому что	1	4
87	и тем же	1	4
88	в том чтобы	2	4
89	также и в	1	4
90	в себе не	2	4
91	в другом случае	1	4
92	а с другой	4	4
93	не то чтобы	2	4
94	равно как и	1	4
95	требует для себя	1	4
96	мы все же	1	4
97	в это время	1	4
98	ту или иную	1	4
99	одним и тем	1	4
100	как мы видели	1	4
101	подобно тому как	4	4
102	можно даже сказать	1	4
103	во всех этих	1	4
104	в новое время	1	4
105	одной стороны и	3	3
106	в результате этого	1	3
107	в отличие от	12	3
108	и того же	4	3
109	не имеют никакого	1	3
110	имея в виду	1	3
111	в тех случаях	1	3
112	как и вообще	1	3
113	то что и	2	3
114	что не только	1	3
115	как и в	3	3
116	не является ни	1	3
117	одной стороны это	1	3
118	именно в этом	1	3
119	тех случаях когда	1	3
120	том что и	1	3
121	тем что он	2	3
122	никак не могут	1	3
123	тем более не	1	3
124	прежде всего как	1	3
125	одного и того	4	3
126	хотя и в	2	3
127	и в то	2	3
128	том что в	3	3
129	же самое можно	1	3
130	в известном смысле	1	3
131	и может быть	3	3
132	в русской литературе	2	3
133	далеко не все	1	3
134	но и о	1	3
135	имеют никакого отношения	1	3
136	далеко не всегда	1	3
137	а часто и	1	2
138	точка зрения на	1	2
139	по отношению к	13	2
140	а в том	2	2
141	не совпадает с	1	2
142	в частности в	2	2
143	не может существовать	1	2
144	том что не	1	2
145	между тем как	1	2
146	но также и	1	2
147	можно говорить о	1	2
148	и по своему	1	2
149	в целом и	1	2
150	и все прочие	1	2
151	мысль о том	1	2
152	в этом же	1	2
153	все дело в	1	2
154	того и другого	1	2
155	том что всякое	1	2
156	в нем только	1	2
157	и все же	3	2
158	при переходе от	1	2
159	все того же	1	2
160	что он не	1	2
161	а не только	2	2
162	до нас в	1	2
163	модель художественного произведения	1	2
164	друг на друга	1	2
165	зашла речь о	1	2
166	между собой и	1	2
167	к тому или	1	2
168	не было и	1	2
169	которая может быть	1	2
170	другой стороны это	1	2
171	а не в	2	2
172	перед нами не	1	2
173	себя не только	1	2
174	в свою очередь	3	2
175	и в том	1	2
176	на русском языке	1	2
177	и не может	3	2
178	тому или иному	1	2
179	внимание на то	1	2
180	в том и	1	2
181	он не просто	1	2
182	у пушкина и	1	2
183	даже сказать что	1	2
184	человеческой жизни в	1	2
185	в том случае	1	2
186	и на его	1	2
187	здесь как и	1	2
188	том что вся	1	2
189	что не есть	1	2
190	хотя бы на	1	2
191	и не только	2	2
192	здесь пока еще	1	2
193	в основе своей	4	2
194	самое можно сказать	1	2
195	тем самым он	1	1
196	только при наличии	1	1
197	чего не было	1	1
198	в большинстве случаев	2	1
199	и в другом	1	1
200	в пиковой даме	1	1
201	и требует для	2	1
202	и фактической истории	1	1
203	в своей основе	1	1
204	таким же образом	1	1
205	при этом в	2	1
206	что в них	2	1
207	самым он не	1	1
208	в самом общем	2	1
209	но при этом	3	1
210	я на дорогу	1	1
211	именно в этой	1	1
212	из них в	1	1
213	речь идет о	2	1
214	может и должен	1	1
215	по аналогии с	2	1
216	и далеко не	1	1
217	для этого она	1	1
218	даже помимо воли	1	1
219	человеческого я в	1	1
220	приходит в голову	1	1
221	до настоящего времени	1	1
222	говорит как о	1	1
223	которая пока еще	1	1
224	уже одно это	1	1
225	как известного рода	1	1
226	такой же мере	1	1
227	она еще не	1	1
228	и не быть	1	1
229	может и не	1	1
230	в евгении онегине	1	1
231	а потом и	2	1
232	и что эту	1	1
233	в россии в	1	1
234	и том же	1	1
235	в основе этих	1	1
236	дело не с	2	1
237	том что ни	2	1
238	как учение о	1	1
239	приходит к выводу	1	1
240	образом свидетельствует о	1	1
241	и в особенности	2	1
242	даже не только	1	1
243	с опорой на	1	1
244	что ни один	1	1
245	и в наше	1	1
246	может быть в	1	1
247	это пока еще	1	1
248	времени и пространства	2	1
249	в этом диалоге	1	1
250	места и времени	1	1
251	актеров на сцене	1	1
252	или иной области	1	1
253	может претендовать на	3	1
254	состоит в том	3	1
255	и один из	1	1
256	из того что	1	1
257	имеем дело не	2	1
258	в одной из	2	1
259	одном и том	1	1
260	и должно было	1	1
261	добра и зла	1	1
262	один я на	1	1
263	как и все	1	1
264	котором он говорит	1	1
265	которые лежат в	1	1
266	одной стороны он	1	1
267	так и его	1	1
268	еще в одном	2	1
269	вопросом о том	1	1
270	о чем не	2	1
271	мы ничего не	1	1
272	тем или иным	1	1
273	в данном конкретном	1	1
274	если в его	1	1
275	том случае если	1	1
276	что представляет собой	1	1
277	зрения на него	1	1
278	легко может быть	1	1
279	до наших дней	1	1
280	в искусстве не	1	1
281	к мысли о	1	1
282	предстают перед нами	1	1
283	это прежде всего	3	1
284	прежде всего в	2	1
285	о любви и	1	1
286	а не от	1	1
287	в области художественного	1	1
288	трагедии и в	1	1
289	самого начала мы	1	1
290	но здесь это	2	1
291	v-iv вв до	1	1
292	не только потому	1	1
293	тому как мы	1	1
294	быть и не	1	1
295	не только по	1	1
296	данном случае мы	1	1
297	до известной степени	2	1
298	во главе с	1	1
299	является такого рода	1	1
300	уже не является	2	1
301	и это он	1	1
302	ничего не знаем	1	1
303	на известного рода	1	1
304	он не может	1	1
305	так и от	1	1
306	в котором он	1	1
307	но далеко не	1	1
308	было и не	1	1
309	не в том	3	1
310	обнаруживает себя в	1	1
311	себя в нем	1	1
312	во втором случае	1	1
313	да и само	1	1
314	вольно или невольно	2	1
315	в такой же	1	1
316	о том какое	1	1
317	ни о чем	2	1
318	далеко не всякая	1	1
319	как и всякий	1	1
320	но для этого	1	1
321	не только о	1	1
322	в себе те	1	1
323	и времени в	1	1
324	далеко еще не	3	1
325	не могут быть	1	1
326	имеет отношение к	1	1
327	по сути дела	3	1
328	по себе не	2	1
329	значении этого слова	1	1
330	о котором он	1	1
331	в наше время	4	1
332	но в случае	1	1
333	то есть без	1	1
334	несмотря на все	1	1
335	но и к	1	1
336	в понятии же	1	1
337	том и в	1	1
338	точки зрения на	1	1
339	тут все дело	1	1
340	то же время	9	1
341	в этом последнем	1	1
342	жизни то есть	1	1
343	не могу не	1	1
344	и не к	1	1
345	друг друга и	1	1
346	в виде вещей	1	1
347	лежат в основе	1	1
