N	2gram	Medvedev_U	Problema
1	и в	14	182
2	то есть	1	165
3	и не	8	152
4	то что	7	144
5	не есть	2	113
6	не только	10	104
7	в этом	7	88
8	может быть	6	82
9	в том	2	81
10	том что	2	81
11	только в	2	73
12	сказать что	1	72
13	но и	4	70
14	в виде	1	69
15	у нас	3	68
16	и даже	1	66
17	по себе	2	64
18	даже и	2	63
19	о том	1	57
20	а не	10	56
21	так и	1	56
22	но в	3	55
23	в себе	2	48
24	отнюдь не	1	48
25	было бы	3	46
26	прежде всего	8	45
27	в своей	3	45
28	что в	1	44
29	в его	2	44
30	не в	2	43
31	то же	5	42
32	как раз	2	42
33	таким образом	2	42
34	и что	1	40
35	и то	3	40
36	что он	2	40
37	что мы	2	40
38	не может	7	39
39	в этой	4	39
40	в данном	1	38
41	хотя бы	5	37
42	в нем	1	37
43	того что	1	37
44	и все	1	36
45	в виду	1	34
46	уже не	1	34
47	и с	2	34
48	как и	3	34
49	же самое	2	33
50	в таком	1	33
51	в то	3	32
52	но не	2	32
53	в своем	1	31
54	что такое	4	31
55	в конце	2	31
56	но это	2	31
57	все это	5	31
58	и для	2	30
59	с другой	4	30
60	все же	3	29
61	можно сказать	1	29
62	об этом	1	29
63	что же	1	28
64	данном случае	1	28
65	мы не	2	28
66	и это	1	27
67	ничего не	2	27
68	другой стороны	3	26
69	крайней мере	2	26
70	по крайней	2	26
71	это не	3	26
72	мы можем	1	25
73	с тем	1	24
74	тем более	1	24
75	на то	1	23
76	в качестве	1	23
77	конце концов	2	23
78	то и	1	23
79	никогда не	1	22
80	и является	2	22
81	всех этих	2	22
82	сам по	1	22
83	что и	2	22
84	в самом	2	21
85	для себя	1	21
86	и только	5	21
87	и потому	1	20
88	о чем	2	20
89	тем что	2	20
90	это значит	1	19
91	самом деле	2	19
92	но если	1	19
93	этом смысле	2	19
94	он не	1	19
95	если не	2	19
96	если бы	2	19
97	не было	1	18
98	мы и	2	18
99	не существует	1	18
100	в ней	1	18
101	тех или	2	17
102	что она	2	16
103	он и	1	16
104	художественного произведения	2	16
105	же в	1	16
106	для этого	3	16
107	но даже	2	16
108	далеко не	1	16
109	в той	1	15
110	у него	1	15
111	в частности	3	15
112	искусства и	1	14
113	что все	2	14
114	сих пор	2	14
115	этом случае	1	14
116	а это	1	14
117	в котором	1	14
118	нас в	2	14
119	до сих	2	14
120	то ни	3	14
121	за пределы	1	14
122	этого термина	2	14
123	бы и	2	13
124	только при	1	13
125	мы имеем	1	13
126	в их	4	13
127	или даже	1	13
128	в области	3	13
129	с одной	1	12
130	в которой	1	12
131	так или	1	12
132	на первый	2	12
133	является только	1	12
134	или по	1	12
135	что этот	1	12
136	но именно	1	12
137	или иначе	1	12
138	или иных	2	11
139	бы то	3	11
140	могли бы	2	11
141	тот же	1	11
142	одной стороны	1	11
143	у пушкина	1	11
144	не о	3	11
145	не могут	2	11
146	и у	2	11
147	в искусстве	6	11
148	более или	1	10
149	но он	1	10
150	что для	1	10
151	художественного творчества	5	10
152	художественное произведение	5	10
153	не то	1	10
154	он в	1	10
155	из которых	1	10
156	состоит из	1	10
157	относится к	1	10
158	общего и	1	10
159	или менее	1	10
160	их в	1	9
161	нет и	1	9
162	именно как	2	9
163	тогда когда	1	9
164	в которых	1	9
165	о котором	1	9
166	и искусства	1	9
167	того как	1	9
168	а его	2	9
169	она не	1	9
170	в художественном	5	9
171	только для	1	9
172	не вполне	1	9
173	в буквальном	2	9
174	бы в	1	9
175	литературы и	2	9
176	сколько угодно	2	9
177	это было	2	9
178	является в	2	8
179	он был	1	8
180	конечно не	4	8
181	что при	1	8
182	но для	1	8
183	к сожалению	3	8
184	уж тем	1	8
185	на его	1	8
186	не все	2	8
187	в период	1	8
188	для всех	2	8
189	входит в	1	8
190	ни было	3	8
191	которое мы	1	8
192	не значит	1	8
193	это уже	2	8
194	это то	1	8
195	для него	3	8
196	в г	1	8
197	с самим	1	7
198	но что	1	7
199	в значительной	1	7
200	все в	1	7
201	ни от	2	7
202	в понятии	1	7
203	его как	1	7
204	находятся в	1	7
205	это в	1	7
206	значительной мере	1	7
207	же как	1	7
208	даже не	1	7
209	и так	1	7
210	все они	2	7
211	этой области	3	7
212	ее в	1	7
213	же не	2	7
214	с которыми	1	6
215	не как	3	6
216	в порядке	1	6
217	первый взгляд	1	6
218	только как	1	6
219	имеем в	1	6
220	до конца	1	6
221	и делает	1	6
222	в отдельности	1	6
223	могут быть	2	6
224	буквальном смысле	1	6
225	независимо от	1	6
226	гораздо больше	1	6
227	нам представляется	2	6
228	перестает быть	5	6
229	как на	1	6
230	что под	1	6
231	содержания и	1	6
232	как таковой	2	6
233	в известном	1	6
234	с его	2	6
235	этом отношении	2	6
236	по существу	2	6
237	не столь	1	6
238	часто бывает	1	6
239	только к	3	6
240	первый план	1	6
241	само по	1	6
242	из самых	1	5
243	об ее	1	5
244	художественным произведением	1	5
245	в этот	1	5
246	это же	1	5
247	к этому	1	5
248	как такового	3	5
249	между тем	2	5
250	первую очередь	1	5
251	его на	1	5
252	сводится к	2	5
253	и вся	1	5
254	о нем	1	5
255	что с	1	5
256	по его	1	5
257	человека и	1	5
258	художественное творчество	1	5
259	все что	1	5
260	в первую	1	5
261	больше чем	1	5
262	представляется что	1	5
263	должно быть	1	5
264	по мнению	1	5
265	одним из	2	5
266	имеет свою	1	5
267	и этого	1	5
268	не для	1	5
269	без этого	1	5
270	но по	1	5
271	в пределах	1	5
272	и прежде	1	5
273	думается что	2	4
274	мы получаем	2	4
275	на эту	2	4
276	если нет	1	4
277	теории и	1	4
278	как нам	1	4
279	она в	1	4
280	одно из	1	4
281	бы только	1	4
282	где же	1	4
283	что только	1	4
284	и свое	1	4
285	и независимо	1	4
286	той же	1	4
287	этот путь	1	4
288	именно к	1	4
289	и вы	1	4
290	равно как	1	4
291	поскольку он	1	4
292	переходит в	1	4
293	и всей	1	4
294	начала и	1	4
295	смысле и	1	4
296	художественном произведении	2	4
297	представляется нам	2	4
298	и всякого	1	4
299	вопроса о	2	4
300	очень часто	1	4
301	и др	1	4
302	а как	2	4
303	он будет	1	4
304	л толстой	1	4
305	при таком	2	4
306	столько же	1	4
307	или точнее	3	4
308	это содержание	1	4
309	еще раз	1	3
310	время не	1	3
311	не столько	2	3
312	возражать против	1	3
313	о необходимости	1	3
314	точном смысле	1	3
315	отдельности и	1	3
316	является наиболее	1	3
317	как таковое	1	3
318	а для	1	3
319	свое место	1	3
320	только одним	1	3
321	для тех	1	3
322	что такой	1	3
323	связанные с	1	3
324	не входит	1	3
325	но тут	1	3
326	оно является	1	3
327	было и	1	3
328	всего только	1	3
329	но такое	1	3
330	является предметом	1	3
331	что было	1	3
332	случае он	1	3
333	которых она	1	3
334	и эстетики	1	3
335	как принцип	2	3
336	вот почему	7	3
337	к проблеме	1	3
338	превращается в	2	3
339	всего что	1	3
340	так то	1	3
341	быть в	1	3
342	может обойтись	1	3
343	самим же	1	3
344	не обладает	1	3
345	в последние	1	3
346	понятие не	1	3
347	вообще в	1	3
348	произведения искусства	3	3
349	в системе	2	3
350	определяет собою	1	3
351	такое что	1	3
352	друг другу	1	3
353	вообще во	1	3
354	и действительно	1	3
355	только более	1	3
356	должна быть	2	3
357	о которой	1	3
358	закон и	1	3
359	не ставит	1	3
360	в россии	4	3
361	в процессе	1	3
362	относятся к	1	3
363	анализа в	1	3
364	достаточно ясно	1	3
365	он может	1	3
366	формы и	2	3
367	свести только	1	3
368	себе еще	1	3
369	она должна	1	3
370	не имеется	1	3
371	ничего подобного	1	3
372	никогда и	1	2
373	таком понимании	1	2
374	формы в	3	2
375	в большей	1	2
376	количество и	1	2
377	форму и	2	2
378	исходить из	1	2
379	нужно будет	1	2
380	более высокую	1	2
381	тех кто	1	2
382	концов не	1	2
383	они относятся	1	2
384	него не	1	2
385	ее как	1	2
386	л толстого	1	2
387	бы значение	1	2
388	все его	1	2
389	если у	1	2
390	в данное	1	2
391	несомненно и	1	2
392	этот анализ	1	2
393	бы ни	1	2
394	самыми разнообразными	1	2
395	есть ли	1	2
396	не случайно	2	2
397	он уже	1	2
398	содержание и	1	2
399	насколько нам	1	2
400	художественных произведений	2	2
401	широком смысле	1	2
402	творчества то	1	2
403	речи в	1	2
404	от которой	1	2
405	в свое	1	2
406	что ему	1	2
407	единства и	1	2
408	слова а	1	2
409	нам думается	1	2
410	бы это	1	2
411	не отсутствует	1	2
412	у кого	1	2
413	конечно нет	2	2
414	и эта	1	2
415	со своими	1	2
416	доказывает что	1	2
417	почему в	1	2
418	сколько и	1	2
419	ней не	1	2
420	строго говоря	1	2
421	что по	1	2
422	тем в	1	2
423	говорить не	1	2
424	точно и	1	2
425	в точных	1	2
426	тезис о	1	2
427	искусства не	1	2
428	этого и	1	2
429	понимая под	1	2
430	они в	1	2
431	остается в	1	2
432	не приходится	2	2
433	является одним	1	2
434	их и	2	2
435	образом на	1	2
436	но также	1	2
437	при построении	1	2
438	произведения в	1	2
439	более точно	1	2
440	правда не	1	2
441	работ в	1	2
442	и творчество	1	2
443	признать что	1	2
444	этого общего	1	2
445	данное время	1	2
446	на каждом	2	2
447	данного произведения	1	2
448	на значение	1	2
449	месте в	1	2
450	искусства в	1	2
451	пришлось бы	3	2
452	произведения как	1	2
453	обе эти	1	2
454	тому чтобы	1	2
455	на одно	1	2
456	отказаться от	1	2
457	этого не	1	2
458	и исторически	1	2
459	не предмет	1	2
460	то сколько	1	1
461	важным и	1	1
462	с момента	1	1
463	сам автор	1	1
464	этот более	1	1
465	равносильно тому	1	1
466	место и	1	1
467	случайно и	1	1
468	все и	1	1
469	но нам	1	1
470	нашей критической	1	1
471	метода как	2	1
472	с проблемой	2	1
473	содержание в	1	1
474	и формы	3	1
475	трудно подыскать	1	1
476	есть конечно	1	1
477	слово как	1	1
478	в некоторых	2	1
479	ее существование	1	1
480	для начала	1	1
481	как самодовлеющая	1	1
482	образы но	1	1
483	только возможно	1	1
484	элементы из	1	1
485	вполне верно	1	1
486	мировоззрение в	1	1
487	такое художественное	1	1
488	к простому	1	1
489	в сторону	2	1
490	с новой	1	1
491	и быть	1	1
492	не самые	1	1
493	об анне	1	1
494	принципов и	1	1
495	сюда же	1	1
496	было когда	1	1
497	было сделать	1	1
498	они находятся	1	1
499	не связанных	1	1
500	взятого в	1	1
501	но прежде	1	1
502	путь и	1	1
503	значимость и	1	1
504	еще одно	1	1
505	так всегда	1	1
506	литературы как	1	1
507	в маяковский	1	1
508	познания или	1	1
509	пушкин и	1	1
510	художественном отношении	1	1
511	с каждым	1	1
512	и единственно	1	1
513	все элементы	1	1
514	поэзии и	1	1
515	для читателя	1	1
516	всего если	1	1
517	его и	2	1
518	же автор	1	1
519	в течение	1	1
520	творчество и	1	1
521	во мне	1	1
522	быть не	1	1
523	у других	1	1
524	кого бы	1	1
525	еще один	1	1
526	вне его	1	1
527	связанных с	1	1
528	впервые в	1	1
529	роль не	2	1
530	поэта не	1	1
531	искусство и	1	1
532	именно этот	1	1
533	к лицу	1	1
534	говорил в	1	1
535	не без	1	1
536	в сфере	1	1
537	он становится	1	1
538	смысле этого	2	1
539	превратилось бы	1	1
540	представлений и	1	1
541	как внутренне	1	1
542	и техники	1	1
543	впрочем не	1	1
544	описывать и	1	1
545	все черты	1	1
546	настолько насколько	1	1
547	быть звуком	1	1
548	как всякая	1	1
549	другую более	1	1
550	самое что	1	1
551	не следует	3	1
552	возможно но	1	1
553	к которой	1	1
554	и революция	1	1
555	у толстого	1	1
556	анализу и	1	1
557	форм искусства	1	1
558	имеются не	1	1
559	жанра но	1	1
560	степени и	1	1
561	на большую	1	1
562	и индивидуального	1	1
563	которой все	1	1
564	современные формалисты	1	1
565	об искусстве	1	1
566	будет не	1	1
567	произведения а	1	1
568	а между	2	1
569	определений и	1	1
570	она представляется	1	1
571	стороны в	1	1
572	в точном	1	1
573	был первым	1	1
574	области в	1	1
575	и слово	1	1
576	нашему мнению	3	1
577	впрочем для	1	1
578	и эстетически	1	1
579	и уточнить	1	1
580	отсюда и	1	1
581	в различных	1	1
582	что еще	1	1
583	и видя	1	1
584	без труда	1	1
585	еще ничего	2	1
586	но конечно	2	1
587	героя не	1	1
588	построения и	1	1
589	главное же	1	1
590	а оно	1	1
591	своими собственными	1	1
592	художественного оформления	1	1
