N	3gram	Vinokur_Ku	Marksizm
1	с точки зрения	16	46
2	не может быть	5	25
3	в самом деле	14	19
4	по отношению к	8	15
5	то же время	4	15
6	в то же	4	15
7	в том что	23	14
8	в связи с	4	14
9	в русском языке	13	14
10	то ни было	1	12
11	бы то ни	1	12
12	для того чтобы	21	11
13	до сих пор	5	11
14	в отличие от	3	10
15	в большинстве случаев	2	9
16	одного и того	2	9
17	и того же	2	9
18	в настоящее время	2	8
19	язык как система	1	8
20	может быть и	1	8
21	смысле этого слова	2	7
22	с другой стороны	12	7
23	в свою очередь	4	7
24	и пр и	2	6
25	на то что	3	6
26	на самом деле	3	6
27	во всяком случае	8	6
28	если бы он	1	6
29	с одной стороны	2	6
30	языка и его	1	6
31	на этой почве	2	5
32	отнюдь не является	1	5
33	к тому что	2	5
34	пр и пр	2	5
35	отсюда следует что	2	5
36	той или иной	1	5
37	как мы видели	1	5
38	в этом случае	4	5
39	в этом отношении	8	5
40	в первом случае	1	4
41	в зависимости от	7	4
42	но все же	3	4
43	о том что	6	4
44	можно сказать что	2	4
45	в узком смысле	2	4
46	и здесь мы	1	4
47	том что он	4	4
48	свое выражение в	2	3
49	не только в	4	3
50	в применении к	1	3
51	тесной связи с	1	3
52	тем не менее	9	3
53	первым и вторым	1	3
54	хотя бы и	4	3
55	и пр но	2	3
56	более или менее	3	3
57	и то же	1	3
58	все более и	1	3
59	в конце концов	3	3
60	в данном отношении	4	3
61	социального общения и	2	3
62	не могут быть	1	3
63	в этом последнем	1	3
64	между первым и	1	3
65	в ее целом	1	3
66	в данный момент	2	3
67	какой бы то	1	3
68	и не в	2	3
69	и той же	1	3
70	более и более	1	3
71	на этот вопрос	3	3
72	одно и то	1	3
73	ни в какой	1	3
74	можно было бы	11	3
75	именно в том	2	3
76	одной и той	1	3
77	сводится к тому	2	3
78	тех пор пока	1	2
79	рано или поздно	2	2
80	система языка в	1	2
81	является как бы	1	2
82	языка в ее	1	2
83	слова и не	1	2
84	в этом смысле	8	2
85	самом деле в	1	2
86	в собственном смысле	1	2
87	друг от друга	1	2
88	как раз эта	1	2
89	так или иначе	3	2
90	так и в	2	2
