N	2gram	Voloshinov	StatiiOP
1	и в	42	103
2	в том	3	89
3	том что	3	77
4	в этом	10	76
5	что в	1	74
6	не только	28	60
7	о том	4	47
8	но и	16	46
9	то что	9	44
10	что он	2	42
11	в его	6	42
12	и не	14	41
13	может быть	13	38
14	было бы	7	32
15	в этой	6	31
16	вовсе не	2	31
17	тем что	2	29
18	все это	4	29
19	таким образом	8	28
20	в г	1	28
21	а в	5	27
22	а не	7	27
23	но в	5	26
24	что это	4	25
25	так и	7	25
26	этом отношении	2	24
27	и его	7	24
28	все же	9	23
29	точки зрения	11	23
30	не в	6	23
31	так что	1	23
32	потому что	7	23
33	для того	9	22
34	в которой	7	22
35	как в	3	22
36	того что	4	22
37	прежде всего	22	22
38	у нас	4	22
39	в области	6	22
40	и пр	4	21
41	того чтобы	7	21
42	до сих	1	20
43	это не	3	20
44	в своей	2	19
45	сих пор	2	19
46	в то	9	19
47	только в	7	19
48	в котором	3	18
49	с другой	1	18
50	он не	2	18
51	об этом	3	18
52	не может	13	18
53	в самом	5	17
54	в русской	1	17
55	самом деле	5	17
56	как бы	30	17
57	в этих	2	16
58	с этим	2	16
59	сказать что	3	16
60	можно было	4	16
61	если бы	4	16
62	в ней	8	16
63	другой стороны	1	15
64	с тем	8	15
65	как и	12	15
66	из этих	2	15
67	у него	1	15
68	я не	1	15
69	и на	7	15
70	например в	1	15
71	в отношении	2	15
72	как раз	1	15
73	для него	3	15
74	также и	2	15
75	то же	16	14
76	но все	5	14
77	так например	1	14
78	к тому	4	14
79	с точки	5	14
80	между тем	3	14
81	и что	1	14
82	была бы	1	14
83	в течение	1	14
84	в сцене	1	14
85	в той	5	13
86	именно в	1	13
87	в своем	1	13
88	из них	3	13
89	в качестве	4	13
90	а с	5	13
91	в конце	6	13
92	в нем	6	13
93	в языке	2	13
94	вместе с	5	13
95	со стороны	1	13
96	но это	2	13
97	жизни и	3	13
98	тому что	5	13
99	в своих	2	12
100	не менее	1	12
101	хотя бы	18	12
102	что у	3	12
103	в первой	2	12
104	ни в	1	12
105	как например	2	12
106	так как	8	12
107	того времени	4	12
108	в другом	1	11
109	должна была	2	11
110	никогда не	7	11
111	не было	2	11
112	ясно что	2	11
113	и с	5	11
114	и по	1	11
115	того как	1	11
116	вопрос о	2	11
117	все эти	3	11
118	на то	1	11
119	на эти	2	10
120	кроме того	2	10
121	в виду	3	10
122	связь с	2	10
123	так же	4	10
124	отметить что	1	10
125	в целом	4	10
126	что такое	4	10
127	что и	3	10
128	это слово	2	10
129	во всех	6	10
130	в каком	2	10
131	в истории	1	10
132	же время	7	10
133	ничего не	8	10
134	ответ на	3	10
135	на вопрос	1	10
136	на самом	3	10
137	но не	2	10
138	во второй	3	10
139	в частности	3	10
140	в начале	3	10
141	и к	4	9
142	с этой	1	9
143	говорит о	1	9
144	можно сказать	4	9
145	в одном	4	9
146	несмотря на	3	9
147	его жизни	1	9
148	и это	8	9
149	в чем	1	9
150	в каждом	4	9
151	и тем	7	9
152	что эта	1	9
153	во время	1	9
154	вряд ли	3	9
155	не является	5	9
156	времени и	2	9
157	что же	8	9
158	и для	3	9
159	для нас	3	9
160	что мы	11	9
161	там где	1	9
162	место в	2	9
163	но ведь	6	8
164	в результате	1	8
165	и даже	3	8
166	в речи	1	8
167	связано с	2	8
168	еще более	2	8
169	к которому	2	8
170	к этому	2	8
171	связи с	3	8
172	одним из	1	8
173	действующих лиц	1	8
174	в общем	1	8
175	к сожалению	1	8
176	должен был	1	8
177	в которых	2	8
178	тем не	1	8
179	совершенно не	3	8
180	мы имеем	2	8
181	при помощи	1	8
182	той же	7	8
183	до конца	2	8
184	в их	2	8
185	в какой	2	8
186	дело не	1	8
187	отношение к	2	8
188	и о	1	8
189	о чем	2	7
190	по себе	1	7
191	не мог	3	7
192	точка зрения	4	7
193	не просто	4	7
194	того же	1	7
195	гораздо более	2	7
196	в ее	3	7
197	как это	5	7
198	что для	1	7
199	то в	1	7
200	и то	5	7
201	нет никакого	1	7
202	еще не	3	7
203	еще и	2	7
204	другое дело	1	7
205	одной из	2	7
206	на этот	2	7
207	связан с	1	7
208	уже в	5	7
209	в виде	1	7
210	материал для	2	7
211	что этот	1	7
212	тем более	1	7
213	с самого	4	7
214	конце концов	3	7
215	факт что	1	7
216	лишь в	4	7
217	отношению к	2	7
218	же и	1	6
219	на его	6	6
220	одно из	1	6
221	вот что	1	6
222	и сам	2	6
223	в жизни	2	6
224	говорить о	1	6
225	по отношению	2	6
226	даже в	1	6
227	крайней мере	1	6
228	к нему	2	6
229	только не	1	6
230	же как	1	6
231	одном из	1	6
232	должно было	3	6
233	в устах	3	6
234	этот вопрос	2	6
235	его как	1	6
236	в себе	10	6
237	в особенности	1	6
238	и здесь	3	6
239	из которых	3	6
240	я считаю	2	6
241	и все	4	6
242	не трудно	1	6
243	по крайней	1	6
