N	3gram	Tiupa_Disk	VeschiIm
1	не может быть	5	24
2	тем не менее	1	11
3	содержит в себе	3	11
4	по крайней мере	3	10
5	в том что	18	9
6	в самом деле	1	7
7	на то что	1	7
8	с точки зрения	3	6
9	и не только	2	6
10	в свою очередь	3	5
11	в то же	7	5
12	и то же	2	5
13	и то что	2	5
14	одно и то	2	5
15	подобно тому как	4	5
16	не только в	2	5
17	равно как и	1	4
18	о том как	1	4
19	более или менее	2	4
20	что не есть	1	4
21	сам по себе	1	4
22	дело в том	3	4
23	о том что	8	4
24	это и есть	1	4
25	то же время	9	4
26	вместе с тем	1	3
27	и даже не	1	3
28	заключается в том	1	3
29	ту или иную	1	3
30	можно сказать что	3	3
31	свидетельствует о том	1	3
32	если бы я	1	3
33	из того что	1	3
34	сами по себе	2	3
35	может быть ни	1	3
36	и в то	2	3
37	только то что	2	3
38	с одной стороны	12	3
39	с другой стороны	4	3
40	имеем дело не	2	2
41	в той или	1	2
42	все то что	1	2
43	дело не с	2	2
44	в данном случае	6	2
45	в том чтобы	2	2
46	не есть она	1	2
47	в свое время	3	2
48	хотя бы и	1	2
49	она могла бы	1	2
50	в этом смысле	1	2
51	того что является	1	2
52	или по крайней	1	2
53	по природе своей	6	2
54	том что он	1	2
55	в том или	1	2
56	как вещь в	1	2
57	в нем нет	1	2
58	тех или иных	1	2
59	можно говорить о	1	2
60	есть она сама	1	2
61	принципиально не может	1	2
62	а не в	2	2
63	в связи с	1	2
64	но все же	1	2
65	во всяком случае	2	2
66	в этом отношении	4	2
67	а не только	2	2
68	что же касается	4	2
69	как раз и	1	2
70	в основе своей	4	2
71	мы имеем дело	3	2
72	мы все же	1	1
73	она еще не	1	1
74	что он не	1	1
75	в полной мере	1	1
76	в различных областях	1	1
77	она отличается от	1	1
78	одной стороны и	3	1
79	и как бы	5	1
80	на себя и	1	1
81	как будто бы	2	1
82	и потому что	1	1
83	и том же	1	1
84	только в учебниках	1	1
85	точка зрения на	1	1
86	когда она еще	1	1
87	и прежде всего	2	1
88	они предстают перед	1	1
89	еще и в	1	1
90	прежде всего на	1	1
91	отнюдь не предполагает	1	1
92	и может быть	3	1
93	в этом своем	2	1
94	из двух или	1	1
95	к одному и	1	1
96	и тому же	1	1
97	и в особенности	2	1
98	не в состоянии	1	1
99	во всем что	1	1
100	в xix веке	1	1
101	здесь как и	1	1
102	дело не в	1	1
103	что не только	1	1
104	то что в	1	1
105	в своей индивидуальной	1	1
106	тем более не	1	1
107	и что это	1	1
108	в результате этого	1	1
109	только в том	2	1
110	но тут же	1	1
111	все это по	1	1
112	один из наиболее	1	1
113	не в том	3	1
114	о чем не	2	1
115	говорит о том	1	1
116	не может существовать	1	1
117	во втором случае	1	1
118	на этом основании	1	1
119	себе более или	1	1
120	и один из	1	1
121	в самом общем	2	1
122	в себе не	2	1
123	из них в	1	1
124	до сих пор	1	1
125	одного и того	4	1
126	тому как в	1	1
127	далеко не все	1	1
128	прежде всего к	1	1
129	ни о чем	2	1
130	речь идет о	2	1
131	по своей природе	3	1
132	только потому что	1	1
133	не только потому	1	1
134	и того же	4	1
135	одному и тому	1	1
136	но также и	1	1
137	в этом случае	3	1
138	суть то что	1	1
139	уже было сказано	2	1
140	а в том	2	1
141	в научной литературе	1	1
142	в себе более	1	1
143	одно из двух	1	1
144	том что и	1	1
145	в новое время	1	1
146	то же самое	2	1
147	и все же	3	1
148	не имеют никакого	1	1
149	та или иная	1	1
150	это отнюдь не	2	1
151	и есть само	1	1
152	от этого зависит	1	1
153	несмотря на все	1	1
154	но в этом	1	1
155	но и к	1	1
156	может и даже	1	1
157	тут все дело	1	1
158	тому как мы	1	1
159	одном и том	1	1
160	предстают перед нами	1	1
161	предполагает со стороны	1	1
162	вопросом о том	1	1
163	тот или иной	2	1
164	и не может	3	1
165	а также и	1	1
166	предполагает в качестве	1	1
