N	2gram	Medvedev_V	Problemy
1	и в	2	106
2	и не	1	90
3	в этом	1	52
4	и его	1	39
5	то же	1	36
6	все это	1	29
7	в самом	1	25
8	самом деле	1	24
9	только в	1	20
10	потому что	1	20
11	в том	2	17
12	в другом	1	16
13	в конце	2	14
14	так как	1	14
15	я не	1	14
16	том что	2	12
17	но это	1	12
18	конце концов	2	11
19	далеко не	1	10
20	хотя бы	1	9
21	да и	1	9
22	все время	1	8
23	не хочу	1	7
24	в их	1	7
25	как же	1	6
26	бы уже	1	6
27	в которых	1	6
28	по существу	1	6
29	и только	1	6
30	именно в	1	5
31	по своим	1	5
32	крайней мере	1	5
33	все то	1	5
34	по крайней	1	5
35	том же	1	5
36	и то	1	5
37	ведь это	1	5
38	под влиянием	1	4
39	речи и	1	4
40	одно и	1	4
41	к чему	1	3
42	в устах	1	3
43	сводится к	1	3
44	слово по	1	3
45	дело в	1	3
46	так в	1	3
47	на одном	1	3
48	к этому	1	2
49	значительной степени	1	2
50	столь же	1	2
51	для них	1	2
52	в значительной	1	2
53	и почти	1	2
54	в книге	3	2
55	что слово	1	1
56	и способами	1	1
57	все дело	1	1
58	без учета	1	1
59	другом месте	1	1
60	прозы в	1	1
61	не одно	1	1
62	по поводу	1	1
63	материалов и	1	1
64	один пример	1	1
65	и сводится	1	1
66	ясно что	1	1
67	а только	1	1
68	же все	1	1
69	даже не	1	1
70	главным образом	1	1
71	не даром	1	1
72	в частности	1	1
73	их как	1	1
74	ведь дело	1	1
75	они на	1	1
76	с несколько	1	1
77	от других	1	1
78	новых приемов	1	1
79	стоит на	1	1
80	то я	1	1
81	концов его	1	1
82	тем новым	1	1
83	превратил в	1	1
84	тем более	1	1
85	находится под	1	1
86	и заключается	1	1
87	не хотел	1	1
88	роли не	1	1
89	ли над	1	1
90	языка если	1	1
