N	2gram	Tiupa_Disk	slovoVRo
1	и в	27	92
2	то есть	29	64
3	может быть	29	59
4	и его	4	59
5	в нем	16	59
6	и не	25	51
7	чужого слова	1	46
8	не только	36	44
9	не может	17	41
10	но и	22	39
11	до конца	2	37
12	в этом	29	36
13	а не	35	34
14	во всех	6	32
15	точки зрения	6	30
16	так и	14	30
17	языка и	3	29
18	могут быть	5	29
19	и др	3	29
20	в пределах	4	29
21	в его	9	27
22	романного жанра	3	26
23	слова в	2	26
24	все это	2	25
25	как бы	9	24
26	слова и	2	24
27	слово в	1	24
28	то же	12	23
29	чужой речи	2	23
30	и на	8	22
31	в сущности	3	21
32	как в	16	21
33	не в	8	21
34	говорящий человек	1	21
35	вовсе не	1	21
36	в процессе	6	20
37	в то	8	20
38	прежде всего	17	19
39	как мы	2	19
40	как и	27	18
41	же время	9	18
42	себя в	8	18
43	или иной	8	18
44	таким образом	4	17
45	оно не	2	17
46	и даже	4	17
47	все же	8	17
48	в основе	11	17
49	в истории	5	17
50	все эти	2	17
51	в большинстве	3	17
52	при этом	22	16
53	в них	6	16
54	к своему	2	16
55	отличие от	13	16
56	но в	15	16
57	в той	2	15
58	и с	2	15
59	с точки	3	15
60	со своим	1	15
61	той или	6	15
62	там где	1	15
63	романа и	2	14
64	только в	9	14
65	в отличие	13	14
66	так сказать	3	14
67	в особенности	5	13
68	отношении к	1	13
69	в слове	1	13
70	на фоне	1	13
71	это не	5	13
72	с другой	14	13
73	с его	9	13
74	точка зрения	3	13
75	и следовательно	1	13
76	и к	4	12
77	еще не	20	12
78	во всяком	3	12
79	никогда не	3	12
80	и потому	3	12
81	или в	2	12
82	точек зрения	1	12
83	а в	5	12
84	отношение к	6	12
85	и наконец	2	12
86	один из	3	11
87	роман и	1	11
88	в этих	4	11
89	большинстве случаев	2	11
90	с ними	1	11
91	для него	9	11
92	с одной	12	11
93	всех его	1	11
94	на его	4	11
95	одной стороны	12	11
96	зрения на	3	10
97	в языке	2	10
98	и их	1	10
99	и все	5	10
100	уже не	7	10
101	лишь в	4	10
102	в своем	11	10
103	в том	29	10
104	с другими	1	10
105	романного слова	1	10
106	она не	1	10
107	в себе	22	10
108	далеко не	10	10
109	всех этих	1	10
110	в основном	1	9
111	романа в	1	9
112	поэтому и	1	9
113	более или	2	9
114	в своей	10	9
115	сказать что	4	9
116	на почве	3	9
117	этом случае	3	9
118	о говорящем	1	9
119	здесь в	4	9
120	его в	1	9
121	одна из	1	9
122	в их	5	9
123	в смысле	1	9
124	или менее	2	9
125	героя и	2	9
126	и других	1	9
127	и мир	1	9
128	он не	4	9
129	быть и	2	9
130	одним из	2	9
131	к чужому	1	9
132	и от	2	9
133	но не	17	9
134	с ее	3	9
135	к нему	1	9
136	более того	2	9
137	в самом	4	8
138	не на	3	8
139	не могут	2	8
140	может стать	1	8
141	в значительной	3	8
142	установка на	1	8
143	для понимания	2	8
144	для романа	1	8
145	с этим	3	8
146	человека в	6	8
147	всяком случае	2	8
148	входит в	2	8
149	в одной	4	8
150	и часто	1	8
151	на мир	1	8
152	в ней	2	8
153	во всем	2	7
154	же и	1	7
155	но все	2	7
156	о нем	3	7
157	например в	4	7
158	том что	27	7
159	перед нами	4	7
160	но здесь	2	7
161	автора и	1	7
162	и иных	1	7
163	известной степени	3	7
164	значительной степени	3	7
165	на своем	1	7
166	но именно	1	7
167	здесь не	1	7
168	друг друга	2	7
169	того же	5	7
170	по преимуществу	2	7
171	мышления и	1	7
172	не было	9	7
173	связи с	4	7
174	в таком	1	7
175	говорящем человеке	1	7
176	его не	1	7
177	также и	6	7
178	за пределы	2	7
179	жизни и	2	7
180	в целом	5	7
181	что в	8	6
182	чужих высказываний	1	6
183	дело с	2	6
184	даже в	1	6
185	в одном	5	6
186	ни в	7	6
187	другой стороны	5	6
188	по себе	3	6
189	именно в	5	6
190	чужому слову	1	6
191	одновременно и	3	6
192	роль в	10	6
193	себя и	2	6
194	большей или	2	6
195	можно сказать	7	6
196	по своим	4	6
197	в свою	3	6
198	наконец в	1	6
199	говорить о	3	6
200	слов и	1	6
201	и там	1	6
202	в контексте	3	6
203	авторитарного слова	1	6
204	как к	2	6
205	в качестве	45	6
206	слово не	2	6
207	xix века	1	6
208	бы и	1	6
209	лежит в	1	6
210	а также	15	6
211	становления и	4	6
212	человек в	1	6
213	мира и	3	6
214	на этом	3	6
215	хотя бы	3	6
216	между тем	5	6
217	стороны и	3	6
218	в новое	1	6
219	к языку	1	6
220	или меньшей	2	6
221	двуголосого слова	1	6
222	он в	1	6
223	которые в	1	6
224	ничего не	1	6
225	эпохи и	2	6
226	в языковом	1	6
227	должна быть	2	5
228	героя в	6	5
229	и при	1	5
230	жанров в	5	5
231	не как	5	5
232	в результате	3	5
233	к его	5	5
234	они не	2	5
235	по отношению	13	5
236	вместе с	3	5
237	не менее	6	5
238	о том	12	5
239	но оно	1	5
240	его и	1	5
241	не является	5	5
242	в противовес	4	5
243	в данном	9	5
244	и более	1	5
245	с авторским	1	5
246	мы не	2	5
247	с помощью	1	5
248	только на	2	5
249	этого жанра	3	5
250	слов о	1	5
251	всех областях	1	5
252	речи в	2	5
253	той же	2	5
254	отношению к	13	5
255	жанра в	4	5
256	как такового	1	5
257	уже в	2	5
258	на протяжении	2	5
259	хотя и	3	5
260	этом отношении	4	5
261	стремится к	3	5
262	с их	3	5
263	в каждый	1	5
264	слова не	3	5
265	как его	2	5
266	или даже	2	5
267	должен быть	1	5
268	в других	1	5
269	особенно в	1	5
270	в каждом	2	5
271	а как	1	5
272	дистанции между	2	5
273	не знает	4	5
274	и может	3	5
275	не с	4	5
276	и сам	2	5
277	меньшей степени	1	5
278	и по	2	5
279	для этого	1	5
280	или напротив	3	5
281	до сих	1	4
282	в большей	1	4
283	в некоторых	1	4
284	те же	1	4
285	не столько	3	4
286	в виду	2	4
287	для всех	2	4
288	со всеми	1	4
289	если бы	1	4
290	в различные	1	4
291	в построении	2	4
292	отношения к	2	4
293	и другим	1	4
294	его на	1	4
295	что он	6	4
296	влияния на	2	4
297	от его	1	4
298	которая не	1	4
299	на первый	1	4
300	к тому	6	4
301	и образ	1	4
302	непосредственно и	1	4
303	в речах	1	4
304	поэзии и	1	4
305	дело не	3	4
306	сознание и	1	4
307	лежат в	1	4
308	в другом	5	4
309	но эти	1	4
310	самого автора	1	4
311	как вещь	1	4
312	и слово	1	4
313	с этой	2	4
314	в различных	2	4
315	в чем	2	4
316	свою очередь	3	4
317	и во	2	4
318	в известной	1	4
319	новое время	1	4
320	громадное значение	1	4
321	из романа	1	4
322	однако в	3	4
323	к предмету	1	4
324	связано с	1	4
325	но это	3	4
326	в системе	1	4
327	его как	3	4
328	из них	6	4
329	того что	4	4
330	формы и	1	4
331	он должен	1	4
332	истории литературы	1	4
333	значение в	1	4
334	высказываний в	1	4
335	одной из	4	4
336	том же	1	4
337	быть только	1	4
338	о романе	2	4
339	как раз	1	4
340	в литературе	2	4
341	что и	5	4
342	они в	1	4
343	чем он	2	4
