N	2gram	Bakhtin_Pr	Retstnzi
1	не может	18	4
2	и в	83	3
3	достоевского и	8	2
4	если в	2	2
5	в центре	4	2
6	один из	7	2
7	этой проблемы	1	1
8	нуждаются в	1	1
9	в особенности	2	1
10	несмотря на	3	1
11	может быть	23	1
12	и истории	2	1
13	не только	14	1
14	точки зрения	17	1
15	контекста не	1	1
16	с точки	13	1
17	событий и	2	1
18	для него	1	1
19	первая часть	1	1
20	подхода к	1	1
21	в ней	8	1
22	в каждом	5	1
23	связи с	1	1
24	бы на	1	1
25	превращается у	1	1
26	с другими	6	1
27	или иными	1	1
28	если бы	1	1
29	конечно и	7	1
30	вещей и	1	1
31	и взаимное	1	1
32	в его	15	1
33	и тому	2	1
34	влияния на	1	1
35	не менее	4	1
36	и социальной	2	1
37	от общей	1	1
38	в языке	1	1
39	речь и	1	1
40	но и	16	1
41	в выборе	1	1
42	мы видим	2	1
43	к тому	2	1
44	во второй	1	1
45	можно назвать	2	1
46	тому что	1	1
47	языка как	1	1
48	в конкретном	1	1
49	в то	8	1
50	из этих	3	1
51	и больше	1	1
52	и событий	3	1
53	он в	2	1
54	же время	8	1
55	то же	10	1
56	по своим	2	1
57	а не	19	1
58	без учета	1	1
59	бы в	2	1
60	нет и	3	1
61	в системе	1	1
62	и не	41	1
63	так называемая	2	1
64	язык как	1	1
65	на нее	1	1
66	и все	14	1
67	и на	27	1
68	себя от	1	1
69	вполне понятно	2	1
