N	2gram	Medvedev_F	Literetu
1	а не	11	50
2	и не	34	47
3	не только	14	46
4	и в	54	44
5	может быть	30	43
6	при этом	14	41
7	но и	18	41
8	тогда как	1	40
9	в том	17	39
10	в этом	39	38
11	своего рода	1	37
12	том что	3	32
13	такого рода	1	30
14	в частности	4	30
15	то что	14	29
16	в мире	4	28
17	в качестве	2	27
18	то же	16	26
19	в году	2	26
20	состоит в	3	26
21	как и	18	23
22	в то	14	23
23	себя в	1	22
24	не в	16	22
25	того что	7	22
26	так и	24	22
27	не может	26	22
28	х годов	1	21
29	же время	13	21
30	в себе	4	20
31	прежде всего	34	19
32	как бы	10	18
33	с другой	8	17
34	точки зрения	21	17
35	в его	30	17
36	в жизни	3	16
37	в этой	10	16
38	не менее	12	15
39	в русской	1	15
40	только в	6	15
41	произведение искусства	4	15
42	со стороны	7	15
43	тем самым	5	15
44	в целом	7	15
45	и даже	7	14
46	по отношению	4	14
47	что он	8	14
48	уже не	9	13
49	в своем	12	13
50	с одной	5	13
51	как это	8	13
52	но не	5	13
53	и его	27	13
54	в своей	16	12
55	о том	1	12
56	в данном	2	12
57	одной стороны	5	12
58	одним из	1	12
59	еще не	6	12
60	отношению к	4	12
61	а также	1	12
62	не столько	5	11
63	в другом	2	11
64	никогда не	6	11
65	и сам	1	11
66	столь же	2	11
67	еще в	2	11
68	вместе с	8	11
69	как в	12	11
70	в основе	7	11
71	в отличие	2	11
72	с его	12	11
73	данном случае	2	11
74	это не	4	11
75	отличие от	2	11
76	или иначе	2	11
77	а в	11	11
78	даже в	2	10
79	по мысли	1	10
80	в противовес	2	10
81	из них	5	10
82	в ее	10	10
83	что в	10	10
84	и на	10	10
85	так или	1	10
86	жизни в	2	10
87	причастность к	1	10
88	потому что	2	10
89	этом отношении	7	10
90	жизни и	10	10
91	отнюдь не	13	10
92	в области	6	10
93	с этой	4	9
94	художественной деятельности	1	9
95	к тому	6	9
96	искусства и	5	9
97	связи с	12	9
98	один из	4	9
99	на наш	1	9
100	в поэзии	5	9
101	отказ от	1	9
102	лишь в	15	9
103	же в	4	9
104	говоря уже	1	8
105	в своих	3	8
106	тем что	6	8
107	все же	8	8
108	исходит из	1	8
109	одна из	2	8
110	того же	1	8
111	едва ли	3	8
112	ли не	1	8
113	с точки	17	8
114	как раз	8	8
115	на себя	1	8
116	что не	4	8
117	в конце	2	8
118	о себе	1	8
119	художественного творчества	1	8
120	особого рода	1	8
121	а именно	3	8
122	слова и	5	8
123	той же	2	8
124	но в	9	8
125	уже в	1	8
126	для него	9	8
127	xix века	1	8
128	по существу	8	8
129	и как	6	8
130	не говоря	1	8
131	в искусстве	6	8
132	мира в	2	8
133	в самом	17	7
134	в одном	2	7
135	другой стороны	5	7
136	для всех	2	7
137	именно в	12	7
138	ведет к	1	7
139	в художественном	5	7
140	на фоне	7	7
141	для этого	6	7
142	по преимуществу	6	7
143	не как	7	7
144	он не	8	7
145	и тем	3	7
146	и с	17	7
147	в нем	25	7
148	из того	1	7
149	по своей	1	7
150	наконец в	3	7
151	до конца	9	7
152	друг друга	4	7
153	и для	5	7
154	перестает быть	3	7
155	он и	3	7
156	у нас	6	7
157	в их	16	7
158	так в	3	7
159	и других	4	7
160	в виду	2	6
161	например в	1	6
162	культуры в	1	6
163	уже о	1	6
164	обращаясь к	1	6
165	как на	5	6
166	у него	1	6
167	его в	5	6
168	не было	7	6
169	во всех	9	6
170	в каждом	3	6
171	было бы	10	6
172	с ее	7	6
173	то в	3	6
174	самом деле	12	6
175	самим собой	1	6
176	как о	8	6
177	в слове	4	6
178	то и	2	6
179	тем же	3	6
180	одного из	4	6
181	и др	8	6
182	и то	1	6
183	с читателем	1	6
184	том числе	1	6
185	произведения искусства	4	6
186	в ней	15	6
187	далеко не	2	6
188	при всем	1	6
189	и только	5	6
190	и наконец	7	6
191	и к	7	5
192	к этой	4	5
193	об искусстве	3	5
194	в связи	11	5
195	с собой	1	5
196	мы с	1	5
197	хотя бы	10	5
198	жизни как	1	5
199	в нашем	2	5
200	русской литературы	2	5
201	свое собственное	1	5
202	всего в	5	5
203	том чтобы	3	5
204	должно быть	13	5
205	несмотря на	2	5
206	ни было	2	5
207	тем не	2	5
208	не знает	1	5
209	по аналогии	5	5
210	этой точки	1	5
211	между тем	4	5
212	так что	2	5
213	все более	4	5
214	в чужом	2	5
215	социального заказа	1	5
216	в силу	1	5
217	во втором	7	5
218	в сущности	3	5
219	литературного произведения	6	5
220	в россии	4	5
221	в словах	1	5
222	не с	2	5
223	идет о	3	5
224	и если	2	5
225	вслед за	1	5
226	без другого	1	5
227	так как	4	5
228	мир в	1	5
229	мы не	6	5
230	в художественной	2	5
231	в литературе	6	5
232	как у	1	5
233	что и	10	5
234	читателя в	1	5
235	но уже	1	5
236	однако не	5	5
237	как он	2	5
238	место в	8	5
239	или иной	1	5
240	не к	2	5
241	более того	6	5
242	что было	2	4
243	более не	1	4
244	оказывается не	1	4
245	но тем	1	4
246	и само	2	4
247	в них	4	4
248	с тем	11	4
249	жизни на	1	4
250	и нет	1	4
251	во всяком	6	4
252	то это	1	4
253	входит в	8	4
254	не должен	1	4
255	для того	3	4
256	как совокупность	1	4
257	в руках	1	4
258	только на	8	4
259	за собой	1	4
260	не вполне	1	4
261	как мы	10	4
262	во всей	4	4
