N	2gram	Berdyaev_O	formyVre
1	и в	19	148
2	в этом	12	73
3	в нем	10	51
4	прежде всего	9	46
5	и не	13	37
6	в его	7	36
7	и его	4	36
8	вовсе не	1	35
9	но и	13	33
10	не только	11	32
11	но в	2	31
12	жизни и	1	31
13	так и	2	29
14	может быть	11	27
15	не в	11	26
16	как и	6	25
17	как бы	3	25
18	человека в	11	23
19	в том	5	22
20	то что	5	22
21	жизни в	2	21
22	все эти	4	21
23	в своем	2	19
24	и на	2	19
25	и для	2	19
26	у него	22	18
27	и все	10	18
28	еще не	3	18
29	так как	2	17
30	человека и	10	17
31	все же	2	16
32	не может	4	16
33	в разных	1	15
34	в одном	1	15
35	в них	1	15
36	никогда не	9	15
37	с его	4	15
38	лишь в	7	15
39	и как	1	14
40	и с	2	14
41	в конце	1	14
42	его жизни	1	14
43	а не	11	14
44	все это	6	14
45	в самом	5	13
46	в котором	1	13
47	для того	3	13
48	друг с	1	13
49	с ним	3	13
50	как в	1	13
51	с другом	1	13
52	в частности	1	13
53	того чтобы	4	13
54	а в	5	13
55	и до	1	12
56	не было	9	12
57	он не	7	12
58	что в	4	12
59	потому что	9	12
60	образа человека	1	12
61	в истории	2	12
62	ничего не	2	12
63	но не	1	12
64	из них	1	11
65	хотя и	2	11
66	его в	2	11
67	смерть и	1	11
68	уже в	2	11
69	в ней	1	11
70	уже не	1	10
71	в ее	2	10
72	вещей и	1	10
73	также и	1	10
74	этом мире	2	10
75	и даже	1	9
76	всего в	2	9
77	должно быть	2	9
78	и это	1	9
79	в других	2	9
80	могут быть	3	9
81	та же	1	9
82	отношения к	1	9
83	том что	2	9
84	в самой	9	9
85	для него	5	9
86	и других	1	9
87	мира в	1	9
88	и к	2	8
89	в виду	1	8
90	в этих	3	8
91	в этот	2	8
92	все его	1	8
93	что и	2	8
94	характер и	1	8
95	в мире	1	8
96	образ человека	2	8
97	один из	1	8
98	в жизни	1	8
99	со всеми	1	8
100	если бы	1	8
101	до конца	7	8
102	и то	2	8
103	во всяком	1	8
104	это не	3	8
105	и прежде	1	8
106	и потому	2	8
107	отношение к	5	8
108	еще более	1	7
109	этого типа	1	7
110	этого мира	2	7
111	к этому	2	7
112	в себе	3	7
113	но он	7	7
114	в которой	2	7
115	в форме	1	7
116	в процессе	1	7
117	например в	1	7
118	и он	8	7
119	нет ничего	7	7
120	было бы	3	7
121	в романах	4	7
122	того что	3	7
123	мир в	1	7
124	этом отношении	1	7
125	ее в	2	7
126	что было	1	6
127	все что	3	6
128	раскрывается в	5	6
129	с тем	2	6
130	о том	3	6
131	между двумя	1	6
132	сказать что	2	6
133	ту же	1	6
134	бы ни	1	6
135	и ее	3	6
136	и самое	1	6
137	смысле слова	1	6
138	в сущности	1	6
139	в отношении	1	6
140	не могут	3	6
141	своей жизни	2	6
142	в совершенно	1	6
143	мы не	1	6
144	в эпоху	1	6
145	только и	4	6
146	особенно в	1	6
147	самой жизни	1	6
148	не оставляет	1	6
149	есть не	1	6
150	о чем	1	5
151	одно из	2	5
152	тем что	2	5
