N	2gram	Medvedev_V	NovoeSre
1	а не	7	17
2	не может	17	16
3	и в	26	16
4	во имя	1	15
5	и не	20	11
6	и есть	5	10
7	что в	11	9
8	в том	15	8
9	как не	1	8
10	жизни и	3	8
11	он не	2	8
12	в этом	29	7
13	может быть	23	7
14	как и	7	7
15	ни в	1	6
16	не в	6	6
17	лишь в	2	6
18	с его	4	6
19	но это	1	6
20	никогда не	5	6
21	и к	3	5
22	не только	26	5
23	в ней	2	5
24	все это	13	5
25	в жизни	2	5
26	в нем	7	5
27	с ее	1	5
28	должен быть	4	5
29	и потому	2	4
30	жизни к	1	4
31	и мы	1	4
32	по своему	1	4
33	со всех	1	4
34	должно быть	2	4
35	потому что	1	4
36	это не	7	4
37	прежде всего	13	4
38	в них	5	4
39	то что	7	4
40	не было	7	4
41	новое время	1	4
42	и все	1	4
43	всех сторон	1	4
44	не менее	2	4
45	не имеет	1	4
46	значит что	2	4
47	и для	2	4
48	о том	10	4
49	к лицу	1	3
50	во всех	7	3
51	вопрос о	1	3
52	не означает	1	3
53	должна быть	2	3
54	она не	3	3
55	тому как	3	3
56	в ее	4	3
57	эти формы	1	3
58	смысле слова	2	3
59	что такое	2	3
60	лицом к	1	3
61	за пределы	1	3
62	дня и	2	3
63	конечно не	1	3
64	подобно тому	3	3
65	в истории	1	3
66	в новое	1	3
67	в духе	1	3
68	с другой	11	3
69	в основе	1	3
70	к ним	2	3
71	сказать что	5	3
72	французской революции	1	3
73	с тем	4	3
74	не значит	1	3
75	в своей	4	3
76	как в	1	3
77	перейти к	1	3
78	но и	10	3
79	это было	1	3
80	к ее	1	3
81	жизни не	1	3
82	к тому	5	3
83	человека и	3	3
84	еще не	2	3
85	с этим	3	2
86	все они	2	2
87	и от	3	2
88	еще до	1	2
89	и весь	2	2
90	это и	6	2
91	ни к	1	2
92	силы и	1	2
93	и что	1	2
94	на протяжении	1	2
95	что она	2	2
96	ли это	2	2
97	духовной жизни	1	2
98	зависит от	2	2
99	и заключается	2	2
100	познания и	4	2
101	с одной	2	2
102	хотя бы	20	2
103	мы не	1	2
104	того чтобы	3	2
105	вот почему	5	2
106	хотя и	2	2
107	природе и	1	2
108	так и	6	2
109	как это	12	2
110	но она	1	2
111	одной стороны	2	2
112	можно было	2	2
113	каждого человека	1	2
114	ни одна	2	2
115	другой стороны	8	2
116	этом смысле	1	2
117	в русском	1	2
118	у него	6	2
119	а в	3	2
120	и даже	2	2
121	и формы	2	2
122	в свои	1	2
123	мы говорим	1	2
124	связана с	2	2
125	по существу	4	2
126	для этого	1	2
127	нет и	3	2
128	равно как	4	2
129	могут быть	8	2
130	в себе	6	2
131	том чтобы	2	2
132	это совсем	1	2
133	быть в	1	2
134	уже не	1	2
135	и творчества	1	2
136	что все	4	2
137	время как	1	2
138	все эти	8	2
139	есть в	1	2
140	же как	2	2
141	вместе с	8	2
142	который в	2	2
143	одна из	4	2
144	мира и	3	2
145	роль в	4	2
146	как будто	1	2
147	но не	2	2
148	в то	6	2
149	том что	8	2
150	бытия в	1	2
151	так же	3	2
152	и это	1	2
153	можно назвать	1	2
154	но для	2	2
155	но в	2	2
156	мысли в	1	2
157	формы и	2	2
158	обращение к	1	2
159	не к	1	2
160	к более	1	2
161	связаны с	1	2
162	войны и	2	2
163	в той	1	1
164	и мир	3	1
165	в самом	4	1
166	нет ничего	1	1
167	ограничен и	1	1
168	попал в	3	1
169	может иметь	1	1
170	том случае	1	1
171	можно сказать	4	1
172	человека так	1	1
173	человека в	2	1
174	это одна	1	1
175	творчества не	1	1
176	более высокой	1	1
177	и быть	2	1
178	в более	1	1
179	которая должна	1	1
180	до сих	2	1
181	а к	2	1
182	бы он	1	1
183	и этот	2	1
