N	2gram	Vygotskiy_	FransuaR
1	и в	33	367
2	в этом	43	112
3	и т.п	2	108
4	и не	18	101
5	таким образом	30	100
6	и его	6	99
7	в его	15	98
8	прежде всего	5	92
9	не только	28	87
10	мы уже	4	85
11	но и	14	84
12	как бы	11	82
13	все эти	9	79
14	вовсе не	2	77
15	как и	13	76
16	в нем	10	75
17	но в	9	75
18	и на	11	72
19	и др	1	72
20	в том	44	71
21	как мы	20	71
22	то же	12	66
23	и все	2	66
24	в них	3	65
25	в этой	8	65
26	так и	8	65
27	и с	7	64
28	в сущности	17	64
29	в то	5	63
30	во время	1	63
31	во всех	3	62
32	все это	2	62
33	что в	33	52
34	в своем	11	51
35	только в	21	48
36	так как	20	46
37	том что	41	45
38	уже говорили	2	44
39	то что	48	41
40	здесь в	1	41
41	у него	8	40
42	жизни и	2	40
43	в самом	10	38
44	точки зрения	27	37
45	в ней	2	37
46	с его	3	36
47	о том	13	35
48	он был	1	35
49	может быть	15	35
50	мы видим	6	35
51	сказать что	18	34
52	и даже	3	34
53	в себе	4	34
54	рядом с	1	32
55	мы видели	10	32
56	в конце	3	32
57	он не	13	32
58	для него	9	32
59	до конца	3	31
60	связаны с	1	31
61	в своей	5	31
62	так же	22	30
63	но он	8	30
64	один из	4	30
65	потому что	40	30
66	той же	7	30
67	и потому	3	30
68	никогда не	10	30
69	в духе	1	29
70	в одном	3	29
71	еще не	11	29
72	связи с	9	29
73	в этих	7	29
74	что он	40	29
75	не может	31	29
76	при этом	9	29
77	его в	6	29
78	не в	10	29
79	и к	7	28
80	из них	6	28
81	всех этих	1	28
82	также и	2	28
83	в той	8	28
84	в основе	12	28
85	здесь и	1	28
86	и другие	13	27
87	сих пор	3	27
88	до сих	3	27
89	том числе	2	27
90	все же	5	27
91	по своему	4	27
92	и их	4	27
93	кроме того	2	26
94	в условиях	3	26
95	на самом	3	25
96	в области	19	25
97	с помощью	32	25
98	но это	4	25
99	он и	1	24
100	но не	13	24
101	например в	1	24
102	в ее	1	24
103	и у	1	24
104	и от	2	24
105	как в	7	24
106	того чтобы	26	24
107	в частности	9	24
108	отношение к	12	24
109	так сказать	1	23
110	своего рода	1	23
111	и здесь	2	23
112	с ним	6	23
113	и для	3	23
114	в их	4	23
115	к нему	4	23
116	это не	8	23
117	еще и	3	23
118	даже в	1	22
119	не было	1	22
120	а в	5	22
121	тем что	12	22
122	что и	11	22
123	и других	7	22
124	там где	2	22
125	вместе с	9	22
126	и во	2	22
127	форм и	2	22
128	связь с	1	22
129	и о	1	22
130	в своих	5	21
131	именно в	8	21
132	в отношении	18	21
133	уже в	4	21
134	и как	7	21
135	есть в	2	21
136	в качестве	13	21
137	одним из	4	21
138	в себя	4	21
139	что это	1	21
140	ни в	1	21
141	и наконец	3	21
142	в виду	4	20
143	в связи	6	20
144	и это	3	20
145	одной из	5	20
146	этом отношении	7	20
147	образов и	1	20
148	с точки	12	20
149	как раз	5	20
150	самом деле	9	20
151	во всем	2	19
152	их в	3	19
153	к этому	7	19
