N	4gram	Propp_Isto	formyVre
1	в то же время	1	18
2	с одной стороны и	1	5
3	в том числе и	2	5
4	одно и то же	2	5
5	в то время как	3	4
6	так же как и	4	3
7	на первый план выдвигается	1	2
8	здесь как и в	2	2
9	с этой точки зрения	2	1
10	наряду с этим в	1	1
11	сюда же относится и	1	1
12	мы уже видели как	2	1
13	еще один аналогичный пример	1	1
14	совершенно так же как	3	1
15	в тех случаях когда	1	1
16	с другой стороны в	1	1
17	говорит он что в	1	1
18	и вместе с тем	1	1
19	за тридевять земель за	1	1
20	только в том что	1	1
21	до сих пор говорили	1	1
22	в иной мир но	1	1
23	мы до сих пор	2	1
24	но вместе с тем	4	1
25	дошли до нас в	1	1
26	во всех этих случаях	2	1
27	до сих пор не	1	1
