N	3gram	Kanaev_Sov	slovoVRo
1	не может быть	4	19
2	то же время	1	18
3	в то же	1	18
4	той или иной	1	15
5	с точки зрения	5	15
6	в отличие от	2	14
7	с одной стороны	1	11
8	в этом случае	1	9
9	в зависимости от	4	8
10	во всяком случае	2	8
11	и в то	1	6
12	не может не	3	6
13	но все же	1	6
14	в том что	1	5
15	по отношению к	1	5
16	может быть и	2	5
17	одной стороны и	1	4
18	друг с другом	2	4
19	до сих пор	1	4
20	те или иные	1	4
21	и не может	1	4
22	в свою очередь	2	4
23	не могут быть	1	4
24	в новое время	1	4
25	может быть только	1	3
26	в данном случае	1	3
27	в связи с	1	3
28	и во всех	1	2
29	тем не менее	2	2
30	на его почве	1	2
31	может иметь место	1	2
32	необходимо отметить что	1	2
33	в известном смысле	1	2
34	а не только	1	2
35	и в этом	1	2
36	и при каких	1	2
37	и не было	1	2
38	мы не можем	6	2
39	мы не знаем	1	2
40	можно было бы	1	2
41	и в новое	1	2
42	с самого начала	3	2
43	тот или иной	1	2
44	тот факт что	1	2
45	мы видели что	3	1
46	при этом с	1	1
47	которая не может	1	1
48	это как бы	1	1
49	сохраняя при этом	1	1
50	и в новых	1	1
51	в конечном счете	1	1
52	мы видим что	1	1
53	только одна из	1	1
54	ведь если нет	1	1
55	одни и те	1	1
56	мы говорим о	1	1
57	влечет за собой	1	1
58	до наших дней	1	1
59	нечто совсем иное	1	1
60	она не может	1	1
61	для наших целей	1	1
62	с помощью которых	2	1
63	друг на друга	1	1
64	сами по себе	1	1
65	в том случае	1	1
66	по самому своему	1	1
67	как мы видим	1	1
68	но они не	1	1
69	и прежде всего	1	1
70	в этом направлении	1	1
71	самому своему существу	1	1
72	то ни было	1	1
73	ли он в	1	1
74	может не стать	1	1
75	бы то ни	1	1
76	в своем основном	1	1
77	раз и навсегда	1	1
78	был прежде всего	1	1
79	и могут быть	1	1
80	вместе с ним	1	1
81	по аналогии с	1	1
82	равно как и	1	1
83	и те же	1	1
84	всегда и всюду	1	1
85	и может быть	1	1
86	по крайней мере	1	1
87	как и вся	1	1
88	со всеми его	1	1
89	еще раз подчеркнуть	1	1
90	в свое время	1	1
91	все более и	1	1
92	в процессе развития	1	1
93	и ни в	1	1
94	более и более	1	1
95	он может быть	1	1
96	в такого рода	1	1
97	или же просто	1	1
98	в новых условиях	2	1
99	дело в том	1	1
100	одной и той	1	1
101	и ничего не	1	1
102	так же как	1	1
103	падает вместе с	1	1
104	лишь там где	1	1
105	именно в том	1	1
106	сказать несколько слов	1	1
107	всяком случае не	1	1
108	не может дать	1	1
109	может находиться в	1	1
110	плоскость в которой	1	1
111	раз подчеркнуть что	1	1
112	ровно ничего не	1	1
113	точки зрения и	1	1
114	и той же	1	1
115	бы так сказать	1	1
