N	2gram	Medvedev_U	KFilosof
1	может быть	6	45
2	в его	2	42
3	в нем	1	32
4	не может	7	29
5	и не	8	28
6	и в	14	28
7	в котором	1	24
8	не есть	2	22
9	в себе	2	21
10	только в	2	18
11	в своем	1	17
12	а не	10	17
13	в этом	7	15
14	для него	3	13
15	не в	2	13
16	но не	2	12
17	и это	1	12
18	в своей	3	11
19	все это	5	10
20	это не	3	10
21	и для	2	10
22	в их	4	9
23	и все	1	9
24	но и	4	9
25	не было	1	8
26	если бы	2	8
27	было бы	3	8
28	что и	2	7
29	уже не	1	7
30	то что	7	7
31	конечно не	4	7
32	для себя	1	7
33	и только	5	7
34	отнюдь не	1	7
35	должно быть	1	6
36	не значит	1	6
37	в том	2	6
38	и действительно	1	6
39	поступка в	1	6
40	он не	1	6
41	но это	2	6
42	то же	5	5
43	мы имеем	1	5
44	не только	10	5
45	но в	3	5
46	как и	3	5
47	все же	3	5
48	хотя бы	5	5
49	и содержание	1	5
50	его как	1	5
51	никогда не	1	5
52	что в	1	4
53	должна быть	2	4
54	ни было	3	4
55	о нем	1	4
56	не как	3	4
57	прежде всего	8	4
58	том что	2	4
59	входит в	1	4
60	только как	1	4
61	между тем	2	4
62	и т.д	3	4
63	быть в	1	4
64	мы не	2	3
65	тогда когда	1	3
66	того что	1	3
67	в виду	1	3
68	и делает	1	3
69	самом деле	2	3
70	тем что	2	3
71	но для	1	3
72	стороны в	1	3
73	что этот	1	3
74	поскольку он	1	3
75	но конечно	2	3
76	бы и	2	3
77	отсюда и	1	3
78	во мне	1	3
79	в ней	1	3
80	этом смысле	2	3
81	человека и	1	3
82	на своем	1	3
83	нет и	1	3
84	могут быть	2	3
85	до конца	1	3
86	о том	1	3
87	теории и	1	3
88	в то	3	3
89	независимо от	1	3
90	всех этих	2	3
91	тот же	1	3
92	ничего не	2	3
93	бы то	3	2
94	которой все	1	2
95	а это	1	2
96	единства и	1	2
97	это уже	2	2
98	так и	1	2
99	из которых	1	2
100	и то	3	2
101	в качестве	1	2
102	сводится к	2	2
103	по себе	2	2
104	в виде	1	2
105	если не	2	2
106	отказаться от	1	2
107	он может	1	2
108	не о	3	2
109	содержание и	1	2
110	и эта	1	2
111	не следует	3	2
112	в процессе	1	2
113	смысле и	1	2
114	с тем	1	2
115	его на	1	2
116	пройти мимо	1	2
117	что он	2	2
118	и отчетливо	1	2
119	место и	1	2
120	это было	2	2
121	а для	1	2
122	все они	2	2
123	к этому	1	2
124	и потому	1	2
125	было и	1	2
126	его и	2	2
127	в данном	1	2
128	выхода в	1	2
129	она не	1	2
130	то ни	3	2
131	быть не	1	2
132	содержания и	1	2
133	для этого	3	2
134	же время	3	2
135	к которой	1	2
136	имеем в	1	2
137	они находятся	1	2
138	в этой	4	2
139	он и	1	2
140	своем месте	1	2
141	ее как	1	2
142	что только	1	2
143	научного мышления	1	2
144	с его	2	2
145	значимость и	1	2
146	в области	3	2
147	а как	2	2
148	дан в	1	2
149	как основной	1	1
150	все в	1	1
151	построения и	1	1
152	в самом	2	1
153	именно к	1	1
154	или просто	1	1
155	все что	1	1
156	до сих	2	1
157	религии и	1	1
158	как таковой	2	1
159	то есть	1	1
160	переходит в	1	1
161	т.е в	2	1
162	она в	1	1
163	он становится	1	1
164	только этот	1	1
165	впрочем в	1	1
166	и теоретической	1	1
167	художественного творчества	5	1
168	философское мышление	1	1
169	это значит	1	1
170	относятся к	1	1
171	как раз	2	1
172	ее в	1	1
173	находятся в	1	1
174	и через	2	1
175	и методических	1	1
176	можно сказать	1	1
177	только при	1	1
178	одно из	1	1
179	смысле можно	1	1
180	закон и	1	1
181	же не	2	1
182	быть обоснованы	1	1
183	смысле этого	2	1
184	и всякого	1	1
185	но такое	1	1
186	как таковым	1	1
187	в конечном	4	1
188	бы только	1	1
189	и даже	1	1
190	что ему	1	1
191	но он	1	1
192	в которой	1	1
193	этого не	1	1
194	и с	2	1
195	как таковая	1	1
196	равно как	1	1
197	это содержание	1	1
198	форму и	2	1
199	он будет	1	1
200	никогда и	1	1
201	в понятии	1	1
202	не делает	1	1
203	превращается в	2	1
204	и индивидуального	1	1
205	конечном счете	4	1
206	исходить из	1	1
207	ценность в	1	1
208	какого-нибудь произведения	1	1
209	их в	1	1
210	и так	1	1
211	при таком	2	1
212	противном случае	2	1
213	правда не	1	1
214	приводит к	1	1
215	представляется нам	2	1
216	и историческая	1	1
217	на его	1	1
218	в известном	1	1
219	не принцип	1	1
220	об этом	1	1
221	науки они	1	1
222	сих пор	2	1
223	и всей	1	1
224	определяется не	1	1
225	этот процесс	1	1
226	бы ни	1	1
227	его еще	1	1
228	только для	1	1
229	его эстетической	1	1
230	остается в	1	1
231	перестает быть	5	1
232	именно как	2	1
233	все и	1	1
234	архитектонику как	1	1
235	мы можем	1	1
236	не существует	1	1
237	только к	3	1
238	весь и	1	1
239	что мы	2	1
240	не исключительно	1	1
241	она должна	1	1
242	более чем	2	1
243	которой и	1	1
244	принципов и	1	1
245	и разнообразие	1	1
246	в этот	1	1
247	его теоретической	1	1
248	в искусстве	6	1
249	конечно это	1	1
250	может служить	1	1
251	она эта	1	1
252	и эстетической	1	1
253	в различных	1	1
254	самое что	1	1
255	всего что	1	1
256	же самое	2	1
257	где же	1	1
258	философии это	1	1
259	архитектоники в	1	1
260	но понятие	1	1
261	признать что	1	1
262	вне его	1	1
263	содержания в	1	1
264	связанных с	1	1
265	их и	2	1
266	единицы и	1	1
267	в не	1	1
268	не для	1	1
269	к следующему	1	1
270	той же	1	1
271	и др	1	1
272	это много	1	1
273	но прежде	1	1
274	теоретические и	1	1
275	относится к	1	1
276	что все	2	1
277	содержания на	1	1
278	он пытается	1	1
279	содержательны и	1	1
280	же в	1	1
281	что она	2	1
282	в значительной	1	1
283	на то	1	1
284	в противном	2	1
285	вся система	1	1
286	это в	1	1
287	по методу	1	1
288	приходится признать	2	1
289	является только	1	1
290	месте в	1	1
291	в системе	2	1
292	не случайно	2	1
293	отвлеченное от	1	1
294	само по	1	1
295	и единого	1	1
296	не случайной	1	1
297	не предмет	1	1
298	правда может	1	1
299	этого конечно	1	1
300	формы и	2	1
301	нем но	1	1
