N	2gram	Trubetskoy	NovoeSre
1	новой истории	1	67
2	а не	5	17
3	не может	4	16
4	и в	26	16
5	совсем не	1	12
6	и не	8	11
7	и есть	1	10
8	что в	9	9
9	в эпоху	7	9
10	в том	11	8
11	как не	1	8
12	жизни и	2	8
13	он не	4	8
14	в этом	15	7
15	может быть	10	7
16	это есть	1	7
17	культуры и	3	7
18	как и	1	7
19	возврат к	1	6
20	ни в	1	6
21	не в	2	6
22	лишь в	5	6
23	от бога	2	6
24	с его	2	6
25	но это	1	6
26	никогда не	5	6
27	и к	5	5
28	не только	10	5
29	в ней	1	5
30	все это	6	5
31	в жизни	1	5
32	в нем	4	5
33	с ее	1	5
34	культуры в	1	5
35	перестает быть	2	4
36	и потому	6	4
37	по своему	2	4
38	должно быть	1	4
39	воли к	1	4
40	потому что	7	4
41	народные массы	2	4
42	это не	1	4
43	прежде всего	2	4
44	в них	2	4
45	то что	7	4
46	не было	2	4
47	и все	2	4
48	не менее	3	4
49	не имеет	5	4
50	и для	5	4
51	о том	6	4
52	к лицу	1	3
53	во всех	2	3
54	не означает	1	3
55	в наше	1	3
56	и пр	1	3
57	в ее	1	3
58	смысле слова	1	3
59	что такое	1	3
60	лицом к	1	3
61	конечно не	2	3
62	не существует	1	3
63	с другой	8	3
64	к ним	3	3
65	в россии	2	3
66	бога и	4	3
67	сказать что	2	3
68	с тем	18	3
69	к жизни	5	3
70	не есть	1	3
71	волю к	2	3
72	в своей	1	3
73	в мире	5	3
74	как в	1	3
75	перейти к	1	3
76	но и	9	3
77	это было	1	3
78	к ее	1	3
79	к тому	6	3
80	человека и	1	3
81	еще не	2	3
82	с этим	1	2
83	все они	1	2
84	и от	4	2
85	в религиозном	7	2
86	и весь	1	2
87	это и	1	2
88	ни к	1	2
89	силы и	2	2
90	и что	4	2
91	не могли	1	2
92	бога но	1	2
93	это связано	1	2
94	что она	1	2
95	ли это	2	2
96	духовной жизни	1	2
97	зависит от	1	2
98	эпоху когда	2	2
99	с одной	7	2
100	хотя бы	3	2
101	мы не	1	2
102	бога то	1	2
103	того чтобы	5	2
104	хозяйственной жизни	1	2
105	так и	6	2
106	этот мир	1	2
107	сама жизнь	1	2
108	думать что	1	2
109	одной стороны	7	2
110	не могла	2	2
111	и должно	1	2
112	другой стороны	1	2
113	с их	1	2
114	в русском	2	2
115	у него	1	2
116	место в	1	2
117	а в	4	2
118	в будущем	1	2
119	когда мы	1	2
120	и даже	3	2
121	и с	10	2
122	вернуться к	1	2
123	связана с	2	2
124	по существу	2	2
125	для этого	2	2
126	и ночи	1	2
127	могут быть	1	2
128	в себе	6	2
129	и на	2	2
130	быть в	1	2
131	призыв к	1	2
132	уже не	3	2
133	что все	4	2
134	не собирается	1	2
135	время как	1	2
136	времени в	1	2
137	помнить что	1	2
138	все эти	6	2
139	же как	3	2
140	такой же	1	2
141	вместе с	15	2
142	в духовной	1	2
143	стремление к	1	2
144	мира и	1	2
145	роль в	1	2
146	но не	8	2
147	в то	4	2
148	от старого	1	2
149	должно было	2	2
150	в новом	2	2
151	том что	7	2
152	бытия в	1	2
153	так же	5	2
154	и это	2	2
155	можно назвать	2	2
156	в смысле	4	2
157	но для	1	2
158	в одну	1	2
159	себя в	1	2
160	к богу	3	2
161	реакцией против	1	2
162	но в	7	2
163	не к	2	2
164	в той	1	1
