N	4gram	Vygotskiy_	PoTuStor
1	на первый план выдвигается	1	1
2	и в высшей степени	1	1
3	оставляет никаких сомнений в	1	1
4	с этой точки зрения	4	1
5	но мы знаем что	1	1
6	случае не может быть	1	1
7	не оставляет никаких сомнений	1	1
8	не что иное как	1	1
9	не чем иным как	2	1
10	одну и ту же	1	1
11	одного плана в другой	1	1
12	на следующих ступенях развития	1	1
13	из одного плана в	1	1
14	в этом отношении и	1	1
15	так же как и	2	1
16	совершенно так же как	1	1
17	одного и того же	3	1
18	с точки зрения обоих	1	1
