N	2gram	Savitsky_E	Tragedij
1	и в	37	18
2	в этом	12	9
3	не только	18	8
4	и на	6	7
5	и не	14	7
6	может быть	6	7
7	и с	2	7
8	как бы	6	7
9	он сам	2	7
10	же время	14	6
11	но в	14	6
12	и его	1	6
13	несмотря на	4	5
14	что это	2	5
15	так и	10	5
16	к жизни	1	5
17	все же	1	5
18	то же	15	5
19	как и	7	5
20	не может	9	5
21	в то	16	5
22	что в	21	4
23	в себе	9	4
24	и даже	6	4
25	прежде всего	9	4
26	и все	2	4
27	об этом	1	4
28	но и	14	4
29	том что	6	4
30	и что	2	4
31	так же	9	4
32	то что	6	4
33	в этой	2	4
34	в нем	1	4
35	но это	1	4
36	что с	1	3
37	один из	1	3
38	должно быть	1	3
39	уже в	1	3
40	в его	2	3
41	для него	1	3
42	в своем	14	3
43	с ним	1	3
44	и сам	1	3
45	что за	1	3
46	и как	2	3
47	в мире	2	3
48	как в	3	3
49	то есть	6	3
50	при этом	1	3
51	как это	4	3
52	тем самым	5	3
53	с ее	1	3
54	мог бы	2	3
55	как будто	2	3
56	отнюдь не	9	3
57	все эти	1	3
58	к нему	2	3
59	в самом	4	2
60	и то	2	2
61	и лучше	1	2
62	данном случае	2	2
63	в том	11	2
64	x и	1	2
65	с тем	3	2
66	в ее	8	2
67	говорит о	3	2
68	что и	3	2
69	бы и	3	2
70	к области	1	2
71	в русском	1	2
72	что все	2	2
73	не могут	2	2
74	в виде	5	2
75	как же	2	2
76	не в	5	2
77	но все	1	2
78	с г	1	2
79	еще в	1	2
80	в силах	1	2
81	в таком	3	2
82	одном из	2	2
83	вопрос о	4	2
84	имеет в	2	2
85	и это	1	2
86	уже не	1	2
87	к тому	8	2
88	о том	3	2
89	не имеет	4	2
90	что эти	2	2
91	на всем	4	2
92	в данном	3	2
93	только к	2	2
94	отличие от	1	2
95	то и	1	2
96	потому что	3	2
97	времени в	1	2
98	он не	2	2
99	в частности	5	2
100	и детей	1	2
101	но они	1	2
102	другим в	1	2
103	в одном	2	2
104	и до	1	2
105	в отличие	1	2
106	столь же	5	2
107	который в	1	2
108	одна из	1	2
109	с его	1	2
110	тем что	3	2
111	и ее	1	2
112	никогда не	3	2
113	в известной	3	2
114	жизнью и	1	2
115	в той	5	1
116	во всем	1	1
117	то в	4	1
118	от нее	1	1
119	утверждать что	2	1
120	могут быть	2	1
121	мы бы	1	1
122	к сожалению	1	1
123	мы видим	2	1
124	в центре	1	1
125	что оно	1	1
126	по природе	1	1
127	таким образом	2	1
128	мы отметим	1	1
129	смотреть на	1	1
130	на путях	4	1
131	обратное народ	1	1
132	на вопрос	1	1
133	также что	1	1
134	на западе	1	1
135	к этой	1	1
136	с одной	8	1
137	что даже	1	1
138	должна быть	2	1
139	но еще	2	1
140	с такой	1	1
141	он считает	1	1
142	с этой	6	1
143	при самом	1	1
144	ко всему	2	1
145	дело с	1	1
146	в применении	3	1
147	и далее	1	1
148	к числу	1	1
149	но от	1	1
150	что эта	1	1
151	ибо тем	1	1
152	т е	9	1
153	что при	1	1
154	того что	7	1
155	не как	1	1
156	а затем	1	1
157	для нас	4	1
158	не способен	1	1
159	одно из	1	1
160	в результате	3	1
161	иными словами	4	1
162	смысле этого	1	1
163	быть может	1	1
164	с собой	1	1
165	и теперь	2	1
166	только в	9	1
167	нельзя ли	3	1
168	по себе	4	1
169	мы оставим	1	1
170	россии но	6	1
171	есть такая	1	1
172	в самой	1	1
173	отметим что	1	1
174	чтобы превратить	1	1
175	x в	3	1
176	а на	1	1
177	и притом	4	1
178	не было	1	1
179	ко всем	1	1
180	это должно	1	1
181	значение только	2	1
182	он рассматривает	1	1
183	имеет для	1	1
184	а также	7	1
185	его собственная	2	1
186	в россии	5	1
187	заключается в	2	1
188	мысль о	1	1
189	же по	1	1
190	на себя	3	1
191	что не	1	1
192	как его	1	1
193	мира против	1	1
194	не есть	2	1
195	именно в	4	1
196	представление о	2	1
197	вообще не	3	1
198	тому что	1	1
199	когда его	1	1
200	в связи	1	1
201	завершения в	1	1
202	лишь на	1	1
203	с ними	1	1
204	с такими	1	1
205	есть в	2	1
206	на земле	1	1
207	в переводе	1	1
208	в своей	8	1
209	рядом с	1	1
210	вместе с	2	1
211	на этом	1	1
212	при таком	1	1
213	жизни в	3	1
214	не менее	1	1
215	и т	1	1
216	перед собой	1	1
217	может жить	1	1
218	в такой	1	1
219	к россии	4	1
220	между собой	2	1
221	если можно	1	1
222	власти и	1	1
223	в двух	1	1
224	сравнению с	2	1
225	по самой	1	1
226	когда в	1	1
227	xix век	1	1
228	играть в	1	1
229	ли это	3	1
230	тогда как	1	1
231	всем его	1	1
232	бы в	2	1
233	в них	3	1
234	на них	2	1
235	нашему мнению	2	1
236	во всех	6	1
237	а поскольку	2	1
238	бы сказали	1	1
239	во всяком	3	1
240	и потому	5	1
241	отцов и	1	1
242	но как	2	1
243	более чем	2	1
244	не является	3	1
245	а к	1	1
246	в котором	2	1
247	не сводится	1	1
248	возвращается к	1	1
249	как нечто	1	1
250	применении к	3	1
251	связи с	1	1
252	от природы	1	1
253	силы и	1	1
254	наивность этого	1	1
255	хотя бы	15	1
256	она не	2	1
257	связь и	1	1
258	того чтобы	6	1
259	и если	2	1
260	природе вещей	1	1
261	но не	5	1
262	в каких	1	1
263	этом мире	1	1
264	между тем	8	1
265	представляет собой	3	1
266	не быть	1	1
267	и должна	1	1
268	в ней	4	1
269	обстоит дело	3	1
270	с совершенно	1	1
271	в отношениях	1	1
272	в новой	1	1
273	из себя	1	1
274	в развитии	2	1
275	не исключено	1	1
276	лишь в	1	1
277	если так	1	1
278	а не	2	1
279	грубость и	1	1
280	ii с	1	1
281	значение для	1	1
282	и их	1	1
283	за свои	1	1
284	связь между	1	1
285	можно было	3	1
286	за пределы	1	1
287	вместо того	1	1
288	даже не	1	1
289	к проблемам	1	1
290	в истории	2	1
291	по своей	2	1
292	ту же	1	1
293	свое значение	1	1
294	это может	1	1
295	в обоих	1	1
296	отметить что	3	1
297	литературы и	1	1
298	всего этого	1	1
299	но этот	1	1
300	значение и	1	1
301	но все-таки	1	1
302	известной степени	3	1
303	к ним	3	1
304	и еще	2	1
305	он в	1	1
306	к ней	4	1
307	как мы	5	1
308	во многом	2	1
309	и о	1	1
310	на уровне	2	1
311	наряду с	2	1
312	той же	1	1
313	по сравнению	2	1
314	это мы	1	1
315	самой природе	1	1
316	считает что	1	1
317	быть в	1	1
318	не значит	1	1
319	и от	3	1
320	с которым	1	1
321	мы отнюдь	1	1
322	в общем	3	1
323	на этот	2	1
324	xx века	1	1
325	исходит из	1	1
326	для понимания	2	1
327	этого слова	1	1
328	например в	1	1
329	но если	5	1
330	в сфере	3	1
331	в области	11	1
332	и по	5	1
333	и эта	2	1
334	это в	1	1
335	исключено что	1	1
336	является ли	3	1
337	всяком случае	3	1
338	не из	3	1
339	чтобы не	1	1
340	и наконец	2	1
341	что на	2	1
342	вплоть до	1	1
343	на ту	1	1
344	не к	2	1
345	людей в	1	1
346	время с	1	1
347	обратиться к	1	1
348	по нашему	3	1
