N	3gram	Bakhtin_Pr	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	6	6
3	до сих пор	1	5
4	для того чтобы	2	5
5	в том что	3	3
6	в связи с	1	3
7	тем не менее	3	3
8	той или иной	2	2
9	на то что	1	2
10	таким образом в	1	2
11	то или иное	2	2
12	то ни было	2	2
13	то же самое	2	2
14	по сравнению с	1	2
15	можно сказать что	2	2
16	бы то ни	3	2
17	в этом отношении	2	2
18	то же время	3	2
19	в то же	3	2
20	и в этом	1	2
21	может быть и	1	2
22	сами по себе	1	1
23	в своем целом	1	1
24	так и в	2	1
25	их он может	1	1
26	в первом случае	1	1
27	притом не только	1	1
28	есть ли это	1	1
29	в свою очередь	1	1
30	в одном и	1	1
31	а между тем	1	1
32	в настоящее время	1	1
33	иметь в виду	1	1
34	смысле этого слова	1	1
35	может и не	2	1
36	но в то	1	1
37	в этом направлении	1	1
38	вследствие того что	1	1
39	к чему не	1	1
40	до известной степени	1	1
41	от них в	1	1
42	не может быть	11	1
43	по отношению к	19	1
44	и в то	2	1
45	в данном случае	4	1
46	которой не было	1	1
47	и в общем	1	1
48	в отличие от	5	1
49	а в том	1	1
50	по своему значению	1	1
51	тем или иным	1	1
52	не более как	1	1
53	и к культуре	1	1
54	что все эти	1	1
55	с тем что	1	1
56	которые могли бы	1	1
57	его уже не	1	1
58	но не имеет	1	1
59	в самом деле	3	1
60	но далеко не	1	1
61	а следовательно и	1	1
62	сдвиг в области	1	1
63	лицом к лицу	1	1
64	сказать и о	2	1
65	с другой стороны	4	1
66	с ними в	1	1
67	о том как	1	1
68	не в том	1	1
69	ни к чему	1	1
70	не совпадает с	2	1
71	в то время	1	1
72	это и есть	1	1
73	особенно в области	1	1
74	к нему или	1	1
75	в этом последнем	1	1
