N	3gram	Propp_Morf	Narrotol
1	в том что	4	18
2	в данном случае	2	17
3	по отношению к	7	11
4	о том что	3	9
5	не может быть	9	8
6	тем не менее	6	8
7	той или иной	1	8
8	то же время	1	8
9	в то же	1	8
10	в этом отношении	2	8
11	состоит в том	3	6
12	можно сказать что	1	6
13	с одной стороны	2	6
14	для того чтобы	3	5
15	в свою очередь	1	5
16	на самом деле	4	5
17	подобно тому как	5	5
18	к тому что	4	4
19	во всяком случае	2	4
20	друг на друга	2	3
21	до сих пор	1	3
22	в этом и	1	3
23	в первом случае	3	3
24	иметь в виду	1	3
25	точно так же	2	3
26	в связи с	9	3
27	а также и	5	3
28	на то что	3	3
29	с точки зрения	6	3
30	они и не	1	2
31	в е годы	1	2
32	из этих двух	1	2
33	далеко не всегда	1	2
34	более или менее	2	2
35	и то же	1	2
36	в таком случае	1	2
37	есть на самом	1	2
38	не входит в	2	2
39	хотя и не	2	2
40	но и здесь	1	2
41	но все же	4	2
42	здесь мы имеем	1	2
43	одно и то	1	2
44	можно было бы	2	2
45	на первый взгляд	3	2
46	а во втором	1	2
47	что иное как	2	2
48	как бы в	1	2
49	и тот же	1	1
50	мы уже знаем	1	1
51	вслед за этим	1	1
52	о том как	2	1
53	что я за	1	1
54	до известной степени	1	1
55	то что он	1	1
56	и многие другие	1	1
57	в большинстве случаев	3	1
58	здесь также не	1	1
59	то что не	1	1
60	самом деле в	1	1
61	в первый раз	1	1
62	он не может	1	1
63	следует заметить что	2	1
64	из наиболее известных	1	1
65	и только третья	1	1
66	между тем не	1	1
67	потому что в	1	1
68	могло бы быть	1	1
69	но они не	1	1
70	может быть определено	1	1
71	будет зависеть от	1	1
72	связи с этим	5	1
73	друг с другом	1	1
74	в том случае	3	1
75	одна за другой	1	1
76	в обоих случаях	2	1
77	таким образом что	1	1
78	сомневаться в том	1	1
79	бросается в глаза	1	1
80	его реакции на	1	1
81	в том или	1	1
82	если же в	1	1
83	противном случае он	1	1
84	и в других	2	1
85	будет сказано ниже	1	1
86	из них не	1	1
87	так как это	1	1
88	что в основе	1	1
89	то ни было	2	1
90	и даже не	1	1
91	но в этом	1	1
92	в целом и	1	1
93	из дому и	1	1
94	уже видели в	1	1
95	они не являются	1	1
96	и была такова	1	1
97	мы имеем две	1	1
98	с другой стороны	5	1
99	бы то ни	3	1
100	во втором случае	1	1
101	как мы увидим	5	1
102	не то что	1	1
103	в чем же	1	1
104	ответ на него	1	1
105	действующих лиц не	2	1
106	и т д	60	1
107	есть не что	1	1
108	в этих случаях	14	1
109	может быть рассмотрена	1	1
110	и тем не	2	1
111	к тому или	1	1
112	в глаза что	1	1
113	что он может	1	1
114	к нему в	1	1
115	в противном случае	1	1
116	к чему мы	1	1
117	один и тот	1	1
118	этой точки зрения	1	1
119	что же касается	1	1
120	одна из них	1	1
121	как и в	3	1
122	и небо и	1	1
123	как один из	1	1
124	никто не знает	1	1
125	могут прилагаться к	1	1
126	с того что	2	1
127	один из наиболее	1	1
128	в то время	3	1
129	на этот вопрос	1	1
130	хотя они и	1	1
131	же можно сказать	1	1
132	начинается с того	2	1
133	в частности как	1	1
134	прежде всего следует	3	1
135	и представляют собой	1	1
136	не означает что	1	1
137	не что иное	2	1
138	ни одна из	1	1
139	как это обычно	1	1
140	ему в голову	1	1
141	это было сделано	1	1
142	и как будто	1	1
143	это уже не	1	1
144	которое может быть	2	1
145	то время как	3	1
146	с самого начала	1	1
147	в русской в	1	1
148	том что он	1	1
149	она может быть	1	1
150	том случае если	2	1
151	для героев для	1	1
152	в форме рассказа	1	1
153	вместо того чтобы	1	1
154	во второй раз	2	1
155	уже не только	1	1
156	что и в	1	1
157	с этой точки	1	1
158	мы не можем	1	1
159	он идет по	1	1
160	с этого момента	2	1
161	может быть и	2	1
