N	3gram	Ircho_Kome	Russkaja
1	то же время	5	10
2	в то же	5	10
3	в том что	13	7
4	во всяком случае	4	6
5	для того чтобы	3	6
6	а между тем	1	5
7	до сих пор	3	5
8	в том случае	1	4
9	на то что	2	4
10	более или менее	1	4
11	бы то ни	4	4
12	той или иной	1	3
13	в конце концов	4	3
14	вместе с тем	4	3
15	можно было бы	3	3
16	в данном случае	1	3
17	том случае если	1	3
18	что он не	2	2
19	и в том	1	2
20	того или иного	1	2
21	и во всяком	1	2
22	точно так же	1	2
23	в большинстве случаев	2	2
24	о том что	6	2
25	только в том	1	2
26	к тому что	3	2
27	таким же образом	1	2
28	в другом случае	1	2
29	друг от друга	2	2
30	не знаем и	1	1
31	должны были бы	1	1
32	само собой разумеется	1	1
33	та или другая	1	1
34	но при этом	1	1
35	в силу этого	3	1
36	в борьбе с	1	1
37	о которых идет	1	1
38	за то что	4	1
39	между тем у	1	1
40	смысле этого слова	1	1
41	в союзе с	1	1
42	речь идет о	5	1
43	каждая из них	1	1
44	мы уже знаем	1	1
45	нельзя отрицать что	1	1
46	на службу к	1	1
47	том числе и	1	1
48	так же как	1	1
49	и таким образом	2	1
50	по отношению к	5	1
51	у него на	1	1
52	и прежде всего	1	1
53	одной из этих	1	1
54	и вот в	1	1
55	с самого начала	2	1
56	то ни было	4	1
57	о которых мы	1	1
58	основе его лежит	1	1
59	из всего этого	2	1
60	в культурной жизни	1	1
61	к участию в	1	1
62	в связи с	3	1
63	то же самое	2	1
64	в том же	1	1
65	которых идет речь	1	1
66	как видно из	2	1
67	в том числе	4	1
68	что все это	1	1
69	тем не менее	2	1
70	но все же	1	1
71	и это особенно	1	1
72	жизни но и	1	1
73	том что для	1	1
74	общими для всех	1	1
75	в этом отношении	3	1
76	потому что и	1	1
77	в применении к	1	1
78	и не только	1	1
79	тем более что	1	1
80	в значительной степени	1	1
81	в основе его	1	1
82	только в виде	1	1
83	о том чем	1	1
84	речь шла о	1	1
85	или хотя бы	1	1
86	состоит в том	1	1
87	к тому же	12	1
88	совершенно очевидно что	1	1
89	сводится к тому	1	1
90	потому что они	1	1
91	как бы то	1	1
92	и вот на	1	1
