N	2gram	Ircho_Kome	NovoeSre
1	а не	1	17
2	не может	3	16
3	и в	40	16
4	совсем не	2	12
5	нового времени	7	12
6	и не	19	11
7	что в	12	9
8	в эпоху	1	9
9	в том	19	8
10	жизни и	4	8
11	он не	5	8
12	в этом	9	7
13	может быть	16	7
14	культуры и	1	7
15	как и	12	7
16	общественной жизни	2	6
17	ни в	9	6
18	не знает	1	6
19	не в	8	6
20	высшей степени	1	6
21	с его	4	6
22	но это	2	6
23	в высшей	1	6
24	и к	2	5
25	не только	12	5
26	в ней	2	5
27	все это	7	5
28	в жизни	1	5
29	в нем	8	5
30	с ее	2	5
31	должен быть	1	5
32	культуры в	1	5
33	и потому	1	4
34	жизни к	1	4
35	по своему	5	4
36	со всех	1	4
37	потому что	8	4
38	это не	2	4
39	прежде всего	8	4
40	в них	7	4
41	то что	8	4
42	не было	1	4
43	новое время	3	4
44	и все	4	4
45	государства и	2	4
46	всех сторон	1	4
47	не менее	6	4
48	не имеет	1	4
49	античного мира	2	4
50	и для	4	4
51	о том	12	4
52	наше время	2	4
53	во всех	4	3
54	возвращение к	1	3
55	вопрос о	5	3
56	не означает	2	3
57	в наше	1	3
58	тому как	1	3
59	в ее	2	3
60	за пределы	2	3
61	дня и	1	3
62	конечно не	1	3
63	подобно тому	1	3
64	в истории	10	3
65	в новое	2	3
66	в духе	3	3
67	с другой	7	3
68	в основе	1	3
69	сказать что	1	3
70	наряду с	7	3
71	и начало	1	3
72	с тем	5	3
73	к жизни	1	3
74	в своей	3	3
75	в мире	3	3
76	как в	8	3
77	жизни в	1	3
78	но и	14	3
79	это было	5	3
80	к ее	2	3
81	к тому	15	3
82	еще не	7	3
83	с этим	5	2
84	всякое значение	1	2
85	и от	2	2
86	права на	1	2
87	и что	2	2
88	не могли	2	2
89	на протяжении	14	2
90	что она	3	2
91	ли это	2	2
92	не имеют	1	2
93	борьба и	1	2
94	познания и	1	2
95	с одной	5	2
96	хотя бы	2	2
97	в судьбах	1	2
98	такого рода	6	2
99	мы не	4	2
100	того чтобы	4	2
101	хотя и	6	2
102	в нашу	1	2
103	которых не	2	2
104	ли есть	1	2
105	так и	17	2
106	нашего времени	1	2
107	как это	7	2
108	которому не	1	2
109	человека во	1	2
110	одной стороны	5	2
111	не могла	2	2
112	можно было	5	2
113	ни одна	2	2
114	другой стороны	6	2
115	времени и	2	2
116	с их	4	2
117	этом смысле	2	2
118	у него	6	2
119	место в	7	2
120	приобщиться к	1	2
121	а в	9	2
122	все время	2	2
123	и даже	5	2
124	и формы	2	2
125	люди не	1	2
126	в свои	4	2
127	и с	8	2
128	на уровне	1	2
129	вернуться к	2	2
130	по существу	1	2
131	для этого	2	2
132	нет и	2	2
133	могут быть	3	2
134	в себе	3	2
135	и на	9	2
136	быть в	1	2
137	мира а	1	2
138	что все	1	2
139	время как	6	2
140	времени в	2	2
141	помнить что	1	2
142	все эти	1	2
143	же как	3	2
144	такой же	2	2
145	вместе с	8	2
146	который в	2	2
147	политики и	2	2
148	одна из	4	2
149	мира и	1	2
150	роль в	2	2
151	как будто	3	2
152	но не	3	2
153	в то	14	2
154	века были	1	2
155	споры о	1	2
156	том что	19	2
157	так же	4	2
158	и это	3	2
159	себя в	2	2
160	но в	6	2
161	формы и	1	2
162	обращение к	1	2
163	не к	2	2
164	к более	1	2
165	войны и	7	2
166	и власть	1	1
167	в той	2	1
168	вопрос об	1	1
169	женщины в	2	1
170	и мир	2	1
171	войне и	1	1
172	из духовной	1	1
173	в самом	5	1
174	ближе к	1	1
175	во всем	1	1
176	к одному	1	1
177	они являются	1	1
178	еще при	1	1
179	ее на	1	1
180	философии и	2	1
181	том случае	1	1
182	на западе	1	1
183	то он	1	1
184	все что	3	1
185	человека в	2	1
186	война с	1	1
187	для всех	5	1
188	в более	4	1
189	это конечно	1	1
190	до сих	3	1
191	а к	2	1
192	бы к	1	1
193	и более	2	1
194	бы он	1	1
195	и этот	1	1
196	в котором	6	1
197	из сторон	1	1
198	и мира	1	1
199	и всех	1	1
200	века с	1	1
201	то это	3	1
202	демократии и	3	1
203	отличие от	4	1
204	по всем	2	1
205	мир в	1	1
206	быть сам	1	1
207	нет ни	1	1
208	отнести к	1	1
209	нельзя сказать	1	1
210	они не	1	1
211	из них	16	1
212	после падения	1	1
213	к ней	2	1
214	все еще	1	1
215	на нем	2	1
216	пришли к	1	1
217	к природе	1	1
218	также что	2	1
219	случае если	1	1
220	потом для	1	1
221	мы уже	1	1
222	и античной	1	1
223	уже в	9	1
224	эти слова	1	1
225	на ее	2	1
226	до последних	1	1
227	к себе	1	1
228	в свою	2	1
229	в значительной	1	1
230	в состоянии	3	1
231	для себя	2	1
232	из этих	5	1
233	во всяком	4	1
234	том числе	4	1
235	в гг	3	1
236	земли и	2	1
237	одну из	2	1
238	для того	3	1
239	не по	5	1
240	быть отнесены	1	1
241	быть не	1	1
242	не для	1	1
243	же мере	1	1
244	думаю что	2	1
245	античной культуры	1	1
246	не всегда	2	1
247	из их	1	1
248	в этот	1	1
249	искусства философии	1	1
250	это уже	2	1
251	или нет	1	1
252	было бы	8	1
253	и из	2	1
254	в сущности	3	1
255	культуры на	1	1
256	в его	8	1
257	особое место	1	1
258	значительной степени	1	1
259	значение для	1	1
260	и их	3	1
261	в которую	1	1
262	говорить о	3	1
263	не с	1	1
264	во времена	2	1
265	всего как	1	1
266	одному из	2	1
267	народы в	1	1
268	как результат	1	1
269	у нас	3	1
270	и когда	1	1
271	время когда	2	1
272	это была	2	1
273	для них	2	1
274	не столько	1	1
275	людей и	1	1
276	говорит что	1	1
277	себя на	1	1
278	в виду	2	1
279	или к	2	1
280	не больше	1	1
281	сами эти	1	1
282	еще в	9	1
283	превращается в	1	1
284	с собой	2	1
285	только в	6	1
286	в древних	2	1
287	не на	1	1
288	не могут	1	1
289	под этим	1	1
290	по своей	2	1
291	между небом	2	1
292	от того	3	1
293	и немощен	1	1
294	от других	1	1
295	от своих	1	1
296	в зависимости	1	1
297	к достижению	1	1
298	в большинстве	2	1
299	было и	1	1
300	потребность в	1	1
301	была уже	2	1
302	приходят в	1	1
303	что нет	1	1
304	а на	2	1
305	вступить на	1	1
306	принадлежащими к	1	1
307	демократии во	1	1
308	вот этот	1	1
309	идейной жизни	1	1
310	но он	2	1
311	значение и	1	1
312	зависимость от	1	1
313	в которой	9	1
314	и а	1	1
315	до войны	1	1
316	перед ними	2	1
317	в этой	9	1
318	этого не	1	1
319	числе и	1	1
320	их будет	1	1
321	я думаю	2	1
322	в традиционные	1	1
323	а по	1	1
324	человек а	1	1
325	в политической	1	1
326	а также	5	1
327	и еще	5	1
328	жизнь в	1	1
329	что его	1	1
330	как на	2	1
331	жизни от	1	1
332	общества в	1	1
333	в отличие	3	1
334	так называемый	1	1
335	он в	1	1
336	будто бы	2	1
337	возможно что	4	1
338	на путь	1	1
339	частной собственности	1	1
340	же так	1	1
341	нем не	1	1
