N	4gram	Trubetskoy	Problema
1	в то время как	1	12
2	дело в том что	1	10
3	также и то что	1	9
4	не говоря уже о	1	7
5	заключается в том что	3	6
6	бы то ни было	3	6
7	в том виде как	1	5
8	тем не менее в	1	5
9	одно и то же	1	4
10	и с точки зрения	1	4
11	в том числе и	1	4
12	в том или ином	1	4
13	в тех случаях когда	1	3
14	одного и того же	3	3
15	как мы видели выше	1	3
16	несмотря на то что	2	3
17	с этой точки зрения	1	3
18	отличаются друг от друга	3	3
19	в том что он	1	3
20	каких бы то ни	1	2
21	о том что он	1	2
22	одной и той же	1	2
23	уже о том что	1	2
24	а может быть и	1	2
25	только в том случае	1	2
26	мысль о том что	1	2
27	как мы сказали выше	1	2
28	говоря уже о том	1	2
29	ясно также и то	1	2
30	но с другой стороны	1	2
31	и уже одно это	1	1
32	и до сих пор	1	1
33	только в этом случае	1	1
34	в том и в	1	1
35	которой мы говорили выше	1	1
36	ни то ни другое	1	1
37	том и в другом	1	1
38	может быть и не	1	1
39	в то же время	2	1
40	таким образом как бы	1	1
41	не может не быть	1	1
42	что в настоящее время	1	1
43	вот тут-то и возникает	1	1
44	указание на то что	1	1
45	в том что они	1	1
46	даже в этом случае	1	1
47	все дело заключается в	1	1
48	в том что все	1	1
49	о которой мы говорили	2	1
50	о которых мы говорили	4	1
51	до сих пор не	5	1
52	друг на друга что	1	1
53	состоит в том что	1	1
54	что в данном случае	1	1
55	что до сих пор	2	1
56	в других областях жизни	1	1
57	но для того чтобы	1	1
58	и в конце концов	1	1
59	в том случае если	4	1
60	которых мы говорили выше	4	1
61	во всех этих областях	1	1
62	даже и при таком	1	1
63	и не может быть	1	1
64	мы видели выше есть	1	1
65	и в том и	1	1
66	таким же образом как	1	1
67	то время как другие	1	1
68	и в другом случае	1	1
69	а на самом деле	1	1
70	вместе с тем и	1	1
71	представление о том что	1	1
72	в самом деле надо	1	1
73	если бы все это	1	1
74	мы говорили выше что	1	1
75	в этом последнем случае	1	1
76	дело заключается в том	1	1
77	в самом деле если	1	1
