N	3gram	Losev_Prob	UchenyiS
1	не может быть	5	4
2	с другой стороны	7	3
3	в этой области	5	3
4	бы то ни	2	3
5	в то же	4	3
6	по нашему мнению	1	3
7	и то что	9	2
8	в том что	7	2
9	в самом деле	4	2
10	не могут быть	1	2
11	до сих пор	6	2
12	хотя бы и	3	2
13	тех или иных	2	2
14	и в частности	3	2
15	а между тем	1	2
16	в конце концов	11	2
17	то же самое	9	2
18	в этом отношении	2	2
19	но даже и	1	2
20	по крайней мере	8	2
21	в этом смысле	8	2
22	еще ничего не	1	2
23	мы получаем от	1	1
24	он может быть	1	1
25	ничего не значит	2	1
26	говорить не о	1	1
27	в первую очередь	1	1
28	прежде всего если	1	1
29	у нас в	1	1
30	то что было	1	1
31	имеем в виду	1	1
32	не может обойтись	1	1
33	сам по себе	7	1
34	литературы и искусства	5	1
35	так или иначе	7	1
36	не в буквальном	1	1
37	еще одно замечание	1	1
38	на первый взгляд	2	1
39	конце концов не	1	1
40	тем что он	2	1
41	в данное время	2	1
42	но в то	1	1
43	никогда не может	2	1
44	таким образом на	1	1
45	или по крайней	4	1
46	что мы можем	1	1
47	с тем что	2	1
48	и независимо от	2	1
49	свое место и	1	1
50	с одной стороны	4	1
51	нам представляется что	1	1
52	она все же	1	1
53	и с другой	1	1
54	можно сказать что	6	1
55	это не только	1	1
56	для начала и	1	1
57	в значительной мере	2	1
58	не было бы	1	1
59	они относятся к	1	1
60	на первый план	3	1
61	не для всех	1	1
62	этом случае он	1	1
63	все это в	1	1
64	имеются не только	1	1
65	была у нас	1	1
66	и не только	1	1
67	а не только	2	1
68	только в этом	2	1
69	на то что	12	1
70	является одним из	1	1
71	не только в	3	1
72	одним из самых	1	1
73	более или менее	7	1
74	и в то	1	1
75	но это не	1	1
76	концов не может	1	1
77	в данном случае	10	1
78	само по себе	1	1
79	мы имеем в	1	1
80	не о чем	5	1
81	нам думается что	1	1
82	в точном смысле	1	1
83	в отдельности и	1	1
84	в этом случае	6	1
85	в буквальном смысле	3	1
86	уже не как	1	1
87	это было бы	2	1
