N	4gram	Propp_Isto	Vladivir
1	дело в том что	2	11
2	в то время как	3	5
3	не что иное как	3	4
4	то это значит что	1	4
5	не говоря уже о	1	4
6	и вместе с тем	2	4
7	и в этом смысле	1	4
8	не содержит в себе	1	4
9	на самом же деле	1	3
10	в том что он	1	3
11	все дело в том	1	2
12	говоря уже о том	1	2
13	уже о том что	1	2
14	один и тот же	2	2
15	как мы увидим ниже	1	2
16	с одной стороны и	1	2
17	точно так же и	2	2
18	бы то ни было	2	2
19	но вместе с тем	1	2
20	не подлежит никакому сомнению	1	2
21	и тем не менее	2	2
22	есть не что иное	2	2
23	само по себе не	1	1
24	в том случае когда	1	1
25	но мы хотели бы	1	1
26	уже с самого начала	2	1
27	для него как и	1	1
28	указать на то что	1	1
29	но тем не менее	1	1
30	в какой бы то	1	1
31	и в нем он	1	1
32	в том что и	1	1
33	но это конечно не	1	1
34	означает не что иное	1	1
35	по этому поводу необходимо	1	1
36	главным образом в связи	1	1
37	наряду с этим в	1	1
38	иметь в виду что	1	1
39	есть вместе с тем	1	1
40	не чем иным как	1	1
41	мы уже знаем что	2	1
42	мы уже видели что	2	1
43	указанием на то что	1	1
44	не в том чтобы	1	1
45	в это время он	1	1
46	о том что в	1	1
47	тем не менее и	1	1
48	какой бы то ни	1	1
49	так же как и	1	1
50	возникает вопрос о том	1	1
51	мы не будем здесь	2	1
