N	4gram	Voloshinov	RusskieA
1	не что иное как	1	4
2	на самом же деле	5	3
3	до тех пор пока	2	3
4	в том что это	1	3
5	так же как и	2	3
6	но тем не менее	1	2
7	не будем останавливаться на	1	2
8	мы не будем останавливаться	1	2
9	как мы уже знаем	2	2
10	мы не будем здесь	1	2
11	жизни в этом отношении	1	1
12	одни и те же	5	1
13	не только по отношению	1	1
14	одна из основных проблем	1	1
15	одна и та же	1	1
16	а в связи с	1	1
17	самом же деле это	1	1
18	одного и того же	9	1
19	а может быть и	1	1
20	или во всяком случае	1	1
21	сводится к тому что	1	1
22	только по отношению к	1	1
23	дело в том что	1	1
24	привела к тому что	2	1
25	тех пор пока не	1	1
26	это не совсем так	1	1
27	во всех этих случаях	1	1
28	приводит к тому что	1	1
29	без всякой связи с	1	1
30	не имеют ничего общего	1	1
