N	3gram	Propp_Isto	slovoVRo
1	не может быть	6	19
2	то же время	1	18
3	в то же	1	18
4	с точки зрения	1	15
5	в отличие от	1	14
6	с одной стороны	7	11
7	и т д	36	10
8	в этом случае	13	9
9	в пределах одного	1	9
10	в зависимости от	1	8
11	во всяком случае	1	8
12	и в особенности	2	7
13	так и в	2	6
14	но все же	6	6
15	с другой стороны	10	6
16	они могут быть	1	6
17	в том что	4	5
18	по отношению к	2	5
19	не только в	2	5
20	может быть и	1	5
21	одной стороны и	1	4
22	для того чтобы	3	4
23	на первый план	1	4
24	друг с другом	2	4
25	до сих пор	7	4
26	а также и	1	4
27	в свою очередь	1	4
28	можно сказать что	1	4
29	таким образом в	2	4
30	у него нет	1	4
31	не могут быть	1	4
32	все эти формы	1	4
33	и то же	2	3
34	может быть только	1	3
35	в данном случае	2	3
36	в пределах одной	1	3
37	в связи с	6	3
38	себя в нем	1	3
39	но и здесь	1	3
40	как и в	4	3
41	одно и то	2	3
42	как мы видели	2	3
43	в широком смысле	1	3
44	то или иное	1	2
45	с этой точки	2	2
46	вовсе не в	1	2
47	тем не менее	6	2
48	исключают друг друга	2	2
49	не исключают друг	2	2
50	все же и	1	2
51	до некоторой степени	1	2
52	и с другой	1	2
53	и связанные с	1	2
54	а не только	1	2
55	не было никакого	1	2
56	и в том	1	2
57	сих пор не	1	2
58	иметь в виду	1	2
59	между человеком и	1	2
60	но и в	2	2
61	можно утверждать что	1	2
62	о том что	5	2
63	этой точки зрения	2	2
64	в то время	3	2
65	мы не знаем	2	2
66	во всех этих	2	2
67	с самого начала	1	2
68	же как и	4	2
69	с ним и	1	2
70	тем что он	3	2
71	мы уже говорили	1	2
72	и не только	1	2
73	то время как	3	2
74	мы видели что	2	1
75	у него есть	1	1
76	между героем и	1	1
77	что он не	1	1
78	в меньшей степени	1	1
79	из них он	1	1
80	чем перейти к	2	1
81	мы видим что	4	1
82	на задний план	3	1
83	и заставляет их	1	1
84	в ту же	1	1
85	его роль в	1	1
86	одни и те	1	1
87	влечет за собой	1	1
88	дело не в	1	1
89	быть отнесены к	1	1
90	он не может	2	1
91	вне поля зрения	1	1
92	мы еще не	1	1
93	в том числе	3	1
94	различных источника один	1	1
95	вовсе не исключают	1	1
96	для наших целей	1	1
97	в частности в	1	1
98	том что она	1	1
99	друг на друга	1	1
100	и в более	1	1
101	не связано с	1	1
102	в особенности в	2	1
103	в иных случаях	1	1
104	может быть не	1	1
105	всегда остается в	1	1
106	за тридевять земель	4	1
107	как мы видим	1	1
108	речь идет о	1	1
109	в нем самом	1	1
110	от предмета и	1	1
111	том числе и	2	1
112	само по себе	1	1
113	если бы мы	3	1
114	один из этих	1	1
115	и др все	1	1
116	не могло быть	1	1
117	его в свой	1	1
118	одна из форм	1	1
119	а не в	1	1
120	в последнем случае	1	1
121	что уже не	1	1
122	как только он	1	1
123	но это не	2	1
124	нет места для	1	1
125	должно было стать	1	1
126	в этих случаях	7	1
127	и должны были	1	1
128	вместе с ним	1	1
129	по аналогии с	1	1
130	там где уже	2	1
131	и те же	1	1
132	на то что	3	1
133	и может быть	1	1
134	он не только	1	1
135	в том чтобы	2	1
136	здесь конечно не	1	1
137	вместе со своим	1	1
138	а иногда и	2	1
139	мы увидим что	1	1
140	в указанном смысле	1	1
141	как один из	1	1
142	в процессе развития	1	1
143	поэтического творчества а	1	1
144	там где нет	2	1
145	другой стороны способность	1	1
146	в них не	1	1
147	он может быть	1	1
148	как и все	1	1
149	подобно тому как	2	1
150	он знает что	1	1
151	так же как	10	1
152	мы имеем в	2	1
153	не менее в	1	1
154	всех этих случаях	2	1
155	всяком случае этот	1	1
156	заставляет их служить	1	1
157	человека в некоторых	1	1
158	в нем и	3	1
159	в таких случаях	2	1
160	только с помощью	1	1
161	и потому не	1	1
162	самая постановка вопроса	1	1
163	это было бы	1	1
