N	2gram	Potebnia_M	Psycholo
1	то что	37	193
2	и в	48	190
3	в том	47	163
4	что в	30	123
5	потому что	82	114
6	том что	28	113
7	и что	13	108
8	может быть	46	107
9	таким образом	24	102
10	в этом	19	100
11	то есть	53	97
12	в самом	11	82
13	как бы	10	80
14	для того	8	78
15	того чтобы	5	78
16	что он	8	76
17	не только	32	75
18	на то	6	73
19	и не	28	73
20	что она	4	71
21	самом деле	5	70
22	точки зрения	4	69
23	и т	12	69
24	не может	18	68
25	если мы	2	66
26	так же	6	63
27	так как	20	63
28	было бы	16	56
29	если бы	20	55
30	то же	35	54
31	о том	7	54
32	и мы	3	54
33	при этом	6	52
34	как и	22	51
35	что и	16	50
36	а не	22	50
37	что это	6	49
38	сказать что	8	46
39	по себе	26	46
40	только в	29	46
41	в сущности	3	46
42	заключается в	2	46
43	к тому	9	45
44	в искусстве	6	45
45	не в	24	45
46	ясно что	1	43
47	искусства и	3	43
48	в этой	3	43
49	показать что	1	43
50	никогда не	2	42
51	и все	5	42
52	вместе с	22	41
53	как это	1	40
54	но и	30	40
55	с и	3	40
56	при помощи	2	39
57	того что	24	39
58	же самое	3	38
59	т п	7	38
60	и это	6	37
61	мы видим	3	37
62	и как	8	36
63	с тем	9	35
64	вовсе не	13	34
65	как на	6	34
66	и если	4	34
67	и его	4	34
68	тому что	6	33
69	все же	3	33
70	что все	5	33
71	когда он	1	33
72	же точно	1	32
73	в себе	26	32
74	все это	4	32
75	художественного произведения	6	32
76	он не	4	31
77	мы не	17	31
78	в его	6	31
79	для нас	40	31
80	в ней	11	31
81	как будто	1	30
82	никак не	3	30
83	как в	17	30
84	с одной	8	29
85	в нас	2	29
86	одной стороны	4	29
87	с точки	3	29
88	в нем	16	29
89	искусства в	1	29
90	увидим что	2	28
91	что они	2	28
92	и когда	1	28
93	мы можем	13	28
94	и то	13	28
95	что мы	16	28
96	в своих	2	27
97	на деле	8	27
98	и на	5	27
99	а в	14	27
100	с другой	8	27
101	все то	3	27
102	так что	14	26
103	только что	12	25
