N	3gram	Nazirov_Tv	Psycholo
1	в том что	8	78
2	в самом деле	2	51
3	и т п	4	37
4	заключается в том	1	36
5	о том что	6	34
6	то же самое	1	31
7	с одной стороны	1	28
8	не может быть	2	23
9	до сих пор	1	23
10	и т д	10	22
11	и в самом	1	22
12	к тому что	1	20
13	с другой стороны	2	20
14	на самом деле	2	17
15	с самого начала	3	16
16	так же как	1	14
17	во всяком случае	2	14
18	заключает в себе	1	13
19	можно было бы	1	13
20	и в этом	1	13
21	в конце концов	1	12
22	мы никогда не	1	11
23	в конечном счете	4	11
24	то что в	1	11
25	вместе с тем	1	10
26	сами по себе	2	10
27	в отличие от	2	9
28	не то что	1	9
29	и что в	1	9
30	точно так же	3	9
31	в данном случае	2	9
32	что он не	1	9
33	и как бы	1	8
34	мы знаем что	1	8
35	мы все время	1	7
36	та же самая	2	7
37	на этот вопрос	2	7
38	а с другой	1	7
39	на то чтобы	1	7
40	только то что	1	7
41	в свою очередь	2	7
42	можно сказать что	2	7
43	как и в	2	7
44	и та же	2	6
45	не что иное	1	6
46	тем не менее	2	6
47	что у него	2	6
48	именно потому что	1	6
49	по себе не	1	6
50	и в том	1	6
51	того или иного	1	6
52	не только в	2	6
53	что иное как	1	6
54	о том как	1	5
55	в первый раз	1	5
56	в таком случае	2	5
57	мы видим в	1	5
58	в целом ряде	1	5
59	ту же самую	1	5
60	же как и	1	5
61	нам кажется что	1	5
62	имеет в виду	1	4
63	в применении к	1	4
64	в согласии с	1	4
65	мысль о смерти	1	4
66	в настоящее время	1	4
67	и того же	1	4
68	к тому же	1	4
69	таким образом и	1	4
70	за то что	1	4
71	мы уже говорили	2	4
72	это имеет место	1	4
73	то или иное	1	4
74	он не может	1	4
75	не значит что	2	4
76	одного и того	1	4
77	это не просто	1	4
78	в этой области	1	4
79	том что в	3	4
80	это вовсе не	1	4
81	и не может	2	4
82	все более и	1	4
83	более и более	1	4
84	только потому что	1	4
85	одна и та	1	4
86	это и есть	1	4
87	по себе а	1	3
88	и в другом	1	3
89	в прямом смысле	1	3
90	в отношении к	1	3
91	на наших глазах	1	3
92	по отношению к	3	3
93	имел в виду	1	3
94	как и на	1	3
95	дело в том	4	3
96	в самом конце	1	3
97	не могут быть	2	3
98	если мы перейдем	1	3
99	в полном согласии	1	3
100	напрашивается вывод что	1	3
101	что все это	3	3
102	бросается в глаза	1	3
103	один из самых	1	3
104	в наше время	4	3
105	полном согласии с	1	3
106	бы то ни	1	3
107	то же время	18	3
108	не может и	1	3
109	едва ли не	2	3
110	это означало бы	1	3
111	ничего общего с	1	3
112	говорить о том	1	3
113	в то же	19	3
114	то и другое	1	3
115	я не могу	1	3
116	ответ на этот	1	3
117	то все же	1	3
118	и в процессе	1	3
119	одного из них	1	2
120	а может быть	2	2
121	то что называют	1	2
122	на всем протяжении	1	2
123	во всей ее	1	2
124	д и т	1	2
125	лежащая в основе	1	2
126	дело не в	1	2
127	у него в	1	2
128	так и в	2	2
129	но при этом	1	2
130	при этом он	2	2
131	в первой главе	1	2
132	потому что не	1	2
133	имеет место в	1	2
134	к вопросу о	1	2
135	все же не	1	2
136	это значит что	1	2
137	в одном из	2	2
138	д все это	1	2
139	по самой своей	1	2
140	в связи с	2	2
141	т д и	1	2
142	и тем не	1	2
143	т д все	1	2
144	той или иной	1	2
145	прежде всего на	1	2
146	по крайней мере	4	2
147	в чем же	1	2
148	от своего имени	1	2
149	ее связь с	1	2
150	может быть в	1	2
151	как один из	1	2
152	не означает что	2	2
153	или во всяком	1	2
154	в этом романе	2	2
155	это еще не	1	2
156	и это не	1	2
157	мы имеем в	1	2
158	в москву в	1	2
159	не зависит от	1	2
160	и все же	3	2
161	при этом она	1	2
162	что может быть	1	2
163	так сказать в	1	2
164	и как раз	1	2
165	о котором говорил	1	2
166	а на деле	1	2
167	таким образом сюжет	1	2
168	целый ряд других	1	2
169	так например в	1	2
170	то есть не	2	2
171	не так как	2	2
172	с такой силой	1	2
173	и если бы	1	2
174	другой стороны и	1	2
175	то ни было	1	2
176	не может не	1	2
177	знаем что она	1	2
178	столь же ясно	1	2
179	все тот же	1	2
180	в котором все	1	2
181	равно как и	1	2
182	отнюдь не означает	1	2
183	с той же	1	2
184	но она не	1	2
185	и мы знаем	1	2
186	хотя и не	1	2
187	именно в этом	1	2
188	имеем в виду	1	2
189	еще далеко не	1	2
190	и в свою	1	2
191	такой силой как	1	2
192	в предисловии к	1	2
193	себе не являются	1	1
194	что в каждом	1	1
195	и со всеми	1	1
196	это как бы	3	1
197	но тот же	1	1
198	а в плане	1	1
199	рассказа и в	1	1
200	в чем не	1	1
201	нет ничего кроме	1	1
202	не менее чем	1	1
203	и смерти в	1	1
204	то что не	1	1
205	его участие в	1	1
206	как частный случай	1	1
207	при этом что	1	1
208	не был бы	1	1
209	влечет за собой	2	1
210	же время резко	1	1
211	но в таком	1	1
212	в себе всю	1	1
213	рядом с ними	1	1
214	и учение о	1	1
215	как день что	1	1
216	нет ни слова	1	1
217	в этой сцене	1	1
218	направо и налево	1	1
219	в частности в	1	1
220	оно никогда не	1	1
221	место в романе	1	1
222	в романах достоевского	24	1
223	берет в руки	1	1
224	то что может	1	1
225	в этом плане	1	1
226	не может жить	1	1
227	чего он не	1	1
228	происходило в россии	1	1
229	меня в то	1	1
230	как это имеет	1	1
231	том числе и	1	1
232	первой части романа	1	1
233	так ли это?	1	1
234	к своим героям	1	1
235	гамлета вспомним как	1	1
236	целом ряде случаев	1	1
237	мы узнаем что	2	1
238	в его произведении	1	1
239	означало бы что	1	1
240	нужно сказать что	1	1
241	бы и в	1	1
242	с потрясающей силой	1	1
243	одну и ту	1	1
244	и до этого	1	1
245	то это означало	2	1
246	как мы узнаем	1	1
247	уже говорили о	1	1
248	не странно ли	1	1
249	романа в целом	1	1
250	но это не	2	1
251	всего романа в	1	1
252	но даже в	1	1
253	приводит его к	1	1
254	мы больше не	1	1
255	сознание как это	1	1
256	с первого взгляда	1	1
257	и в романе	1	1
258	чуть ли не	1	1
259	только что он	1	1
260	но в самом	1	1
261	кто из них	1	1
262	и если так	1	1
263	сейчас же за	1	1
264	но когда я	1	1
265	он пришел к	1	1
266	и ту же	1	1
267	других людей и	1	1
268	же ясно что	1	1
269	в романе в	1	1
270	в основе всех	1	1
271	в стихах и	1	1
272	к которым приводит	1	1
273	со всех сторон	1	1
274	искусства как известно	1	1
275	в одной из	4	1
