N	2gram	Trubetskoy	Hudozhes
1	в качестве	3	31
2	то есть	4	26
3	в мире	5	24
4	и в	26	23
5	не только	10	20
6	состоит в	2	20
7	в том	11	20
8	при этом	3	19
9	может быть	10	19
10	и не	8	16
11	тогда как	1	15
12	но и	9	14
13	а не	5	13
14	в рамках	3	13
15	но не	8	13
16	а в	4	13
17	в себе	6	13
18	в этом	15	12
19	то же	4	12
20	так и	6	12
21	и его	1	12
22	представляет собой	3	11
23	как бы	12	11
24	точки зрения	13	11
25	в его	5	11
26	по отношению	1	10
27	но в	7	10
28	отношению к	3	10
29	в душе	1	9
30	или иной	2	9
31	том что	7	9
32	с другой	8	9
33	не в	2	9
34	не может	4	9
35	в миропорядке	1	8
36	себя в	1	8
37	в области	9	8
38	в то	4	8
39	что в	9	7
40	в самом	4	7
41	только в	4	7
42	в своей	1	7
43	же время	2	7
44	в отличие	1	7
45	отличие от	1	7
46	по своей	2	7
47	лишь в	5	7
48	отношение к	5	7
49	другой стороны	1	6
50	в состав	1	6
51	более или	5	6
52	приводит к	2	6
53	уже не	3	6
54	можно сказать	3	6
55	с ее	1	6
56	с его	2	6
57	мы имеем	2	6
58	в ее	1	6
59	а также	2	6
60	или менее	5	6
61	в нем	4	6
62	ни в	1	5
63	в виду	2	5
64	что он	4	5
65	не менее	3	5
66	не является	1	5
67	того чтобы	5	5
68	для того	5	5
69	как к	1	5
70	для него	3	5
71	того что	3	5
72	прежде всего	2	5
73	картина мира	1	5
74	с другими	4	5
75	в их	1	5
76	или иначе	3	5
77	той или	2	5
78	то что	7	5
79	могут быть	1	5
80	место в	1	5
81	во втором	1	4
82	для себя	1	4
83	так или	3	4
84	не следует	1	4
85	отношения к	1	4
86	в слове	1	4
87	роли в	1	4
88	из которого	3	4
89	еще не	2	4
90	в данном	1	4
91	входит в	1	4
92	и т.д	6	4
93	сказать что	2	4
94	к которому	2	4
95	в своем	3	4
96	к тому	6	4
97	или иным	1	4
98	на почве	1	4
99	это не	1	4
100	в отношении	6	4
101	его в	1	4
102	и как	3	4
103	в этих	4	4
104	в себя	1	4
105	между тем	2	4
106	он не	4	4
107	и что	4	4
108	далеко не	4	4
109	и о	3	4
110	однако в	1	4
111	в силу	5	4
112	в той	1	3
113	и к	5	3
114	человеческой жизни	1	3
115	и на	2	3
116	в момент	1	3
117	с этой	3	3
118	даже в	1	3
119	о чем	1	3
120	если бы	3	3
121	а именно	1	3
122	в жизни	1	3
123	как и	1	3
124	к его	2	3
125	их в	1	3
126	никто не	1	3
127	тем не	3	3
128	культуры в	1	3
129	и того	1	3
130	и состоит	1	3
131	к нему	7	3
132	потому что	7	3
133	одной стороны	7	3
134	в одном	3	3
135	имеем в	1	3
136	известной степени	1	3
137	во всей	1	3
138	из этих	10	3
139	и для	5	3
140	он должен	1	3
141	таким образом	22	3
142	миропорядка и	1	3
143	с одной	7	3
144	том числе	5	3
145	с точки	6	3
146	как раз	1	3
147	все прочие	1	3
148	связи с	9	3
149	в таком	3	3
150	в связи	3	3
151	по своему	2	3
152	во всех	2	3
153	в свою	2	3
154	в которой	3	3
155	к области	1	3
156	того же	6	3
157	одного и	1	3
158	и прежде	1	3
159	и ее	1	3
160	мире и	1	2
161	и другие	3	2
162	один из	2	2
163	жизни а	1	2
164	связей с	1	2
165	с ним	1	2
166	из которых	4	2
167	не как	2	2
168	существующее в	1	2
169	одно из	2	2
170	по себе	1	2
171	в них	2	2
172	этой точки	2	2
173	самом деле	1	2
174	заключается в	1	2
175	все эти	6	2
176	именно в	2	2
177	значения и	1	2
178	либо в	2	2
179	с ними	1	2
180	в одно	2	2
181	как в	1	2
182	никем не	2	2
183	роль в	1	2
184	отличается от	2	2
185	вследствие этого	1	2
186	всей своей	1	2
187	в каком	1	2
188	жизни на	1	2
189	о том	6	2
190	свою очередь	1	2
191	это и	1	2
192	еще и	1	2
193	ни к	1	2
194	не могли	1	2
195	между собой	1	2
196	совершенно иной	2	2
197	духовной жизни	1	2
198	совпадает с	1	2
199	времени в	1	2
200	не всегда	2	2
201	и больше	2	2
202	не могло	2	2
203	речь идет	1	2
204	вслед за	2	2
205	и это	2	2
206	превращается в	2	2
207	не вполне	3	2
208	так же	5	2
209	в глаза	1	2
210	в нашем	1	2
211	о полку	1	2
212	этого слова	1	2
213	до известной	1	2
214	здесь не	1	2
215	полку игореве	1	2
216	в самой	2	2
217	никогда не	5	2
218	и по	4	2
219	начиная с	2	2
220	бы то	2	2
221	то в	1	2
222	не принадлежат	1	2
223	одной из	5	2
224	что сама	1	2
225	несмотря на	6	2
226	ни было	2	2
227	что такое	1	2
228	все это	6	2
229	слове о	1	2
230	что и	6	2
231	духовной культуры	3	2
232	с их	1	2
233	к жизни	5	2
234	таком случае	1	2
235	у него	1	2
236	и некоторые	1	2
237	и более	1	2
238	без остатка	2	2
239	одним из	2	2
240	что она	1	2
241	каждая из	3	2
242	случае не	3	2
243	личности с	1	2
244	мира и	1	2
245	в сторону	1	2
246	в чем	1	2
247	это тоже	1	2
248	жизни то	1	2
249	тем более	1	2
250	и потому	6	2
251	а с	7	2
252	на этом	1	2
253	единое целое	1	2
254	имеются и	1	2
255	то ни	2	2
256	дело не	1	2
257	в значительной	3	2
258	есть как	2	2
259	быть и	2	2
260	не с	2	2
261	от своего	1	2
262	человека и	1	2
263	тем или	1	2
264	идет о	1	2
265	в этой	4	2
266	числе и	4	2
267	и особенно	2	2
268	о его	1	2
269	из этого	2	2
270	события в	1	2
271	чтобы не	1	2
272	мира в	1	2
273	мира с	1	2
274	культура есть	1	1
275	все что	2	1
276	для всех	2	1
277	можно говорить	1	1
278	и здесь	2	1
279	не позволяет	1	1
280	и конечно	1	1
281	как с	1	1
282	живое существо	1	1
283	если в	3	1
284	живет в	1	1
285	между этими	2	1
286	случае мы	1	1
287	первую очередь	1	1
288	дело с	1	1
289	можно назвать	2	1
290	и другим	1	1
291	представляют собой	1	1
292	что это	3	1
293	в сущности	1	1
294	одном и	1	1
295	те же	2	1
296	как объекты	1	1
297	сама жизнь	1	1
298	по образцу	1	1
299	и делает	1	1
300	в результате	3	1
301	то с	3	1
302	за это	1	1
303	не могут	2	1
304	со всеми	2	1
305	должен был	4	1
306	чтобы в	1	1
307	начинается с	1	1
308	и даже	3	1
309	если не	2	1
310	к искусству	1	1
311	не более	1	1
312	а во-вторых	1	1
313	этом может	1	1
314	о мире	1	1
315	жизнь в	1	1
316	смысла и	1	1
317	в особый	1	1
318	направляется к	2	1
319	мысль о	2	1
320	одновременно с	1	1
321	значение в	1	1
322	тем что	1	1
323	этого в	1	1
324	и действительно	2	1
325	то время	1	1
326	героев и	2	1
327	если он	1	1
328	том или	1	1
329	видно из	1	1
330	ценностей и	1	1
331	высокое место	1	1
332	к нам	1	1
333	и вокруг	1	1
334	в соответствии	1	1
335	ничто в	1	1
336	душевное состояние	1	1
337	одновременно и	2	1
338	вместе с	15	1
339	все же	6	1
340	области духовной	2	1
341	участвовать в	1	1
342	только для	2	1
343	или ином	1	1
344	не имеет	5	1
345	да и	1	1
346	однако это	1	1
347	о котором	2	1
348	другому человеку	1	1
349	бесконечно и	1	1
350	себя не	1	1
351	более как	1	1
352	на каждом	1	1
353	которой не	1	1
354	нет в	1	1
355	по крайней	5	1
356	после его	2	1
357	с этим	1	1
358	все они	1	1
359	все и	1	1
360	в первую	1	1
361	бы и	1	1
362	эту сторону	1	1
363	не существует	1	1
364	в котором	4	1
365	зависит от	1	1
366	когда на	1	1
367	и пр	1	1
368	по своим	2	1
369	по тем	1	1
370	мира как	1	1
371	наконец в	2	1
372	не должно	1	1
373	героем и	1	1
374	а после	3	1
375	оно является	2	1
376	а через	1	1
377	всегда так	1	1
378	жизни и	2	1
379	только на	1	1
380	в которую	1	1
381	с эпохи	1	1
382	точно так	3	1
383	к одному	1	1
384	в строгом	1	1
385	чем с	1	1
386	не так	1	1
387	к нашим	1	1
388	и те	3	1
389	себе в	1	1
390	всего что	1	1
391	отчет в	1	1
392	эти два	1	1
393	жизни по	2	1
394	этого мира	1	1
395	задний план	1	1
396	к ним	3	1
397	человек должен	2	1
398	следит за	1	1
399	соответствии с	1	1
400	не для	1	1
401	настоящее время	1	1
402	впервые в	1	1
403	в сфере	1	1
404	тем же	1	1
405	затем в	1	1
406	той же	1	1
407	жизнь это	1	1
408	культуры например	1	1
409	с этими	1	1
410	к не	1	1
411	что все	4	1
412	том же	1	1
413	те и	2	1
414	неизбежно заключает	1	1
415	в сознании	1	1
416	культуры ибо	1	1
417	но если	2	1
418	под именем	1	1
419	к новой	1	1
420	что даже	1	1
421	казалось бы	1	1
422	нет никаких	1	1
423	к этим	1	1
424	друг друга	1	1
425	то или	2	1
426	в настоящее	1	1
427	своей ролью	1	1
428	пришлось бы	1	1
429	крайней мере	5	1
430	из них	7	1
431	тот же	2	1
432	его можно	2	1
433	искусства не	1	1
434	могли быть	1	1
435	представить себе	1	1
436	именно к	1	1
437	что они	1	1
438	к общему	1	1
439	ролью в	1	1
440	в свое	1	1
441	только не	2	1
442	или к	1	1
443	мы видим	1	1
444	в повседневном	1	1
445	тоже не	1	1
446	так как	9	1
447	многих других	1	1
448	они не	1	1
449	может не	1	1
450	после того	1	1
451	рефлексия не	1	1
452	свидетельствует о	2	1
453	должно быть	1	1
454	новой жизни	1	1
455	время и	1	1
456	не удовлетворяясь	1	1
457	круговорот бытия	1	1
458	несколько иной	1	1
459	других для	1	1
460	у всякого	1	1
461	обе эти	1	1
462	а тот	1	1
463	а и	1	1
464	он усматривает	1	1
465	неизмеримо более	1	1
466	однако этот	1	1
467	внутренней стороны	1	1
468	души и	1	1
469	он решительно	1	1
470	чем у	1	1
471	с системой	1	1
472	и через	1	1
473	из своих	2	1
474	у нас	1	1
475	как субъекты	1	1
476	в широком	1	1
477	существенно отличается	1	1
478	на которой	1	1
479	и от	4	1
480	прямо от	1	1
481	и есть	1	1
482	весь мир	1	1
483	в русском	2	1
484	когда же	2	1
485	тому же	5	1
486	но с	3	1
487	не было	2	1
488	это всегда	1	1
489	как видно	1	1
490	их расположение	1	1
491	к чему	1	1
492	что его	1	1
493	всех его	1	1
494	этим и	1	1
495	на нее	3	1
496	которое в	1	1
497	но одно	1	1
498	но для	1	1
499	такое же	1	1
500	за свою	1	1
501	в конце	6	1
502	индивидуальности и	1	1
503	лишь на	1	1
504	спрашивает себя	1	1
505	среди прочих	1	1
506	что высшей	1	1
507	вследствие того	1	1
508	же как	3	1
509	на земле	1	1
510	не есть	1	1
511	над тем	1	1
512	при таком	2	1
513	перед собой	1	1
514	ли не	1	1
515	смерти в	1	1
516	от этого	1	1
517	остается лишь	1	1
518	в такой	1	1
519	связь со	1	1
520	это было	1	1
521	на его	1	1
522	в каждой	1	1
523	путь к	3	1
524	в одной	1	1
525	не затрагивая	1	1
526	бы в	1	1
527	в ритмическом	1	1
528	мере в	1	1
529	на них	1	1
530	людей в	1	1
531	и мир	2	1
532	могли бы	1	1
533	в уста	1	1
534	что от	1	1
535	в своих	1	1
536	на задний	1	1
537	не означает	1	1
538	эти последние	1	1
539	каждом из	1	1
540	до нас	1	1
541	времени старого	1	1
542	чистом виде	1	1
543	что этому	1	1
544	чему не	1	1
545	именно потому	1	1
546	чтобы такое	1	1
547	одну из	1	1
548	и одной	1	1
549	так называемые	3	1
550	является его	1	1
551	что касается	1	1
552	в первом	1	1
553	а по	1	1
554	для этого	2	1
555	и является	2	1
556	не могла	2	1
557	заключает в	2	1
558	тем и	2	1
559	иметь в	1	1
560	или его	1	1
561	ничто не	1	1
562	только то	1	1
563	из нас	1	1
564	или иное	2	1
565	в самостоятельный	1	1
566	когда мы	1	1
567	не совпадает	1	1
568	этом не	1	1
569	на это	1	1
570	было бы	1	1
571	дает ему	1	1
572	не по	1	1
573	же самое	2	1
574	вступают в	1	1
575	общего с	2	1
576	которые в	2	1
577	на не	1	1
578	v если	1	1
579	может показаться	1	1
580	а можно	1	1
581	так что	3	1
582	более высокое	1	1
583	же в	1	1
584	требует от	2	1
585	бытия и	1	1
586	бы быть	1	1
587	в уме	1	1
588	происходит в	1	1
589	иной раз	2	1
590	чаще всего	1	1
591	на то	2	1
592	образ его	1	1
593	а как	1	1
594	может и	1	1
595	своей индивидуальности	3	1
596	технических средств	1	1
597	и том	1	1
598	и совершенно	1	1
599	настоящего времени	1	1
600	есть не	1	1
601	совершается в	1	1
602	можно только	2	1
603	котором он	1	1
