N	4gram	Losev_Prob	Dialekti
1	не что иное как	5	18
2	и т д и	4	14
3	одно и то же	1	12
4	т д и т	3	12
5	д и т д	2	12
6	есть не что иное	5	11
7	в то время как	2	8
8	или по крайней мере	4	8
9	ни в каком случае	6	7
10	не говоря уже о	5	7
11	это значит что он	1	7
12	ни в каком смысле	1	6
13	и в то же	1	6
14	по крайней мере в	2	6
15	ни от чего не	1	5
16	то это значит что	2	5
17	одной и той же	1	5
18	имеет ничего общего с	3	5
19	это значит что мы	1	5
20	не имеет ничего общего	4	5
21	и тем не менее	8	5
22	это не значит что	1	4
23	только тогда когда есть	2	4
24	в связи с этим	2	4
25	можно только тогда когда	1	4
26	по одному тому что	1	4
27	если иметь в виду	1	4
28	и т д все	1	4
29	ничем не отличается от	1	4
30	ничего не говорит о	1	4
31	с одной стороны и	2	4
32	с точки зрения самого	1	3
33	уже по одному тому	1	3
34	несмотря на то что	1	3
35	т д все это	1	3
36	на самом же деле	1	3
37	она не есть ни	1	3
38	в каком случае не	4	3
39	в каком смысле не	1	3
40	но в то же	1	3
41	и ни на что	1	2
42	во что бы то	2	2
43	и с другой стороны	1	2
44	вовсе не есть ни	2	2
45	всегда так или иначе	1	2
46	что бы то ни	2	2
47	что все на свете	1	2
48	есть так или иначе	1	2
49	свой смысл и свое	1	2
50	а это значит что	1	2
51	в себе не содержит	2	2
52	в этом смысле есть	1	2
53	оно ничем не отличается	1	2
54	как один из видов	1	2
55	и даже больше того	1	2
56	когда мы говорим что	2	2
57	и ни в каком	1	2
58	значит ли это что	1	2
59	говоря уже о том	1	2
60	дело в том что	3	2
61	только на то что	1	2
62	уже о том что	1	2
63	бы то ни стало	2	2
64	так же как и	1	2
65	только возможна но и	1	1
66	светлой природой и отличается	1	1
67	идти дальше поэтому для	1	1
68	не есть ни просто	1	1
69	но тем не менее	1	1
70	что не есть она	1	1
71	ни одна из этих	1	1
72	даже больше того как	1	1
73	обладает светлой природой и	1	1
74	в том и в	1	1
75	взятые сами по себе	4	1
76	вовсе не обязательно чтобы	1	1
77	можно ли будет в	1	1
78	не есть ни то	1	1
79	необходимо иметь в виду	1	1
80	как мы уже сказали	1	1
81	кажутся до известной степени	1	1
82	ни то ни другое	1	1
83	пустыми и холодными синее	1	1
84	том и в другом	1	1
85	каком случае не есть	1	1
86	а с другой стороны	1	1
87	еще ничего не говорит	1	1
88	уж во всяком случае	1	1
89	между тем и другим	1	1
90	в конце концов не	1	1
91	интереснее всего то что	1	1
92	сам по себе отнюдь	1	1
93	же в таком случае	2	1
94	в том что в	1	1
95	же самое мы должны	1	1
96	по себе отнюдь не	1	1
97	нас а потому что	1	1
98	в серые зимние дни	1	1
99	взятая сама по себе	6	1
100	от чего не отличается	1	1
101	известной степени просторными но	1	1
102	в которых постоянно находишься	1	1
103	что она есть нечто	1	1
104	с тем или другим	1	1
105	по себе вовсе еще	1	1
106	мы должны сказать что	1	1
107	все больше и больше	1	1
108	мы должны сказать и	1	1
109	и в другом случае	1	1
110	заключается в том что	2	1
111	должны сказать и о	1	1
112	мы имеем в виду	1	1
113	при помощи того или	1	1
114	вопрос о том что	1	1
115	по себе вовсе не	1	1
116	это есть не что	1	1
117	которое ничего не знает	1	1
118	же это может быть	1	1
119	то же самое и	1	1
120	помощи того или иного	1	1
121	и ни в какой	1	1
122	уходит своими корнями в	1	1
123	не был бы выражением	1	1
124	как бы ее ни	1	1
125	во многих отношениях даже	1	1
126	если бы не было	3	1
127	сказать что она есть	1	1
128	от нас ускользает так	1	1
129	природой и отличается ясностью	1	1
130	то что не есть	1	1
131	а не потому что	1	1
132	есть ни то ни	1	1
133	и холодными синее стекло	1	1
134	в том что все	1	1
135	но как только мы	1	1
136	о котором уже нельзя	1	1
137	но в конце концов	1	1
138	не есть она сама	1	1
139	можно сказать только то	1	1
140	себе отнюдь еще не	1	1
141	до известной степени просторными	1	1
142	о том как он	1	1
143	комнат в которых постоянно	1	1
144	всегда обладает светлой природой	1	1
145	возможна но и необходима	1	1
146	не только есть нечто	1	1
147	по себе отнюдь еще	1	1
148	важно только то что	1	1
149	возможно только потому что	1	1
150	то же самое мы	1	1
151	и та или иная	1	1
152	дерево есть дерево а	1	1
153	и в том и	1	1
154	одной стороны и с	1	1
155	в том случае если	1	1
156	не существует и что	1	1
157	в предыдущем изложении мы	1	1
158	будет в таком случае	1	1
159	до сих пор мы	3	1
160	видим синими так и	1	1
161	всегда содержит в себе	1	1
162	в нас а потому	1	1
163	есть дерево а не	1	1
164	мы видим синими так	1	1
165	можно ли сказать что	3	1
166	дальше поэтому для комнат	1	1
167	поэтому для комнат в	1	1
168	и не может быть	1	1
169	главное это то что	1	1
170	отличаются друг от друга	1	1
171	в то или иное	1	1
172	самое мы должны сказать	1	1
173	если оно ничем не	1	1
174	крайней мере в том	1	1
175	в виду и весь	1	1
176	стороны и с другой	1	1
177	внимание на то что	2	1
178	же самое и в	1	1
179	ничего не говорим о	1	1
180	приятный предмет который от	1	1
181	в какой мере не	1	1
182	ли будет в таком	1	1
183	о том что в	1	1
184	даже если бы мы	1	1
185	но ведь это же	1	1
186	сама по себе она	1	1
187	проникает в нас а	1	1
188	не только возможна но	1	1
189	в таком случае вы	1	1
190	для комнат в которых	1	1
191	а на самом деле	1	1
192	не чем иным как	2	1
193	преследуем приятный предмет который	1	1
194	и то же только	1	1
195	мы до сих пор	1	1
196	по себе по своему	1	1
197	перед нами не просто	1	1
198	вовсе не есть изображение	1	1
199	тоже не есть ни	1	1
200	оно и должно быть	1	1
201	тем более ничего не	1	1
202	до сих пор говорили	1	1
203	и отличается ясностью веселостью	1	1
204	и с точки зрения	1	1
205	и уж тем более	5	1
206	он не может быть	1	1
207	ни на что другое	1	1
208	и т д это	1	1
209	сказать только то что	1	1
210	предмет который от нас	1	1
211	говорить о том что	1	1
212	ни в какой мере	1	1
213	в своей высшей чистоте	1	1
