N	2gram	Propp_Morf	Formalny
1	и в	17	95
2	т е	25	94
3	и не	16	78
4	может быть	61	66
5	в этом	18	61
6	не может	19	57
7	и пр	45	53
8	вовсе не	6	53
9	таким образом	26	52
10	и его	3	51
11	так и	10	50
12	точки зрения	7	47
13	в его	1	42
14	прежде всего	14	41
15	с точки	6	40
16	как и	4	39
17	и т	62	37
18	не в	3	35
19	а не	11	34
20	но и	9	33
21	то же	10	32
22	самом деле	4	32
23	не только	8	30
24	в пределах	3	28
25	в том	10	26
26	если бы	3	26
27	то что	10	25
28	при этом	1	24
29	в своей	1	24
30	на самом	4	24
31	с помощью	1	23
32	было бы	5	23
33	связи с	12	23
34	в то	4	22
35	и ее	5	22
36	и с	1	21
37	что в	10	21
38	как бы	6	21
39	между ними	1	20
40	с тем	2	20
41	не менее	7	20
42	входит в	4	20
43	как мы	8	20
44	же время	1	20
45	в их	1	20
46	хотя бы	5	19
47	т д	60	19
48	не могут	7	19
49	все это	2	19
50	все же	9	18
51	в связи	10	18
52	должна быть	2	18
53	только в	3	18
54	и все	1	18
55	с его	3	18
56	все эти	5	18
57	и их	3	18
58	как раз	1	17
59	как в	5	17
60	во всяком	2	16
61	с другой	9	16
62	так же	4	16
63	всяком случае	2	16
64	совершенно не	1	16
65	потому что	7	16
66	именно в	1	15
67	должно быть	1	15
68	с другими	2	15
69	его в	4	15
70	бы в	2	15
71	во всех	6	15
72	и на	1	15
73	так как	20	15
74	но в	4	15
75	только на	1	14
76	в ее	1	14
77	в этой	3	14
78	что он	5	14
79	еще не	4	14
80	если мы	6	14
81	в целом	5	14
82	в результате	8	13
83	тем что	4	13
84	настоящее время	3	13
85	что и	10	13
86	ни в	3	13
87	как его	1	13
88	могут быть	21	13
89	независимо от	4	13
90	как таковой	2	13
91	со стороны	5	13
92	что же	2	13
93	в настоящее	3	13
94	того что	3	13
95	она не	2	13
96	а в	8	13
97	там где	5	12
98	уже не	4	12
99	к тому	5	12
100	по отношению	7	12
101	как это	7	12
102	и здесь	7	12
103	оно не	2	12
104	того чтобы	4	12
105	и для	4	12
106	лишь как	1	12
107	отношению к	7	12
108	что они	5	11
109	лишь для	1	11
110	то ни	3	11
111	между тем	5	11
112	они не	3	11
113	это и	3	11
114	для него	2	11
115	этом отношении	2	11
116	в основе	2	11
117	но не	8	11
118	в большинстве	3	11
119	не как	1	10
120	другой стороны	5	10
121	в своих	2	10
122	в первом	5	10
123	бы то	3	10
124	большинстве случаев	3	10
125	не есть	1	10
126	он не	5	10
127	если же	5	10
128	главным образом	5	10
129	материала в	1	10
130	с ее	1	10
131	дело идет	1	10
132	не является	4	10
133	тем же	2	10
134	друг друга	3	10
135	и др	12	10
136	мы не	8	10
137	материала и	1	10
138	по существу	13	10
139	и как	6	10
140	и даже	2	9
141	говорить о	4	9
142	ни было	2	9
143	но ведь	1	9
144	в каждом	1	9
145	совсем не	3	9
146	одним словом	1	9
147	отношения к	1	9
148	в свою	1	9
149	и до	1	9
150	здесь не	3	9
151	но это	6	9
152	ничего не	5	9
153	у нас	3	9
154	быть и	2	9
155	и может	1	9
156	и к	4	8
157	в них	1	8
158	и те	1	8
159	в данном	2	8
160	одной стороны	2	8
161	задачи и	1	8
162	всего этого	1	8
163	как такового	2	8
164	с одной	2	8
165	ясно что	5	8
166	между собой	5	8
167	в других	5	8
168	сих пор	1	8
169	из этого	1	8
170	всех этих	1	8
171	до сих	1	8
172	что это	3	8
173	с этим	14	8
174	роль в	2	8
175	это не	6	8
176	для того	3	8
177	в области	1	8
178	в той	1	7
179	можно говорить	1	7
180	же и	1	7
181	более или	2	7
182	но все	4	7
183	применении к	1	7
184	мы увидим	10	7
185	в применении	1	7
186	свою очередь	1	7
187	сказать что	4	7
188	что именно	2	7
189	к этому	4	7
190	вот как	2	7
191	в сущности	3	7
192	из них	4	7
193	совершается в	2	7
194	значение и	3	7
195	в систему	1	7
196	в себе	1	7
197	бы быть	1	7
198	в особенности	1	7
199	во втором	7	7
200	не на	2	7
201	том что	7	7
202	что бы	1	7
203	не входит	2	7
204	чем же	1	7
205	известной степени	1	7
206	а вовсе	2	7
207	высшей степени	1	7
208	форм и	1	7
209	ничем не	2	7
210	в первый	1	7
211	и более	2	7
212	в какой	3	7
213	только и	1	7
214	войти в	1	7
215	или менее	2	7
216	в одной	2	7
217	того или	1	7
218	пр и	3	7
219	как их	2	7
220	как к	1	7
221	в высшей	1	7
222	как таковое	3	7
223	и только	3	7
224	и наконец	1	7
225	кроме того	3	6
226	те же	1	6
227	в этих	17	6
228	если он	2	6
229	например в	2	6
230	их в	2	6
231	о том	6	6
232	он был	1	6
233	материал в	1	6
234	в которой	3	6
235	но для	3	6
236	учение о	5	6
237	и это	1	6
238	на этом	4	6
239	материал и	1	6
240	и тем	3	6
241	должны быть	2	6
242	один из	7	6
243	они и	5	6
244	его с	1	6
245	на ее	1	6
246	в плоскости	3	6
247	в россии	2	6
248	его и	2	6
249	из этих	2	6
250	может войти	1	6
251	именно на	1	6
252	данном случае	2	6
253	к истории	1	6
254	в формах	1	6
255	ее в	3	6
256	как таковая	2	6
257	по их	5	6
258	так в	1	6
259	нисколько не	1	6
260	его не	1	6
261	не по	2	6
262	в частности	2	6
263	отношение к	1	6
264	такой же	1	6
265	нового направления	1	6
266	тому что	5	6
267	за исключением	1	5
268	с этой	3	5
269	даже в	1	5
270	в виду	1	5
271	как они	2	5
272	равно как	1	5
273	в мире	1	5
274	так например	3	5
275	и со	1	5
276	можно сказать	2	5
277	в котором	1	5
278	то это	5	5
279	вопрос о	10	5
280	как на	1	5
281	в нашем	6	5
282	она есть	1	5
283	характерно что	1	5
284	к нему	3	5
285	всего в	1	5
286	то в	3	5
287	время и	1	5
288	хотя и	5	5
289	не от	2	5
290	не столько	1	5
291	что не	1	5
292	в эту	1	5
293	могло бы	1	5
294	мы можем	5	5
295	мы уже	4	5
296	или же	7	5
297	не приходится	1	5
298	и что	3	5
299	целом и	1	5
300	друг другу	1	5
301	и по	3	5
302	в него	1	5
303	не так	2	5
304	если в	7	5
305	функции в	1	5
306	показать что	4	5
307	даже не	3	5
308	приводит к	3	5
309	не имеет	2	5
310	как например	2	5
311	одной из	2	5
312	до известной	1	5
313	и то	1	5
314	для нас	2	5
315	на все	1	5
316	без всякой	2	5
317	отличие от	1	5
318	она должна	1	5
319	тому как	5	5
320	обстоит дело	1	5
321	мы должны	3	5
322	таким же	1	5
323	еще в	1	5
