N	3gram	Voloshinov	Vladivir
1	в том что	1	29
2	о том что	2	22
3	дело в том	1	13
4	во всяком случае	3	12
5	в связи с	1	12
6	не может быть	3	10
7	вместе с тем	1	10
8	с точки зрения	6	10
9	в этом смысле	3	9
10	на первый план	1	7
11	в свое время	1	7
12	в данном случае	1	6
13	и в этом	2	6
14	как мы знаем	1	6
15	в году в	1	6
16	ничего не говорит	1	5
17	но даже и	1	5
18	бы то ни	1	5
19	можно сказать что	3	4
20	для того чтобы	1	4
21	в этом отношении	1	4
22	еще в году	1	4
23	по крайней мере	3	4
24	и ни в	1	4
25	не что иное	1	4
26	можно было бы	1	4
27	что иное как	1	4
28	с одной стороны	1	4
29	в самом деле	2	3
30	мы знаем что	1	3
31	а с другой	1	3
32	и как мы	1	3
33	с самого начала	4	3
34	нам кажется что	2	3
35	так же как	2	2
36	и с его	2	2
37	но вместе с	1	2
38	человек не может	1	2
39	сказать что для	1	2
40	совершенно так же	1	2
41	так и в	1	2
42	до сих пор	3	2
43	и прежде всего	1	2
44	нельзя сказать о	1	2
45	мы уже знаем	1	2
46	то ни было	1	2
47	так как он	1	2
48	жизни и деятельности	1	2
49	он не был	1	2
50	из этих трех	1	2
51	едва ли так	1	2
52	ни в чем	3	2
53	связи с этим	1	2
54	как это было	1	2
55	но в общем	2	2
56	его жизни в	1	2
57	есть прежде всего	1	2
58	и можно сказать	1	2
59	для него только	1	2
60	как мы сказали	1	2
61	как это делает	1	2
62	это и есть	1	2
63	а в конце	1	2
64	нечего и говорить	2	2
65	в каком отношении	1	1
66	в этот момент	1	1
67	все то что	2	1
68	лучше всего и	1	1
69	в своей первой	1	1
70	в известной степени	1	1
71	в себя и	1	1
72	он не дает	1	1
73	в философии и	1	1
74	очень важный момент	1	1
75	для нас очень	1	1
76	а может быть	1	1
77	мог бы сделать	1	1
78	свое время и	1	1
79	этим и объясняется	1	1
80	на всю жизнь	1	1
81	его отношение к	1	1
82	случае не может	1	1
83	каждое из этих	1	1
84	то что можно	1	1
85	той или иной	1	1
86	и в этот	1	1
87	именно здесь в	1	1
88	а потому и	2	1
89	во многих случаях	1	1
90	в чем не	3	1
91	без всякого участия	1	1
92	что в этой	1	1
93	какие были в	1	1
94	чем иным как	1	1
95	не может иметь	1	1
96	уже знаем что	1	1
97	в переводе на	2	1
98	то же самое	1	1
99	в высшей степени	1	1
100	нет никаких оснований	2	1
101	со всем его	1	1
102	вместе с ним	1	1
103	их объединяет и	1	1
104	прежде всего а	2	1
105	и говорить о	1	1
106	прежде всего на	1	1
107	в том смысле	1	1
108	нас здесь интересует	1	1
109	так и с	1	1
110	с этой точки	1	1
111	и теперь в	1	1
112	на протяжении всей	2	1
113	в этой борьбе	1	1
114	может быть речи	1	1
115	именно то что	1	1
116	говорить о том	1	1
117	в этой работе	1	1
118	уже не может	1	1
119	в некоторых отношениях	1	1
120	не чем иным	1	1
121	со всеми его	1	1
122	но отнюдь не	2	1
123	а вместе с	1	1
124	только для него	1	1
125	же как и	1	1
126	с ним и	1	1
127	и превратить в	1	1
128	и она не	1	1
129	в разных местах	1	1
130	то что я	1	1
131	этой точки зрения	1	1
132	имеем дело с	1	1
133	мы не можем	1	1
134	несколько слов о	1	1
