N	3gram	Trubetskoy	Myslijsy
1	в том что	7	47
2	по отношению к	1	26
3	не может быть	4	19
4	заключает в себе	1	19
5	тем не менее	1	18
6	по крайней мере	1	17
7	в свою очередь	1	14
8	а между тем	5	13
9	то же время	10	13
10	от того что	1	13
11	в то же	10	13
12	более или менее	4	12
13	смысле этого слова	1	12
14	и в этом	1	12
15	до сих пор	5	12
16	только в том	2	12
17	во всяком случае	6	12
18	для того чтобы	6	11
19	а в том	1	11
20	одного и того	1	9
21	и того же	1	9
22	то и другое	1	9
23	на то что	4	9
24	о том что	2	9
25	то есть не	1	8
26	вместе с тем	3	8
27	на самом деле	6	8
28	как бы ни	1	8
29	в этом случае	3	8
30	сама по себе	2	7
31	и в том	2	7
32	с точки зрения	9	7
33	и как бы	1	6
34	друг от друга	2	6
35	в нем самом	1	6
36	то же самое	1	6
37	с самого начала	1	6
38	может быть назван	1	5
39	в том случае	4	5
40	и таким образом	1	5
41	к тому что	2	5
42	смотреть как на	1	5
43	и то что	3	5
44	мы не знаем	1	4
45	в том же	1	4
46	в данном случае	3	4
47	зависит от того	1	4
48	быть не может	1	4
49	в том и	2	4
50	лишь тогда когда	1	4
51	в том чтобы	1	4
52	что не только	1	4
53	на этот вопрос	1	4
54	в противном случае	1	4
55	дело в том	1	4
56	и то и	1	4
57	и что в	1	4
58	что касается до	1	4
59	в этом отношении	1	4
60	вопрос о том	1	4
61	в том виде	1	4
62	точно так же	2	3
63	что он не	2	3
64	лишь в том	2	3
65	и в жизни	1	3
66	в применении к	1	3
67	до известной степени	1	3
68	в большинстве случаев	2	3
69	и тем самым	2	3
70	во многих случаях	1	3
71	в связи с	1	3
72	бы то ни	4	3
73	потому что и	1	3
74	заключается в том	1	3
75	не есть только	1	3
76	так как оно	1	3
77	можно было бы	3	3
78	не подлежит сомнению	1	3
79	есть то что	1	3
80	на первый взгляд	1	3
81	это потому что	2	3
82	даже тогда когда	1	2
83	себе еще не	1	2
84	не могло бы	1	2
85	чтобы понять что	2	2
86	не может но	1	2
87	бы для него	1	2
88	того что не	1	2
89	но при этом	1	2
90	с нею в	1	2
91	по себе еще	1	2
92	не заботясь о	1	2
93	только один из	1	2
94	даже и в	1	2
95	и в других	1	2
96	состоит в том	1	2
97	но все же	1	2
98	только то что	1	2
99	то ни было	1	2
100	так же и	1	2
101	и не может	3	2
102	том случае когда	1	2
103	есть столько же	1	2
104	друг к другу	1	2
105	но и для	1	2
106	не только для	1	2
107	не только от	1	2
108	не только к	2	2
109	к тому чтобы	4	2
110	а следовательно и	2	2
111	того и другого	1	2
112	таким же образом	2	2
113	в этом настроении	1	2
114	так же как	1	2
115	всяком случае не	1	2
116	можно было говорить	1	2
117	том случае если	3	2
118	и не только	1	2
119	только для того	1	1
120	таким образом при	1	1
121	в самом деле	1	1
122	о котором мы	1	1
123	ни одна не	1	1
124	на том основании	1	1
125	это значило бы	1	1
126	со стороны их	1	1
127	указывает на то	1	1
128	но этого мало	1	1
129	одной из этих	1	1
130	во всех этих	1	1
131	время и средство	1	1
132	что все это	1	1
133	о которых мы	1	1
134	для всех или	1	1
135	она могла бы	1	1
136	и другое возможно	1	1
137	оно и для	1	1
138	имеет в себе	1	1
139	не следует чтобы	1	1
140	в том числе	1	1
141	то что оно	1	1
142	между нами и	1	1
143	по отношению ко	1	1
144	во что бы	3	1
145	но вряд ли	1	1
