N	3gram	Propp_Isto	VeschiIm
1	и т д	36	38
2	это значит что	2	25
3	не может быть	6	24
4	не что иное	1	12
5	что иное как	1	12
6	т д и	1	11
7	тем не менее	6	11
8	д и т	1	10
9	в том что	4	9
10	есть не что	1	8
11	в самом деле	1	7
12	на то что	3	7
13	по сравнению с	1	7
14	т е в	6	7
15	с точки зрения	1	6
16	может быть только	1	6
17	и не только	1	6
18	в свою очередь	1	5
19	и тем не	2	5
20	в то же	1	5
21	и то же	2	5
22	и то что	3	5
23	не потому что	2	5
24	одно и то	2	5
25	подобно тому как	2	5
26	не только в	2	5
27	о том как	4	4
28	то время как	3	4
29	что в ней	1	4
30	от того что	1	4
31	этой точки зрения	2	4
32	с этой точки	2	4
33	в то время	3	4
34	сам по себе	1	4
35	о том что	5	4
36	это и есть	1	4
37	само по себе	1	4
38	то же время	1	4
39	мы видели что	2	3
40	но то что	1	3
41	вместе с тем	7	3
42	указывает на то	1	3
43	можно сказать что	1	3
44	свидетельствует о том	1	3
45	все же не	1	3
46	из того что	1	3
47	есть как бы	1	3
48	только то что	1	3
49	с одной стороны	7	3
50	с другой стороны	10	3
51	так же как	10	2
52	то что он	2	2
53	мы находим в	1	2
54	мы видим что	4	2
55	в данном случае	2	2
56	в том чтобы	2	2
57	не говорит о	1	2
58	т е на	2	2
59	не имеет никакого	1	2
60	но уже сейчас	1	2
61	то или другое	1	2
62	для того чтобы	3	2
63	мы еще не	1	2
64	друг с другом	2	2
65	не было ни	1	2
66	только один из	1	2
67	и таким образом	2	2
68	не может считаться	1	2
69	хотя бы в	1	2
70	а не в	1	2
71	в связи с	6	2
72	то что у	1	2
73	и с другой	1	2
74	но все же	6	2
75	во всяком случае	1	2
76	вопрос о том	1	2
77	а не только	1	2
78	только тогда когда	2	2
79	не мог бы	1	2
80	в основе своей	1	2
81	что он не	1	1
82	i а также	1	1
83	одной стороны и	1	1
84	есть ли это	1	1
85	в ней самой	1	1
86	о ней а	1	1
87	т д все	2	1
88	как будто бы	1	1
89	и потому что	1	1
90	это может быть	1	1
91	не только то	1	1
92	т д то	1	1
93	он думает что	1	1
94	т е к	1	1
95	же не хватает	1	1
96	по себе но	1	1
97	что уже не	1	1
98	никак не может	1	1
99	том смысле что	1	1
100	таким образом между	1	1
101	но и здесь	1	1
102	т е для	2	1
103	и может быть	1	1
104	но и в	2	1
105	может быть речи	2	1
106	как мы знаем	1	1
107	в том смысле	2	1
108	что когда я	1	1
109	же она не	1	1
110	едва ли можно	1	1
111	ничего не говорит	2	1
112	один из видов	1	1
113	и в особенности	2	1
114	то или иное	1	1
115	т д в	1	1
116	в одно целое	1	1
117	ясно что это	1	1
118	того или другого	1	1
119	быть речи о	1	1
120	здесь как и	2	1
121	и не потому	2	1
122	дело не в	1	1
123	в себе и	1	1
124	что не только	1	1
125	явление как таковое	1	1
126	но в свете	1	1
127	которых идет речь	1	1
128	исключительно только с	1	1
129	что все это	1	1
130	на этой стадии	4	1
131	все еще не	1	1
132	только в том	1	1
133	имеет в качестве	1	1
134	она и не	1	1
135	именно на этой	1	1
136	что и в	3	1
137	не в том	2	1
138	только в виде	1	1
139	но это только	1	1
140	дело вовсе не	1	1
141	что у него	2	1
142	и один из	1	1
143	же как он	2	1
144	ее не только	1	1
145	было то что	1	1
146	до сих пор	7	1
147	это одна из	1	1
148	не могу найти	1	1
149	и здесь мы	1	1
150	таким образом и	1	1
151	с этой стороны	1	1
152	смысле этого слова	1	1
153	потому что он	5	1
154	очень много и	1	1
155	речь идет о	1	1
156	она все же	1	1
157	может быть подтверждено	1	1
158	еще не был	1	1
159	существования и что	1	1
160	при более подробном	1	1
161	и все эти	1	1
162	мы не знаем	2	1
163	как мы видим	1	1
164	и вместе с	3	1
165	между ними существует	1	1
166	только потому что	1	1
167	это уже не	2	1
168	с полной ясностью	1	1
169	потому что оно	1	1
170	и пр также	1	1
171	в этом случае	13	1
172	к его пониманию	1	1
173	о которых идет	1	1
174	в этом он	1	1
175	в ней не	1	1
176	стоит в связи	1	1
177	ни на какие	1	1
178	у него нет	1	1
179	в зависимости от	1	1
180	с ним и	1	1
181	для тех кто	1	1
182	с тем что	1	1
183	то же самое	1	1
184	со всем что	1	1
185	нее т е	1	1
186	не имеют никакого	1	1
187	что может быть	1	1
188	то обстоятельство что	1	1
189	несмотря на все	1	1
190	и что он	1	1
191	на первый план	1	1
192	в этой связи	1	1
193	в одном случае	1	1
194	как только он	1	1
195	но так как	3	1
196	но и для	1	1
197	это было бы	1	1
198	еще и потому	1	1
199	еще ничего не	1	1
200	вовсе не в	1	1
201	а также и	1	1
202	и никем не	1	1
203	может быть и	1	1
