N	2gram	Tiupa_Anal	VLabPisa
1	таким образом	4	32
2	в этом	19	29
3	не только	40	26
4	и в	36	26
5	и т	1	25
6	может быть	19	23
7	во сне	3	21
8	и не	14	20
9	хотя бы	1	20
10	т е	2	18
11	не может	3	17
12	в письме	1	16
13	в его	12	15
14	в том	16	15
15	этом отношении	3	14
16	в силу	2	14
17	все это	5	13
18	прежде всего	7	13
19	в качестве	22	12
20	в частности	19	12
21	как это	7	12
22	что в	15	11
23	с другой	10	11
24	из них	4	11
25	то же	7	10
26	не могут	2	10
27	в художественном	1	10
28	о том	9	10
29	но и	26	10
30	реальной действительности	1	10
31	по этому	1	10
32	и др	1	10
33	для него	8	9
34	как видим	1	9
35	об этом	3	9
36	к этому	3	9
37	могут быть	4	8
38	говорит и	3	8
39	другой стороны	7	8
40	только в	9	8
41	по словам	1	8
42	все эти	2	8
43	вместе с	3	8
44	том что	19	8
45	было бы	6	8
46	не следует	5	8
47	в своем	7	8
48	произведения и	2	7
49	в основном	1	7
50	это не	4	7
51	говорит о	3	7
52	в году	5	7
53	в конечном	5	7
54	не было	3	7
55	по отношению	9	7
56	очевидно что	2	7
57	как и	27	7
58	их в	1	7
59	во всех	4	7
60	а не	16	7
61	то что	5	7
62	произведения в	4	7
63	художественное произведение	1	7
64	отношению к	9	7
65	же в	5	7
66	в нем	3	7
67	из этих	4	7
68	один из	6	6
69	произведения как	4	6
70	у него	2	6
71	все же	6	6
72	приводит к	5	6
73	идеи и	1	6
74	это и	4	6
75	бы и	2	6
76	он же	2	6
77	в искусстве	3	6
78	не в	9	6
79	между тем	8	6
80	так и	19	6
81	художественного произведения	1	6
82	в себе	7	6
83	в зависимости	1	6
84	и его	18	6
85	в то	8	6
86	образы и	1	5
87	утверждать что	1	5
88	художественный образ	1	5
89	даже в	6	5
90	в результате	6	5
91	в их	7	5
92	в них	4	5
93	связи с	1	5
94	одним из	1	5
95	конечном счете	5	5
96	как говорит	4	5
97	зависимости от	1	5
98	к тому	10	5
99	перед нами	7	5
100	не является	5	5
101	на основе	1	5
102	и при	1	5
103	в одном	4	5
104	в пределах	5	5
105	же время	7	5
106	как бы	14	5
107	в целом	8	5
108	сказать что	2	5
109	в плане	1	5
110	и есть	1	5
111	никогда не	7	5
112	в самом	7	4
113	различного рода	1	4
114	ее в	2	4
115	в ее	5	4
116	как раз	8	4
117	можно сказать	5	4
118	в этой	10	4
119	что все	1	4
120	что он	5	4
121	в виду	1	4
122	по существу	1	4
123	в романе	3	4
124	с тем	2	4
125	с ними	2	4
126	в своей	12	4
127	является не	1	4
128	одном из	1	4
129	роль в	5	4
130	с его	15	4
131	в связи	1	4
132	когда он	2	4
133	них не	1	4
134	из его	1	4
135	не удивительно	2	4
136	одна из	6	4
137	рассказывает о	1	4
138	по поводу	5	4
139	отнюдь не	7	4
140	во время	2	4
141	и ее	3	4
142	в статье	1	4
143	и к	7	3
144	что они	3	3
145	замысла в	1	3
146	данного произведения	2	3
147	и он	4	3
148	что у	3	3
149	этой проблемы	1	3
150	мы знаем	1	3
151	удивительно что	2	3
152	мы имеем	5	3
153	а вот	3	3
154	естественно что	1	3
155	того что	4	3
156	никак не	1	3
157	но как	4	3
158	видеть в	2	3
159	со своим	2	3
160	что и	10	3
161	у нас	1	3
162	сводится к	5	3
163	подобно тому	4	3
164	его в	4	3
165	в форме	2	3
166	если бы	2	3
167	или в	4	3
168	именно в	4	3
169	в конце	6	3
170	или иная	1	3
171	например в	2	3
172	между ними	3	3
173	и как	5	3
174	в слове	5	3
175	от мая	1	3
176	не столь	1	3
177	мира и	2	3
178	а всего	4	3
179	вовсе не	2	3
180	бы в	1	3
