N	2gram	Savitsky_P	ViktorSh
1	и в	14	2
2	в том	9	2
3	том что	4	2
4	одно и	1	1
5	столь же	3	1
6	с о	2	1
7	главным образом	2	1
8	в самом	1	1
9	для них	2	1
10	именно в	2	1
11	это способно	1	1
12	ни к	1	1
13	более чем	2	1
14	ясно что	1	1
15	в частности	2	1
16	чем к	1	1
17	и то	1	1
18	время в	2	1
19	сводится к	3	1
20	от многих	1	1
21	на заре	1	1
22	к чему	2	1
23	хотя бы	8	1
24	далеко не	1	1
25	тем более	2	1
26	в которых	5	1
27	только в	7	1
28	потому что	3	1
29	в значительной	2	1
30	и только	1	1
31	то же	9	1
32	не будем	2	1
33	и не	12	1
34	гораздо более	1	1
35	да и	2	1
36	в этом	10	1
37	все это	2	1
38	совершенно ясно	1	1
