N	4gram	Trubetskoy	DiskursI
1	в то же время	2	8
2	состоит в том что	1	7
3	одного и того же	1	4
4	в том числе и	4	3
5	лицом к лицу с	1	2
6	а в том что	1	2
7	и в то же	1	2
8	бы то ни было	2	2
9	точки зрения представляет собой	1	1
10	из одного и того	1	1
11	же самое следует сказать	1	1
12	самое следует сказать и	1	1
13	данном случае мы имеем	1	1
14	в том что они	1	1
15	ни к чему не	1	1
16	следует сказать и о	1	1
17	по крайней мере в	1	1
18	или по крайней мере	1	1
19	одном и том же	1	1
20	в данном случае мы	1	1
21	но и потому что	1	1
22	свидетельствует о том что	1	1
23	то же самое следует	1	1
24	не в том что	1	1
25	в том или ином	1	1
