N	3gram	Bakhtin_sl	Russkaja
1	друг с другом	2	14
2	то же время	15	10
3	в то же	15	10
4	с точки зрения	11	9
5	в том что	4	7
6	во всяком случае	7	6
7	для того чтобы	1	6
8	а между тем	2	5
9	до сих пор	4	5
10	возможно лишь при	1	4
11	не может быть	11	4
12	на то что	1	4
13	более или менее	5	4
14	бы то ни	1	4
15	той или иной	13	3
16	можно было бы	2	3
17	в данном случае	3	3
18	в лучшем случае	3	3
19	в этом случае	4	3
20	не может не	5	3
21	и не может	2	3
22	что он не	1	2
23	в том и	2	2
24	и в том	2	2
25	того или иного	2	2
26	тот факт что	1	2
27	и во всяком	1	2
28	том и в	2	2
29	о котором идет	1	2
30	в большинстве случаев	11	2
31	лишь при условии	1	2
32	и в другом	2	2
33	по самому своему	1	2
34	о том что	2	2
35	сама по себе	2	2
36	будучи по существу	1	2
37	к тому что	2	2
38	а следовательно и	2	2
39	в другом случае	3	2
40	она не может	1	2
41	мы говорили в	1	2
42	или в лучшем	1	2
43	во всех областях	4	1
44	необходимо иметь в	1	1
45	в противном случае	1	1
46	всех областях жизни	2	1
47	уже не на	1	1
48	лишь тогда когда	2	1
49	и в частности	1	1
50	и с точки	1	1
51	дело в том	1	1
52	но по существу	2	1
53	бы друг с	1	1
54	по себе еще	1	1
55	он еще не	1	1
56	но в то	6	1
57	речь идет о	1	1
58	всех этих случаях	1	1
59	в нем самом	1	1
60	наиболее полное и	1	1
61	мы не знаем	2	1
62	том числе и	1	1
63	именно так как	1	1
64	как бы не	1	1
65	до известной степени	3	1
66	его жизни и	1	1
67	тех или иных	1	1
68	в каждый данный	5	1
69	по отношению к	2	1
70	и прежде всего	1	1
71	во всех этих	2	1
72	как бы ни	2	1
73	по крайней мере	1	1
74	прежде всего в	1	1
75	эта точка зрения	1	1
76	а в том	1	1
77	с самого начала	1	1
78	свою точку зрения	1	1
79	отличается от того	1	1
80	на том же	2	1
81	самому своему существу	1	1
82	каждый данный момент	4	1
83	всяком случае не	1	1
84	то ни было	1	1
85	о которых мы	2	1
86	точки зрения здесь	1	1
87	противоречат друг другу	1	1
88	в связи с	2	1
89	же время в	1	1
90	к одному из	1	1
91	в том числе	1	1
92	тем не менее	2	1
93	жизни перед нами	1	1
94	с отказом от	1	1
95	но все же	1	1
96	жизни но и	1	1
97	с ним в	1	1
98	которых мы говорили	2	1
99	в этом отношении	2	1
100	перед нами не	1	1
101	то есть не	2	1
102	в свою очередь	3	1
103	в применении к	1	1
104	только с точки	1	1
105	момент необходимый для	1	1
106	в его целом	1	1
107	в значительной степени	6	1
108	в основе его	1	1
109	неизбежно приводит к	1	1
110	и в этом	2	1
111	за ними не	1	1
