N	3gram	Medvedev_F	Otkroven
1	для того чтобы	3	3
2	с разных сторон	1	2
3	не могут быть	4	2
4	с тем что	3	2
5	как и все	2	2
6	не может быть	11	2
7	что же это	1	2
8	же это за	1	2
9	но и в	4	2
10	чем на западе	1	2
11	и в этом	6	2
12	в самом начале	1	1
13	что не в	1	1
14	сам по себе	2	1
15	так и не	1	1
16	в одном месте	1	1
17	в том что	3	1
18	не в том	3	1
19	в первый период	5	1
20	и заключается в	1	1
21	в том случае	2	1
22	в этот период	1	1
23	в душе не	1	1
24	еще одну особенность	1	1
25	как и в	1	1
26	в самом деле	5	1
27	и не в	2	1
28	том случае если	1	1
29	а вовсе не	2	1
30	смысле этого слова	4	1
31	во всяком случае	6	1
32	в самой природе	1	1
33	строгом смысле этого	1	1
34	к ней не	1	1
35	и в его	1	1
36	вместо того чтобы	1	1
37	прежде всего и	1	1
38	и прежде всего	2	1
39	в этом отношении	7	1
40	и больше всего	1	1
41	между этими двумя	2	1
42	по сравнению с	1	1
43	должен был бы	1	1
44	в строгом смысле	2	1
45	он в корне	1	1
46	от того что	1	1
47	прежде всего в	5	1
48	и в том	1	1
49	не было и	1	1
50	рассказ ведется от	1	1
51	возможен лишь для	1	1
52	и не может	5	1
53	находится в противоречии	1	1
54	ее как бы	1	1
