N	2gram	Losev_Vlad	Narrotol
1	не только	35	62
2	и не	33	50
3	при этом	5	47
4	но и	26	45
5	а не	5	38
6	в качестве	7	35
7	в частности	4	31
8	может быть	12	30
9	и в	56	30
10	в том	26	29
11	в этом	30	28
12	тогда как	1	28
13	своего рода	1	28
14	том что	22	28
15	а в	20	27
16	такого рода	4	26
17	представляет собой	1	25
18	только в	11	25
19	в данном	1	24
20	как и	7	24
21	не в	12	23
22	то что	30	23
23	то есть	5	22
24	не может	12	20
25	в себе	5	17
26	так и	11	17
27	а также	12	17
28	со стороны	5	16
29	в его	18	16
30	к тому	5	15
31	можно сказать	10	15
32	но в	19	15
33	в жизни	4	14
34	и его	12	14
35	то же	10	13
36	в своей	7	13
37	уже не	6	13
38	о том	13	13
39	в своем	10	13
40	у него	28	13
41	времени и	1	13
42	все же	11	12
43	на протяжении	1	12
44	сводится к	1	12
45	как в	6	12
46	перед нами	1	12
47	как бы	5	12
48	прежде всего	5	12
49	по отношению	1	11
50	об этом	13	11
51	к себе	2	11
52	хотя и	9	11
53	если бы	2	11
54	и тем	2	11
55	в этой	4	11
56	в нем	7	11
57	жизни в	3	11
58	тем самым	2	11
59	один из	4	10
60	никогда не	15	10
61	тому же	3	10
62	точки зрения	4	10
63	как это	11	10
64	в то	15	10
65	и все	8	10
66	жизни и	8	10
67	с его	15	10
68	ничего не	4	10
69	того что	6	10
70	но не	5	10
71	как раз	7	9
72	тем не	8	9
73	я в	4	9
74	столь же	1	9
75	отнюдь не	3	9
76	что в	24	9
77	с ним	10	9
78	истории в	2	9
79	что он	22	9
80	еще не	2	9
81	потому что	16	9
82	для него	16	9
83	далеко не	1	9
84	в той	2	8
85	и к	10	8
86	в самом	3	8
87	в таком	2	8
88	о чем	6	8
89	не менее	9	8
90	не мог	10	8
91	одна из	1	8
92	он не	13	8
93	и он	7	8
94	самом деле	1	8
95	того чтобы	4	8
96	внимание на	1	8
97	мы имеем	2	8
98	же время	7	8
99	и для	4	8
100	этом отношении	2	8
101	в литературе	1	8
102	у нас	11	8
103	у нее	1	8
104	а во	1	7
105	в котором	10	7
106	встречи с	1	7
107	с другой	3	7
108	пока еще	2	7
109	едва ли	3	7
110	на себя	3	7
111	в конце	22	7
112	в чем	4	7
113	в силу	1	7
114	и на	7	7
115	же в	3	7
116	в свою	3	7
117	это не	3	7
118	в глазах	1	7
119	или в	1	7
120	также и	13	7
121	в ней	5	7
122	одного из	1	7
123	в целом	3	7
124	все что	2	6
125	в результате	6	6
126	например в	1	6
127	между двумя	1	6
128	сказать что	14	6
129	в нашем	5	6
130	на него	3	6
131	имеем дело	1	6
132	о ней	1	6
133	то в	6	6
134	что у	4	6
135	с одной	1	6
136	что и	6	6
137	на другой	1	6
138	в детстве	2	6
139	не могла	3	6
140	в современной	1	6
141	однако и	1	6
142	таким образом	6	6
143	никак не	6	6
144	к его	5	6
145	то и	3	6
146	из этих	5	6
147	здесь не	6	6
148	ответ на	2	6
149	они не	1	6
150	о нем	9	6
151	как у	3	6
152	не по	2	6
153	одной стороны	1	6
154	на то	7	6
155	вплоть до	4	6
156	человеческой жизни	1	5
157	только что	2	5
158	дело с	2	5
159	не столько	4	5
160	в своих	7	5
161	и даже	23	5
162	и сам	7	5
163	именно в	4	5
164	а именно	4	5
165	мира и	1	5
166	и того	1	5
167	свою очередь	2	5
168	для того	4	5
169	о них	1	5
170	в одном	2	5
171	он сам	3	5
172	точка зрения	1	5
173	себя в	6	5
174	из них	3	5
175	к нему	6	5
176	от его	1	5
177	начала и	2	5
178	бы и	1	5
179	не было	12	5
180	или не	1	5
181	я не	8	5
182	так сказать	2	5
183	его жизни	12	5
184	а для	1	5
185	в русской	1	5
186	по поводу	15	5
187	и от	6	5
188	с ее	1	5
189	и здесь	3	5
190	что это	2	5
191	если не	4	5
192	их в	3	5
193	и у	4	5
194	с ними	2	5
195	да и	6	5
196	о котором	2	5
197	том как	1	5
198	было бы	7	5
199	и уже	1	5
200	для нее	3	5
201	и то	13	5
202	свидетельствует о	3	5
203	мы не	2	5
204	на самом	1	5
205	в какой	1	5
206	тем более	4	5
207	в начале	7	5
208	еще в	5	5
209	и о	6	5
210	этом и	2	5
211	место в	2	5
212	как будто	2	5
213	в душе	1	4
214	даже в	4	4
215	строго говоря	1	4
216	по себе	3	4
217	в них	5	4
218	и с	27	4
219	не вполне	3	4
220	роль в	1	4
221	когда в	1	4
222	не существует	1	4
223	которой он	7	4
224	хотя бы	5	4
225	только на	3	4
226	но они	1	4
227	и когда	1	4
228	который в	1	4
229	к этому	11	4
230	что они	4	4
231	жизни так	1	4
232	на том	1	4
233	несмотря на	7	4
234	то у	1	4
235	к жизни	2	4
236	и притом	5	4
237	не о	1	4
238	тому что	1	4
239	в себя	1	4
240	в ответ	2	4
241	не будет	1	4
242	но зато	2	4
243	по своей	4	4
244	другой день	1	4
245	и по	10	4
246	жизни а	1	4
247	для себя	6	4
248	это уже	1	4
249	свою позицию	1	4
250	о которой	3	4
251	не на	1	4
252	за границей	3	4
253	со всеми	1	4
254	о своей	1	4
255	вместе с	9	4
256	не имеет	2	4
257	во сне	2	4
258	в москве	13	4
259	в итоге	1	4
260	не могло	2	4
261	начиная с	3	4
262	что я	5	4
263	всяком случае	8	4
264	в произведениях	1	4
265	друг друга	3	4
266	ему в	4	4
267	нас нет	2	4
