N	2gram	Nazirov_Vr	BTomashe
1	все это	4	2
2	в ней	4	2
3	и не	5	2
4	говорить о	1	1
5	и о	3	1
6	не только	9	1
7	а о	1	1
8	таким образом	2	1
9	не было	5	1
10	прежде всего	1	1
11	и в	8	1
12	так и	1	1
13	в своей	2	1
14	во всяком	1	1
15	и во	3	1
16	также что	1	1
17	по нашему	3	1
18	говорить об	1	1
19	же не	2	1
20	по крайней	1	1
21	с другой	1	1
22	об этом	5	1
23	другой стороны	1	1
24	крайней мере	1	1
25	всяком случае	1	1
26	было бы	1	1
27	не мешало	1	1
28	и ее	2	1
29	более что	1	1
30	далеко не	3	1
31	тем более	2	1
32	говорить не	1	1
33	короче говоря	1	1
34	не все	1	1
35	нельзя не	1	1
36	нашему мнению	1	1
37	первый у	1	1
38	отнюдь не	2	1
39	до конца	1	1
40	бы больше	1	1
41	свою книгу	1	1
42	еще не	2	1
43	все же	6	1
44	что в	7	1
