N	2gram	Tiupa_Hudo	EvropaiC
1	в том	24	31
2	и в	34	24
3	том что	31	20
4	все эти	4	19
5	то что	13	18
6	не может	10	18
7	может быть	12	17
8	до сих	3	15
9	все же	5	15
10	сих пор	3	15
11	точки зрения	7	14
12	в этом	22	13
13	все это	2	13
14	самом деле	6	12
15	с этим	3	12
16	между тем	14	12
17	в своем	9	12
18	по отношению	15	11
19	но и	13	11
20	отношению к	15	11
21	все что	4	10
22	мы знаем	4	10
23	не только	22	10
24	так и	19	10
25	как и	16	10
26	культуры в	1	10
27	во всех	2	10
28	из себя	1	10
29	как бы	11	10
30	что в	8	9
31	при этом	21	9
32	в результате	2	9
33	не в	16	9
34	и все	10	9
35	и не	15	9
36	с другом	1	9
37	потому что	7	9
38	и что	3	9
39	на то	4	9
40	друг с	1	9
41	в самом	7	8
42	с точки	5	8
43	чем у	1	8
44	более или	1	8
45	ясно что	2	8
46	или менее	1	8
47	к тому	11	8
48	для того	3	8
49	если бы	7	8
50	того чтобы	6	8
51	а между	4	8
52	так же	3	8
53	знаем что	2	8
54	а и	2	8
55	из этих	3	8
56	так как	2	7
57	что при	3	7
58	того что	5	7
59	приобщение к	1	7
60	что и	3	7
61	на самом	2	7
62	что он	14	7
63	не менее	9	7
64	о которых	2	7
65	о котором	2	7
66	из этого	1	7
67	о том	21	7
68	вместе с	2	7
69	по своей	5	7
70	в этой	11	7
71	в силу	2	7
72	по существу	1	7
73	и на	6	6
74	несмотря на	7	6
75	с ним	6	6
76	только в	8	6
77	от друга	2	6
78	в мире	10	6
79	отличается от	1	6
80	друг от	2	6
81	еще не	10	6
82	все они	2	6
83	так что	3	6
84	к чужой	5	6
85	тогда как	10	6
86	что касается	1	6
87	как на	2	6
88	в каждый	1	6
89	в общем	1	6
90	начало и	1	6
91	с другой	4	6
92	в то	12	6
93	и для	5	6
94	и к	6	5
95	как к	4	5
96	ничем не	3	5
97	между собою	1	5
98	должно быть	2	5
99	тех кто	2	5
100	в состоянии	3	5
101	в его	17	5
102	что это	2	5
103	другой стороны	1	5
104	у него	13	5
105	его в	5	5
106	так или	3	5
107	в которой	2	5
108	но все	2	5
109	и с	10	5
110	или иначе	3	5
111	именно в	9	5
112	и без	1	5
113	по своему	3	5
114	случае если	2	5
115	не будет	1	5
116	далеко не	1	5
117	лишь в	5	5
118	в себе	19	5
119	и от	6	5
120	что все	3	5
121	столь же	6	5
122	как будто	7	5
123	к этому	1	5
124	в целом	2	5
125	из них	5	5
126	но в	6	5
127	иначе говоря	2	4
128	и то	2	4
129	ее и	2	4
130	та же	5	4
131	на вопрос	2	4
132	которых мы	1	4
133	этом случае	1	4
134	хотя и	3	4
135	тем не	7	4
136	совершенно не	1	4
137	из которых	1	4
138	в их	2	4
139	в виде	2	4
140	связи с	4	4
141	что его	1	4
142	в конце	5	4
143	в таком	3	4
144	с тем	1	4
145	в в	1	4
146	не могут	1	4
147	между собой	1	4
148	и у	3	4
149	том случае	2	4
150	а с	5	4
151	что мы	1	4
152	культуре и	1	4
153	мы уже	7	4
154	в течение	1	4
155	ни один	1	4
156	хотя бы	2	4
157	то ни	2	4
158	в дальнейшем	2	4
159	в такой	2	4
160	мы должны	1	4
161	что эта	1	4
162	признать что	2	4
163	и т.д	3	4
164	отношение к	3	4
165	что для	1	4
166	без того	1	4
167	том же	1	4
168	ибо в	2	4
169	в области	1	4
170	он не	8	4
171	конце концов	1	4
172	всех этих	1	4
173	то же	14	4
174	никогда не	8	4
175	ближе к	2	3
176	бы то	1	3
177	от него	3	3
178	что оно	1	3
179	данном случае	3	3
180	только что	4	3
181	и по	3	3
182	в начале	3	3
183	с одной	4	3
184	еще больше	1	3
185	даже в	4	3
186	освободиться от	1	3
187	в нашем	2	3
188	в разных	1	3
189	как у	2	3
190	для нас	4	3
191	прежде всего	12	3
192	одно из	4	3
193	же не	3	3
194	в этих	7	3
195	различия между	3	3
196	чем в	1	3
197	в нем	5	3
198	заключается в	1	3
199	в жизни	9	3
200	можно назвать	2	3
201	в связи	3	3
202	же как	4	3
203	на земле	2	3
204	настоящее время	1	3
205	может не	1	3
206	и это	7	3
207	в сторону	2	3
208	ничего общего	1	3
209	что их	1	3
210	тем более	1	3
211	жизнь и	2	3
212	только одно	1	3
213	и того	1	3
214	и потому	3	3
215	на этой	1	3
216	в данном	3	3
217	и других	1	3
218	отличие от	1	3
219	вопрос о	2	3
220	в ней	6	3
221	двух или	1	3
222	что если	1	3
223	если же	1	3
224	с этой	3	3
225	может служить	1	3
226	это не	12	3
227	тем самым	2	3
228	и до	1	3
229	с в	1	3
230	от того	1	3
231	к которой	1	3
232	каждый из	1	3
233	а в	11	3
234	а лишь	1	3
235	как известно	1	3
236	было бы	8	3
237	как мы	5	3
238	национальной и	1	3
239	образом в	1	3
240	но не	7	3
241	отличаются друг	1	3
242	таким же	1	3
243	бы в	2	3
244	в настоящее	1	3
245	как для	1	3
246	тот же	1	3
247	таком же	1	2
248	все в	2	2
249	представить себе	1	2
250	что за	1	2
251	от нее	2	2
252	и весь	1	2
253	что они	4	2
254	только не	3	2
255	во втором	2	2
256	образом и	1	2
257	но на	1	2
258	в гораздо	1	2
259	все его	3	2
260	что у	4	2
261	то есть	1	2
262	то в	6	2
263	в общий	1	2
264	или нескольких	1	2
265	на том	3	2
266	для себя	9	2
267	для него	15	2
268	тем как	2	2
269	то и	5	2
270	него в	2	2
271	но как	3	2
272	и из	1	2
273	каждого человека	3	2
274	в виду	1	2
275	сводится к	7	2
276	этими двумя	1	2
277	том и	1	2
278	иной чем	1	2
279	но с	3	2
280	в своих	4	2
281	не было	8	2
282	не потому	1	2
283	не знает	2	2
284	и сам	3	2
285	из нее	1	2
286	все дело	1	2
