N	2gram	Kanaev_Sov	Retstnzi
1	не может	17	4
2	и в	7	3
3	если в	1	2
4	один из	1	2
5	нуждаются в	1	1
6	несмотря на	1	1
7	может быть	12	1
8	не только	4	1
9	точки зрения	12	1
10	с точки	5	1
11	может не	3	1
12	в ней	1	1
13	в каждом	8	1
14	связи с	1	1
15	не из	1	1
16	если бы	1	1
17	в его	2	1
18	не менее	2	1
19	от общей	1	1
20	вторая половина	2	1
21	мы видим	2	1
22	можно назвать	2	1
23	в то	1	1
24	из этих	2	1
25	он в	3	1
26	же время	1	1
27	то же	3	1
28	по своим	1	1
29	а не	3	1
30	нет и	4	1
31	и должно	1	1
32	в системе	3	1
33	и не	6	1
34	и все	3	1
35	это направление	1	1
