N	2gram	Bakhtin_sl	Narrotol
1	не только	37	62
2	и не	32	50
3	при этом	12	47
4	но и	37	45
5	а не	29	38
6	в качестве	4	35
7	в частности	3	31
8	может быть	40	30
9	и в	69	30
10	в том	7	29
11	в этом	21	28
12	том что	6	28
13	а в	10	27
14	такого рода	2	26
15	только в	9	25
16	в данном	5	24
17	как и	8	24
18	не в	14	23
19	то что	2	23
20	то есть	46	22
21	не может	27	20
22	в себе	3	17
23	данном случае	3	17
24	так и	22	17
25	а также	5	17
26	со стороны	1	16
27	в его	19	16
28	к тому	3	15
29	можно сказать	2	15
30	и т.п	1	15
31	но в	13	15
32	в жизни	1	14
33	и его	45	14
34	то же	17	13
35	в своей	8	13
36	уже не	5	13
37	о том	5	13
38	в своем	9	13
39	у него	5	13
40	все же	10	12
41	на протяжении	3	12
42	сводится к	1	12
43	как в	18	12
44	перед нами	7	12
45	как бы	16	12
46	прежде всего	14	12
47	по отношению	2	11
48	об этом	1	11
49	к себе	1	11
50	хотя и	4	11
51	в мире	1	11
52	если бы	1	11
53	и тем	3	11
54	в этой	1	11
55	в нем	44	11
56	героя в	2	11
57	жизни в	2	11
58	в отличие	12	11
59	отличие от	13	11
60	отношению к	2	11
61	один из	9	10
62	никогда не	9	10
63	точки зрения	24	10
64	между тем	5	10
65	как это	3	10
66	в то	17	10
67	и все	9	10
68	не является	3	10
69	жизни и	5	10
70	с его	8	10
71	ничего не	5	10
72	того что	4	10
73	но не	7	10
74	как раз	3	9
75	тем не	2	9
76	той или	13	9
77	столь же	2	9
78	отнюдь не	1	9
79	что в	3	9
80	с ним	12	9
81	что он	2	9
82	еще не	9	9
83	потому что	2	9
84	для него	8	9
85	далеко не	7	9
86	в рамках	1	9
87	в той	13	8
88	и к	9	8
89	в самом	6	8
90	в таком	5	8
91	о чем	1	8
92	не менее	4	8
93	одна из	6	8
94	он не	5	8
95	действующих лиц	2	8
96	и он	1	8
97	того чтобы	1	8
98	мы имеем	1	8
99	же время	15	8
100	и для	7	8
101	этом отношении	2	8
102	в литературе	1	8
103	у нас	2	8
104	у нее	1	8
105	или иной	13	8
106	мира в	2	8
107	в котором	2	7
108	с другой	8	7
109	в ее	2	7
110	в конце	1	7
111	в чем	2	7
112	и на	17	7
113	в форме	3	7
114	же в	2	7
115	в свою	4	7
116	это не	8	7
117	или в	10	7
118	также и	5	7
119	в ней	7	7
120	одного из	2	7
121	в целом	3	7
122	все что	1	6
123	в результате	4	6
124	например в	6	6
125	между двумя	1	6
126	сказать что	4	6
127	в нашем	1	6
128	на него	1	6
129	то в	2	6
130	с одной	7	6
131	что и	2	6
132	героя и	5	6
133	не могла	2	6
134	известном смысле	2	6
135	однако в	3	6
136	однако и	2	6
137	во втором	1	6
138	в состав	3	6
139	таким образом	16	6
140	к его	1	6
141	в слове	11	6
142	в известном	2	6
143	то и	1	6
144	из этих	3	6
145	в сознании	3	6
146	здесь не	6	6
147	они не	3	6
148	о нем	6	6
149	как у	2	6
150	слова в	19	6
151	одной стороны	7	6
152	на то	2	6
153	дело с	4	5
154	не столько	4	5
155	и даже	11	5
156	и сам	4	5
157	именно в	5	5
158	а именно	2	5
159	мира и	4	5
160	и того	1	5
161	свою очередь	3	5
162	в другом	4	5
163	для того	2	5
164	не всегда	1	5
165	может служить	1	5
166	в одном	4	5
167	он сам	1	5
168	точка зрения	10	5
169	себя в	14	5
170	из них	3	5
171	к нему	7	5
172	несобственно-прямой речи	1	5
173	от его	4	5
174	бы и	6	5
175	не было	4	5
176	человек в	6	5
177	так сказать	11	5
178	между собой	3	5
179	его жизни	1	5
180	точку зрения	6	5
181	и от	5	5
182	с ее	6	5
183	и здесь	5	5
184	и вследствие	1	5
185	и у	2	5
186	с ними	8	5
187	да и	2	5
188	о котором	1	5
189	вследствие этого	1	5
190	было бы	3	5
191	и уже	1	5
192	за пределами	3	5
193	и то	2	5
194	мы не	4	5
195	на самом	2	5
196	в какой	2	5
197	тем более	1	5
198	высказывания в	2	5
199	в начале	1	5
200	еще в	1	5
201	в пределах	27	5
202	и о	3	5
203	этом и	1	5
204	место в	2	5
205	себе самому	1	5
206	или напротив	2	5
207	существенную роль	1	4
208	в душе	1	4
209	еще раз	3	4
210	даже в	4	4
211	персонажа и	1	4
212	в виду	2	4
213	по себе	4	4
214	в них	11	4
215	в первом	3	4
216	и с	10	4
217	все его	4	4
218	роль в	4	4
219	хотя бы	6	4
220	только на	3	4
221	к этому	3	4
222	внутренней речи	3	4
223	обо мне	1	4
224	представить себе	1	4
225	что они	2	4
226	на том	2	4
227	несмотря на	2	4
228	то у	1	4
229	в герое	2	4
230	и притом	1	4
231	не о	1	4
232	тому что	2	4
233	в себя	3	4
234	по своей	2	4
235	и по	3	4
236	и ее	3	4
237	не на	6	4
238	со всеми	3	4
239	оно не	12	4
240	вместе с	3	4
241	которая не	3	4
242	в прозе	1	4
243	в основе	8	4
244	могла бы	1	4
245	не могло	3	4
246	в сфере	2	4
247	мог бы	1	4
248	но именно	5	4
249	всяком случае	7	4
250	друг друга	3	4
251	во всяком	9	4
252	для нас	7	4
253	а на	3	4
254	и как	3	4
255	или даже	5	4
256	так в	2	4
257	по своему	2	4
258	это было	2	4
259	не все	2	4
260	в области	1	4
261	человека в	5	4
262	она не	8	4
263	эти два	1	4
264	быть и	6	4
265	не с	5	4
266	как он	2	4
267	чужого слова	42	4
268	как по	1	4
269	к ней	2	4
270	как мы	15	4
271	не к	1	4
272	на одном	1	3
273	с этой	3	3
274	говорит о	1	3
275	не бывает	1	3
276	в этих	8	3
277	о своем	1	3
278	которое по	1	3
279	каждый из	1	3
280	в противовес	2	3
281	входит в	8	3
282	и иных	6	3
283	к своей	2	3
284	сознания в	2	3
285	не встречается	1	3
286	говорить о	2	3
287	за собой	1	3
288	не обязательно	1	3
289	так же	2	3
290	к ним	2	3
291	в зависимости	4	3
292	все время	4	3
293	что она	1	3
294	в чужой	1	3
295	только не	2	3
296	она в	1	3
297	с точки	11	3
298	подчеркнуть что	2	3
299	одно из	1	3
300	связи с	4	3
301	но он	4	3
302	не знает	3	3
303	в которой	4	3
304	всех его	9	3
305	что не	1	3
306	из уст	1	3
307	характер и	2	3
308	в связи	2	3
309	между ними	2	3
310	же как	2	3
311	и это	1	3
312	сих пор	4	3
313	могли бы	2	3
314	о себе	2	3
315	но как	2	3
316	а с	2	3
317	его внутренней	1	3
318	за ними	1	3
319	и что	2	3
320	можно было	2	3
321	часто не	1	3
322	иметь в	1	3
323	как уже	2	3
324	не просто	2	3
325	как известно	1	3
326	в направлении	2	3
327	первом случае	2	3
328	бы быть	2	3
329	а как	3	3
330	или иного	2	3
331	в него	9	3
332	лицо и	1	3
333	в пространстве	1	3
334	до сих	4	3
335	освободиться от	1	3
336	свою жизнь	1	3
337	первых двух	1	3
338	интерес к	3	3
339	от их	1	3
340	текста и	1	3
341	нам в	1	3
342	ни о	2	3
343	с таким	3	3
344	в романе	64	3
345	где в	1	3
346	обращается к	1	3
347	рассказчика и	3	3
348	и т	56	3
349	приводит к	2	3
350	бы не	1	3
351	зависимости от	4	3
352	что мы	1	3
353	как на	1	3
354	быть не	1	3
355	и лишь	1	3
356	речь идет	1	3
357	а лишь	2	3
358	жизни на	1	3
359	той же	3	3
360	одной из	4	3
361	до конца	25	3
362	на этот	1	3
