N	4gram	Losev_Dial	RusskieA
1	не что иное как	4	4
2	на самом же деле	2	3
3	так же как и	1	3
4	это не значит что	3	2
5	и т д и	3	2
6	привело к тому что	1	2
7	и т д с	1	1
8	и до сих пор	1	1
9	так как они не	1	1
10	и т д в	1	1
11	не потому что они	1	1
12	одна и та же	5	1
13	только в том чтобы	1	1
14	в то время как	2	1
15	о том что в	1	1
16	иметь в виду что	2	1
17	не имеет ничего общего	3	1
18	же с точки зрения	1	1
19	на ту или иную	1	1
20	дело в том что	1	1
21	имеет ничего общего с	3	1
22	приводит к тому что	1	1
