N	3gram	Berdyaev_M	FransuaR
1	в том что	3	27
2	до сих пор	5	27
3	с точки зрения	1	20
4	в этом отношении	1	20
5	для того чтобы	4	17
6	о том что	3	17
7	но и в	4	15
8	нужно сказать что	1	14
9	не может быть	22	13
10	на самом деле	1	13
11	в отличие от	1	11
12	как и все	1	11
13	как и в	2	10
14	мы еще вернемся	2	10
15	в значительной степени	2	10
16	в конце концов	3	10
17	не только в	2	10
18	по отношению к	4	9
19	на протяжении всего	1	8
20	после того как	2	8
21	в самом деле	1	7
22	в то время	2	7
23	можно было бы	1	7
24	прежде всего в	2	7
25	в своей книге	2	7
26	подобно тому как	2	7
27	во всех этих	1	7
28	во всех его	1	6
29	имеем в виду	1	6
30	выходит за пределы	1	6
31	это прежде всего	1	6
32	даже и в	1	6
33	и в этой	5	5
34	со всеми его	1	5
35	по сравнению с	2	5
36	мы имеем в	1	5
37	во всяком случае	1	5
38	потому что он	3	5
39	как бы в	1	5
40	это и есть	7	5
41	том что в	1	4
42	и той же	2	4
43	по ту сторону	1	4
44	в самой жизни	1	4
45	не только для	1	4
46	так же как	1	4
47	в нем и	1	4
48	также и в	2	4
49	что и в	3	4
50	может быть и	2	4
51	во втором случае	1	4
52	одной и той	2	4
53	в нем не	2	4
54	и не может	2	4
55	но он не	3	4
56	еще вернемся в	1	4
57	и в самом	3	4
58	а следовательно и	1	4
59	он видит в	1	3
60	не знает и	1	3
61	потому что в	4	3
62	но и с	1	3
63	и связанной с	1	3
64	в его время	1	3
65	смысле этого слова	1	3
66	между тем как	2	3
67	в необходимости и	1	3
68	и у других	1	3
69	в разных местах	2	3
70	ни к какому	2	3
71	но это не	3	3
72	всего того что	1	3
73	вместе с тем	5	3
74	он не только	2	3
75	в себе и	2	3
76	ничего не остается	1	3
77	в вопросе о	1	3
78	как и во	2	3
79	в себе в	1	3
80	из самых замечательных	1	3
81	еще вернемся к	1	3
82	хотя и в	1	3
83	один из самых	4	3
84	есть не что	3	3
85	и в том	1	3
86	и в этом	1	3
87	одним из самых	1	3
88	большое место в	1	3
89	с одним из	1	3
90	так и не	2	3
91	не что иное	4	3
92	так как они	1	3
93	то есть во	1	3
94	в нем есть	5	3
95	что иное как	4	3
96	нет и не	1	3
97	он знает только	1	2
98	к нему не	1	2
99	она никогда не	3	2
100	он знал и	1	2
101	как и всякая	1	2
102	том что это	1	2
103	быть и речи	1	2
104	его отношение к	2	2
105	в прошлое и	1	2
106	потому что она	2	2
107	сам по себе	1	2
108	но не только	1	2
109	его отношения к	1	2
110	не потому что	1	2
111	и вместе с	4	2
112	между этими двумя	1	2
113	и во всем	2	2
114	но также и	2	2
115	что в основе	1	2
116	что это не	2	2
117	имел в виду	1	2
118	в нем нет	1	2
119	есть и в	2	2
120	и потому не	3	2
121	и его особая	1	2
122	между людьми и	1	2
123	и землю и	1	2
124	так как он	1	2
125	во всем и	1	2
126	он остается в	1	2
127	по своей природе	1	2
128	никто не может	1	2
129	с самим собой	1	2
130	не могут быть	2	2
131	никогда не может	2	2
132	в нем все	1	2
133	говорят о том	1	2
134	сих пор не	1	2
135	к этой теме	1	2
136	о мире в	1	2
137	и есть то	1	2
138	все более и	1	2
139	а также в	1	2
140	и в самой	1	2
141	и по отношению	1	2
142	к нему все	2	2
143	и в основе	1	2
144	в самом человеке	1	2
145	только тогда когда	1	2
146	писателей мировой литературы	1	2
147	была для него	1	2
148	жизнь и судьба	1	2
149	к нему и	1	2
150	что у него	1	2
151	но в нем	1	2
152	быть может все	1	2
153	и в нем	3	2
154	и не было	2	2
155	дело доходит до	1	2
156	более и более	1	2
157	ни на что	1	2
158	быть отнесена к	1	2
159	мир к человеку	1	2
160	и та же	2	2
161	в обычном смысле	1	2
162	к человеку и	4	2
163	на что не	1	2
164	выход за пределы	1	2
165	в самом центре	2	2
166	том что он	1	2
167	же как и	1	2
168	одна и та	2	2
169	на эту тему	1	2
170	друг к другу	6	2
171	это нужно для	1	1
172	в конце этой	1	1
173	никогда и нигде	1	1
174	человеческой природой и	1	1
175	он не видит	1	1
176	не одна а	1	1
177	но быть может	1	1
178	земной жизни и	1	1
179	это не значит	2	1
180	его особая атмосфера	1	1
181	как будто бы	2	1
182	с ним может	1	1
183	в самых глубинах	1	1
184	с тем он	2	1
185	они до сих	1	1
186	жизни существует только	1	1
187	новых и новых	1	1
188	человека и человеческого	1	1
189	человека в его	1	1
190	на том что	1	1
191	и тогда когда	1	1
192	менее всего может	1	1
193	хотя бы и	2	1
194	был бы не	1	1
195	в своем художественном	1	1
