N	4gram	Bakhtin_Pr	Tvorches
1	в то же время	8	24
2	в преступлении и наказании	4	16
3	и в то же	3	6
4	но в то же	3	6
5	в записках из подполья	1	5
6	дело в том что	2	4
7	в униженных и оскорбленных	1	4
8	легенда о великом инквизиторе	1	3
9	преступлении и наказании но	1	3
10	и не может быть	5	3
11	село степанчиково и его	1	2
12	но самого смеха не	1	2
13	в романах достоевского в	1	2
14	нет и не может	3	2
15	в том числе и	13	2
16	в сне смешного человека	6	2
17	а не то что	1	2
18	самого смеха не слышим	1	2
19	степанчиково и его обитатели	1	2
20	которой обычно бывает гостиная	1	1
21	том числе и на	1	1
22	точках на пороге у	1	1
23	темени раз и другой	1	1
24	каждым ударом топора смех	1	1
25	образ смеющейся старухи у	1	1
26	он в сущности перескакивает	1	1
27	у достоевского созвучен с	1	1
28	смех со смертью и	1	1
29	на самом же деле	2	1
30	не что иное как	1	1
31	карте кстати пиковая дама	1	1
32	зал столовая где происходит	1	1
33	смеющейся старухи у достоевского	1	1
34	сосредоточивает действие только в	1	1
35	сущности перескакивает и сосредоточивает	1	1
36	по голове но с	1	1
37	при входе на лестнице	1	1
38	в гробу старухи графини	1	1
39	графини и подмигивающей пиковой	1	1
40	изображенной действительности но самого	1	1
41	гробу старухи графини и	1	1
42	или на площади заменой	1	1
43	через пространство он в	1	1
44	пиковая дама это карнавального	1	1
45	в этом романе и	1	1
46	в сущности перескакивает и	1	1
47	с преступления и наказания	1	1
48	образом подмигивающей в гробу	1	1
49	дверей при входе на	1	1
50	но с каждым ударом	1	1
51	бывает гостиная зал столовая	1	1
52	голове но с каждым	1	1
53	не с точки зрения	1	1
54	минимума мы как бы	1	1
55	созвучен с пушкинским образом	1	1
56	подмигивающей пиковой дамы на	1	1
57	в таком случае это	1	1
58	нет писателя в творчестве	1	1
59	все более и более	1	1
60	с каждым ударом топора	1	1
61	и в других романах	1	1
62	писателя в творчестве которого	1	1
63	и подмигивающей пиковой дамы	1	1
64	двух точках на пороге	1	1
65	входе на лестнице в	1	1
66	по темени раз и	1	1
67	кризис и перелом или	1	1
68	литературе нет писателя в	1	1
69	смеха в структуре изображенной	1	1
70	у дверей при входе	1	1
71	лестнице в коридоре и	1	1
72	сны играли бы такую	1	1
73	типа двойник старой графини	1	1
74	бы он ни был	1	1
75	старухи графини и подмигивающей	1	1
76	через пространство и время	2	1
77	в других романах достоевского	1	1
78	где происходит катастрофа и	1	1
79	сам приглушается до минимума	1	1
80	в двух точках на	1	1
81	сочетать смех со смертью	1	1
82	дамы на карте кстати	1	1
83	образа но сам приглушается	1	1
84	в структуре изображенной действительности	1	1
85	во всей европейской литературе	1	1
86	он продолжает определять структуру	1	1
87	совершается кризис и перелом	1	1
88	играли бы такую большую	1	1
89	столовая где происходит катастрофа	1	1
90	на карте кстати пиковая	1	1
91	или во всяком случае	1	1
92	действие только в двух	1	1
93	подмигивающей в гробу старухи	1	1
94	заменой которой обычно бывает	1	1
95	видим след смеха в	1	1
96	мы уже говорили что	1	1
97	происходит катастрофа и скандал	1	1
98	но сам приглушается до	1	1
99	определять структуру образа но	1	1
100	раз и другой но	1	1
101	преступлении и наказании мы	1	1
102	старуху по голове но	1	1
103	но в таком случае	1	1
104	мы имеем в виду	3	1
105	с другой стороны и	1	1
106	и через пространство он	1	1
107	в романном мире достоевского	1	1
108	пороге у дверей при	1	1
109	след смеха в структуре	1	1
110	в творчестве достоевского в	1	1
111	начиная с записок из	1	1
112	гостиная зал столовая где	1	1
113	начиная с преступления и	1	1
114	которого сны играли бы	1	1
115	творчестве которого сны играли	1	1
116	до сих пор еще	2	1
117	структуру образа но сам	1	1
118	пиковой дамы на карте	1	1
119	продолжает определять структуру образа	1	1
120	структуре изображенной действительности но	1	1
121	кстати пиковая дама это	1	1
122	в ряде других произведений	1	1
123	как в сне смешного	1	1
124	старухи у достоевского созвучен	1	1
125	приглушается до минимума мы	1	1
126	достоевского созвучен с пушкинским	1	1
127	представление о характере этого	1	1
128	с пушкинским образом подмигивающей	1	1
129	на лестнице в коридоре	1	1
130	которые сами по себе	1	1
131	дама это карнавального типа	1	1
132	знает что он смешон	1	1
133	роль как у достоевского	1	1
134	одну и ту же	1	1
135	площади заменой которой обычно	1	1
136	и в конце концов	1	1
137	на площади заменой которой	1	1
138	перелом или на площади	1	1
139	в творчестве которого сны	1	1
140	пространство он в сущности	1	1
141	в стихах и прозе	1	1
142	бы видим след смеха	1	1
143	что с точки зрения	1	1
144	пушкинским образом подмигивающей в	1	1
145	со смертью и убийством	1	1
146	европейской литературе нет писателя	1	1
147	не шевельнулась от ударов	1	1
148	где совершается кризис и	1	1
149	карнавального типа двойник старой	1	1
150	действительности но самого смеха	1	1
151	и сосредоточивает действие только	1	1
152	до минимума мы как	1	1
153	на пороге у дверей	2	1
154	перескакивает и сосредоточивает действие	1	1
155	всей европейской литературе нет	1	1
156	мы как бы видим	1	1
157	как бы видим след	1	1
158	только в двух точках	1	1
159	и перелом или на	1	1
160	обычно бывает гостиная зал	1	1
161	это карнавального типа двойник	1	1
