N	4gram	Bakhtin_Pr	Komedia
1	в то же время	8	16
2	один и тот же	1	3
3	в том числе и	13	3
4	состоит в том что	1	2
5	до сих пор в	1	2
6	к одному и тому	2	2
7	и в то же	3	2
8	мы имеем в виду	3	2
9	одному и тому же	2	2
10	и до сих пор	2	1
11	не что иное как	1	1
12	же время все эти	1	1
13	мы можем составить себе	1	1
14	до сих пор они	1	1
15	мы можем сказать что	1	1
16	не с точки зрения	1	1
17	и некоторые фрагменты но	1	1
18	путешествие в загробное царство	1	1
19	которую можно было бы	1	1
20	может быть даже и	1	1
21	различных точек зрения на	1	1
22	как и во всех	1	1
23	в собственном смысле слова	1	1
24	по самой своей природе	1	1
25	в одном из своих	1	1
26	в загробное царство и	1	1
27	то же время все	1	1
28	до сих пор еще	2	1
29	почти до самого конца	1	1
30	и во всех других	1	1
31	в каждом из них	2	1
32	и в конце концов	1	1
33	с точки зрения того	1	1
34	по отношению ко всем	1	1
35	мы имеем дело с	1	1
