N	3gram	Tiupa_Lite	KFilosof
1	по отношению к	4	22
2	не может быть	5	11
3	с точки зрения	4	10
4	единого и единственного	1	9
5	по отношению ко	2	4
6	отношению ко всему	2	3
7	на самом деле	1	3
8	между тем как	1	3
9	и в этом	1	3
10	то что я	1	2
11	в том что	15	2
12	той или иной	1	2
13	мира в его	1	2
14	тем не менее	4	2
15	в то же	12	2
16	в соответствии с	2	2
17	во всех этих	1	2
18	в своих границах	1	2
19	то ни было	1	2
20	а не в	1	2
21	бы то ни	1	2
22	то же время	12	2
23	быть не может	1	1
24	быть в жизни	1	1
25	в свою очередь	2	1
26	в конечном счете	8	1
27	во всяком случае	2	1
28	на то что	1	1
29	на задний план	1	1
30	в большинстве случаев	1	1
31	для себя а	1	1
32	не только от	1	1
33	на том что	1	1
34	участия в бытии	1	1
35	а не как	1	1
36	в себя и	2	1
37	это уже не	1	1
38	не отменяет а	1	1
39	из их смыслового	1	1
40	ту или иную	2	1
41	он не может	1	1
42	в том же	3	1
43	за собой и	1	1
44	для того чтобы	1	1
45	только в том	2	1
46	как и всякое	1	1
47	для эстетического субъекта	1	1
48	уже тем что	1	1
49	бы не было	1	1
50	ее и в	1	1
51	и пространства и	1	1
52	если бы я	1	1
53	не может стать	1	1
54	одного и того	1	1
55	не укоренен в	1	1
56	как это было	1	1
57	до сих пор	1	1
58	и не должно	1	1
59	или иной культурной	1	1
60	дело в том	2	1
61	но в то	1	1
62	мы никогда не	1	1
63	в лучшем случае	1	1
64	но может быть	1	1
65	такова же и	1	1
66	не подлежит сомнению	1	1
67	что в конечном	1	1
68	и тем самым	2	1
69	и в то	1	1
70	со мной как	1	1
71	лишь в момент	1	1
72	и то что	2	1
73	но и от	1	1
74	в зависимости от	1	1
75	и того же	1	1
76	не в одном	1	1
77	друг для друга	2	1
78	как бы два	1	1
79	во второй половине	1	1
80	к тому что	1	1
81	между прочим и	1	1
82	в этом последнем	1	1
83	я в мире	3	1
84	для нас как	1	1
85	в значительной степени	1	1
86	нет и не	1	1
87	пока еще не	1	1
88	мы не можем	1	1
89	в основе своей	1	1
