N	3gram	Bakhtin_Fr	slovoVRo
1	то же время	12	18
2	в то же	12	18
3	той или иной	1	15
4	с точки зрения	4	15
5	в той или	1	13
6	в большинстве случаев	9	11
7	с одной стороны	3	11
8	во всех его	3	10
9	более или менее	3	9
10	во всяком случае	1	8
11	в значительной степени	3	7
12	и в особенности	1	7
13	но в то	3	7
14	так и в	3	6
15	в одной плоскости	3	6
16	как мы сказали	1	6
17	но все же	1	6
18	с другой стороны	2	6
19	большей или меньшей	2	6
20	в том что	4	5
21	по отношению к	3	5
22	как мы уже	4	5
23	не только в	1	5
24	в этом отношении	3	5
25	одной стороны и	1	4
26	на первый план	2	4
27	можно прямо сказать	1	4
28	до сих пор	3	4
29	в романе и	1	4
30	в большей или	2	4
31	а также и	3	4
32	в свою очередь	3	4
33	в пределах того	1	4
34	таким образом в	2	4
35	или меньшей степени	1	4
36	в новое время	1	4
37	пределах того же	1	4
38	и в сущности	1	4
39	все эти формы	1	4
40	мы уже сказали	2	4
41	прямо сказать что	1	3
42	до известной степени	1	3
43	человека и его	1	3
44	в данном случае	1	3
45	по ту сторону	1	3
46	в связи с	2	3
47	и в истории	1	3
48	как и в	2	3
49	и не в	1	3
50	со всех сторон	2	3
51	и связанных с	1	3
52	как мы видели	4	3
53	выходит за пределы	1	3
54	в широком смысле	1	3
55	в другом случае	1	3
56	несколько слов о	1	3
57	в средние века	9	2
58	и в другом	1	2
59	таким образом на	1	2
60	то есть для	1	2
61	в языке как	1	2
62	имеет дело не	1	2
63	в первом случае	1	2
64	они как бы	1	2
65	в особенности на	1	2
66	и не могут	1	2
67	до некоторой степени	1	2
68	имеет дело с	1	2
69	нужно сказать что	3	2
70	и с другой	1	2
71	и связанные с	1	2
72	что он есть	1	2
73	и в том	1	2
74	и в этом	1	2
75	в том и	1	2
76	и в романе	2	2
77	дело не с	1	2
78	но по существу	2	2
79	том и в	1	2
80	но и в	2	2
81	о том что	4	2
82	в мировой литературе	1	2
83	а следовательно и	2	2
84	в то время	1	2
85	же время это	1	2
86	то есть от	1	2
87	не только изображает	1	2
88	же время и	1	2
89	мы не знаем	1	2
90	здесь в сущности	1	2
91	можно было бы	2	2
92	во всех этих	1	2
93	существенную роль в	1	2
94	в таком же	1	2
95	с самого начала	1	2
96	связанных с ними	1	2
97	конечно и в	1	2
98	же время в	1	2
99	мы уже говорили	12	2
100	и не только	1	2
101	мы видели что	1	1
102	именно здесь в	1	1
103	всех слов и	1	1
104	как раз на	1	1
105	неразрывной связи с	1	1
106	в меньшей степени	1	1
107	все то что	3	1
108	это как бы	1	1
109	наконец несколько слов	1	1
110	в литературе и	2	1
111	и на первый	1	1
112	в применении к	1	1
113	в той же	5	1
114	мы видим что	2	1
115	в себе все	2	1
116	xiv и xv	1	1
117	лишь абстрактный момент	1	1
118	в ту же	1	1
119	заложенные в них	1	1
120	но живое и	1	1
121	поэтому и в	1	1
122	с большей или	1	1
123	и ничем не	1	1
124	в xix веке	1	1
125	роман в письмах	1	1
126	есть не только	1	1
127	чем они были	1	1
128	из самых основных	1	1
129	до наших дней	2	1
130	до xix века	1	1
131	в том числе	4	1
132	в себя момент	1	1
133	в новом свете	1	1
134	с ним в	1	1
135	и все это	2	1
136	их удельный вес	1	1
137	в них и	1	1
138	с полной очевидностью	1	1
139	говорит о том	1	1
140	однако не в	1	1
141	вовсе не были	2	1
142	все новые и	2	1
143	конечно не в	2	1
144	рядом с этим	2	1
145	уже указывали что	2	1
146	и в более	1	1
147	по самому своему	1	1
148	именно потому что	1	1
149	а также в	1	1
150	мы уже указывали	2	1
151	объединять в себе	1	1
152	в особенности же	1	1
153	как мы видим	5	1
154	для правильного понимания	1	1
155	слова и образа	1	1
156	речь идет о	1	1
157	в нем самом	1	1
158	но и эти	1	1
159	один из древнейших	1	1
160	том числе и	2	1
161	один из этих	1	1
162	слов и выражений	3	1
163	сказать что в	1	1
164	и др все	1	1
165	и прежде всего	2	1
166	том что в	1	1
167	в высшие сферы	1	1
168	в этой роли	2	1
169	до настоящего времени	1	1
170	самому своему существу	1	1
171	и у него	1	1
172	в неразрывной связи	1	1
173	и др здесь	1	1
174	как бы вовсе	1	1
175	большинстве случаев в	2	1
176	от него и	1	1
177	самом же деле	1	1
178	но здесь в	1	1
179	в сущности и	1	1
180	на самом же	1	1
181	и в его	2	1
182	все дело в	1	1
183	и борьба с	1	1
184	все эти явления	1	1
185	в его целом	2	1
186	человеку и его	1	1
187	в сущности как	1	1
188	не является конечно	1	1
189	в последнем счете	1	1
190	нет места для	1	1
191	и в историческом	1	1
