N	3gram	Bakhtin_Pr	TeoriaLi
1	в том что	6	10
2	по отношению к	12	10
3	в то же	13	8
4	то же время	13	8
5	в отличие от	4	7
6	того или иного	1	6
7	с другой стороны	6	6
8	более или менее	4	6
9	не может быть	8	5
10	для того чтобы	1	5
11	так или иначе	1	5
12	в данном случае	2	5
13	в свою очередь	1	3
14	той или иной	1	3
15	с точки зрения	21	3
16	в этом смысле	12	3
17	имеем в виду	1	3
18	в том числе	1	3
19	тем не менее	2	3
20	можно сказать что	2	3
21	подобно тому как	3	3
22	в равной степени	1	3
23	тех или иных	1	3
24	мы имеем в	1	3
25	в связи с	1	3
26	с одной стороны	1	3
27	но он не	1	2
28	в противном случае	1	2
29	до известной степени	1	2
30	этой точки зрения	2	2
31	как и в	3	2
32	в самом деле	6	2
33	в таком случае	1	2
34	в отношении к	3	2
35	но в то	7	2
36	том числе и	1	2
37	в этом мире	1	2
38	и в форме	1	2
39	и в то	2	2
40	во всей его	2	2
41	том что он	5	2
42	не только не	2	2
43	тем или иным	1	2
44	то ни было	2	2
45	не могут быть	1	2
46	сама по себе	5	2
47	к тому что	1	2
48	бы то ни	3	2
49	в известном смысле	1	2
50	в значительной степени	1	2
51	может быть и	2	2
52	что он не	1	1
53	в художественном произведении	1	1
54	может быть это	1	1
55	чужой речи и	1	1
56	никогда не бывает	1	1
57	в той или	1	1
58	в этих случаях	2	1
59	и в жизни	1	1
60	искусства и в	1	1
61	в том и	2	1
62	но в отличие	1	1
63	отношение к своему	1	1
64	все то что	3	1
65	но прежде всего	1	1
66	и для него	1	1
67	человека и его	2	1
68	себе еще не	4	1
69	отношению к автору	1	1
70	иметь в виду	1	1
71	человека с человеком	1	1
72	по себе а	1	1
73	при условии что	1	1
74	к чужому слову	6	1
75	уст в уста	1	1
76	в известной степени	1	1
77	они ни были	1	1
78	в большинстве случаев	10	1
79	он не только	2	1
80	по крайней мере	2	1
81	заключается в том	1	1
82	и со всеми	1	1
83	входит в его	1	1
84	к нему как	1	1
85	о том что	2	1
86	в себе и	2	1
87	как бы в	6	1
88	в целом ряде	2	1
89	какой бы то	1	1
90	отношение между ними	1	1
91	не менее чем	1	1
92	таком случае это	1	1
93	не только к	1	1
94	ивана карамазова в	1	1
95	как один из	2	1
96	это и есть	1	1
97	с самим собою	2	1
98	но в таком	1	1
99	а в то	2	1
100	как впрочем и	1	1
101	и здесь остается	1	1
102	могут нести в	1	1
103	друг от друга	1	1
104	как более или	1	1
105	в настоящее время	3	1
106	не совпадает с	1	1
107	при этом не	1	1
108	одной стороны и	1	1
109	сознания а в	1	1
110	отношению к нему	2	1
111	к самому герою	1	1
112	как бы не	1	1
113	перед нами не	1	1
114	высказывания и в	1	1
115	несмотря на свою	1	1
116	может быть назван	1	1
117	точки зрения автора	1	1
118	дело в том	1	1
119	то что может	1	1
120	для него не	2	1
121	именно потому что	2	1
122	он и сам	1	1
123	и в частности	1	1
124	а между тем	1	1
125	как бы вбирает	1	1
126	в первом случае	1	1
127	в то время	2	1
128	по себе еще	4	1
129	он ни был	2	1
130	не была бы	2	1
131	в лучшем случае	2	1
132	ибо и в	1	1
133	и для автора	1	1
134	в зависимости от	5	1
135	я и мир	1	1
136	в его сознании	1	1
137	чего нет в	1	1
138	точно так же	1	1
139	так же как	1	1
140	видения мира и	1	1
141	собственного сознания а	1	1
142	авторской позиции и	1	1
143	в том или	1	1
144	по ту сторону	2	1
145	в этом случае	1	1
146	а в том	1	1
147	сознания при этом	1	1
148	к тому же	2	1
149	принадлежащих к различным	1	1
150	и по отношению	1	1
151	своей индивидуальности и	1	1
152	же время оно	2	1
153	речи и соответственно	1	1
154	и в пределах	1	1
155	нормативного сознания и	1	1
156	но не в	1	1
157	своими корнями в	1	1
158	самим собой как	1	1
159	жизни а не	1	1
160	не в одном	2	1
161	в своей жизни	1	1
162	в плоскости их	2	1
163	в романе достоевского	6	1
164	на первый взгляд	1	1
165	то же самое	1	1
166	не входит в	4	1
167	и в сущности	2	1
168	каждая из этих	1	1
169	та или иная	1	1
170	это возможно в	1	1
171	только то что	2	1
172	из уст в	1	1
173	его можно лишь	1	1
174	точки зрения и	1	1
175	а не только	1	1
176	таким образом и	2	1
177	является одним из	1	1
178	в ее составе	1	1
179	отношения к миру	1	1
180	в виду что	1	1
181	художественного творчества он	1	1
182	одно из условий	1	1
183	в полной мере	1	1
184	не во внешних	1	1
