N	3gram	Ircho_Kome	VLabPisa
1	и т д	4	16
2	в этом отношении	3	14
3	и т п	7	9
4	с другой стороны	6	8
5	по отношению к	5	7
6	более или менее	1	6
7	в том что	13	5
8	в зависимости от	1	5
9	в то же	5	5
10	то же время	5	5
11	в одном из	4	4
12	вместе с тем	4	4
13	в силу этого	3	4
14	в связи с	3	4
15	к тому что	3	4
16	большей или меньшей	1	3
17	для того чтобы	3	3
18	о том что	6	3
19	подобно тому как	1	3
20	в этой области	2	3
21	хотя бы в	1	3
22	во всяком случае	4	2
23	в чем же	1	2
24	этой точки зрения	1	2
25	как это видно	1	2
26	в том числе	4	2
27	нет никаких оснований	1	2
28	таким образом в	2	2
29	чуть ли не	2	2
30	до сих пор	3	2
31	это видно из	1	2
32	в конце концов	4	2
33	том числе и	1	2
34	не только в	1	2
35	из них не	1	2
36	в частности в	2	2
37	т е в	2	2
38	только в том	1	2
39	с одной стороны	5	2
40	можно было бы	3	2
41	после того как	3	2
42	так же как	1	1
43	что он не	2	1
44	сих пор не	1	1
45	в том же	1	1
46	с этим и	1	1
47	того или иного	1	1
48	да и сам	1	1
49	как будто бы	1	1
50	той или иной	1	1
51	того обстоятельства что	1	1
52	не обходится без	1	1
53	и опирается на	1	1
54	из действующих лиц	3	1
55	в применении к	1	1
56	у первого из	1	1
57	в какой мере	1	1
58	на то что	2	1
59	а вместе с	1	1
60	говорит ли это	1	1
61	но и в	2	1
62	одной из этих	1	1
63	и популярных в	1	1
64	как мы знаем	1	1
65	и мира в	1	1
66	в этом же	2	1
67	в этом смысле	2	1
68	как это было	1	1
69	по сравнению с	1	1
70	этом отношении представляет	1	1
71	в том случае	1	1
72	может быть даже	2	1
73	не заметить что	1	1
74	автор не пишет	1	1
75	т е из	1	1
76	другой стороны он	1	1
77	его т е	1	1
78	то время как	6	1
79	содержания и формы	1	1
80	и не слишком	1	1
81	во всех других	1	1
82	говоря уже о	4	1
83	как составная часть	1	1
84	с этой точки	1	1
85	составная часть в	1	1
86	то что в	1	1
87	может быть в	1	1
88	спустя три года	1	1
89	не один раз	1	1
90	как один из	1	1
91	как видно из	2	1
92	и во всех	1	1
93	именно к этому	1	1
94	у него в	1	1
95	в то время	8	1
96	а между тем	1	1
97	каждый из них	2	1
98	но ни в	1	1
99	не говоря уже	4	1
100	так или иначе	4	1
101	со всех сторон	1	1
102	хотя и не	1	1
103	чем отличается от	1	1
104	из многочисленных свидетельств	1	1
105	первого из них	1	1
106	не пишет для	1	1
107	другой стороны в	1	1
108	и в их	1	1
109	состоял в том	1	1
110	бросается в глаза	1	1
111	из этих элементов	1	1
112	по меньшей мере	2	1
113	по аналогии с	1	1
114	в соответствии с	2	1
115	в данном случае	1	1
116	все его герои	1	1
117	мало чем отличается	1	1
118	могут быть отнесены	1	1
119	к тому же	12	1
120	ли не все	1	1
121	дошедших до нас	4	1
122	же как и	1	1
123	на себе все	1	1
124	в новое время	2	1
125	то же самое	2	1
126	нашли отражение в	1	1
127	том случае если	1	1
128	следует отметить что	1	1
129	это вовсе не	1	1
130	но все же	1	1
131	одна из них	2	1
132	совершенно очевидно что	1	1
133	к этому же	1	1
134	имеем дело с	1	1
135	мы имеем дело	1	1
