N	2gram	Bakhtin_Pr	PoTuStor
1	может быть	43	17
2	и в	64	16
3	и пр	5	12
4	таким образом	15	9
5	в этом	33	9
6	прежде всего	16	9
7	мы можем	1	9
8	и только	3	9
9	совершенно не	5	8
10	точки зрения	31	8
11	и с	9	8
12	не может	26	8
13	и его	21	8
14	не только	26	7
15	сказать что	4	7
16	с его	11	7
17	и к	5	6
18	при этом	8	6
19	для него	23	6
20	самом деле	10	6
21	я и	2	6
22	и это	8	6
23	конечно не	4	6
24	с точки	21	6
25	что такое	2	5
26	ни в	5	5
27	все эти	13	5
28	еще не	10	5
29	сознание и	6	5
30	как бы	33	5
31	ту сторону	2	5
32	отношение к	4	5
33	в него	6	5
34	а потому	2	4
35	все что	4	4
36	и на	16	4
37	так как	9	4
38	все это	9	4
39	в его	30	4
40	художественного творчества	5	4
41	мысли и	6	4
42	так и	8	4
43	на самом	5	4
44	по ту	2	4
45	его в	8	4
46	и даже	5	4
47	и все	6	4
48	с ними	2	4
49	только в	13	4
50	и не	55	4
51	можно сказать	2	4
52	с самого	1	4
53	но и	26	4
54	хотя бы	4	4
55	и их	3	4
56	самого начала	2	4
57	в этой	5	4
58	как мы	13	4
59	в нем	28	4
60	с ее	1	4
61	в один	2	4
62	и ее	5	4
63	и наконец	7	4
64	но в	14	4
65	и вот	1	3
66	если б	2	3
67	до сих	9	3
68	в основном	2	3
69	к себе	6	3
70	в том	12	3
71	мы знаем	1	3
72	полагаем что	1	3
73	те же	3	3
74	с другими	8	3
75	с их	7	3
76	на этой	1	3
77	между ними	6	3
78	их в	8	3
79	отношения к	5	3
80	этом смысле	12	3
81	для сознания	1	3
82	учение о	1	3
83	и как	9	3
84	что в	11	3
85	и она	1	3
86	том что	8	3
87	большинстве случаев	10	3
88	вместе с	1	3
89	на этом	2	3
90	в этих	5	3
91	мира и	7	3
92	и художественного	2	3
93	сравнению с	1	3
94	и оно	1	3
95	во всех	4	3
96	но оно	1	3
97	быть это	2	3
98	во всяком	7	3
99	и потому	7	3
100	в основе	4	3
101	и притом	1	3
102	только как	2	3
103	по сравнению	1	3
104	по крайней	2	3
105	как это	1	3
106	только на	3	3
107	в одном	20	3
108	даже не	1	3
109	а в	10	3
110	в большинстве	11	3
111	то что	21	3
112	мы полагаем	1	3
113	на две	1	3
114	и др	7	3
115	могут быть	9	3
116	и есть	3	3
117	сих пор	9	3
118	в общем	1	3
119	жизни и	3	3
120	в области	1	3
121	всяком случае	4	3
122	во время	1	3
123	крайней мере	2	3
124	едва ли	1	3
125	в самом	17	2
126	мы видим	3	2
127	него только	1	2
128	что оно	2	2
129	и мы	2	2
130	к другим	1	2
131	они не	5	2
132	почти не	3	2
133	мы не	4	2
134	с этой	2	2
135	по всему	1	2
136	ни было	4	2
137	что это	2	2
138	на этих	1	2
139	ее в	3	2
140	и говорить	2	2
141	может иметь	1	2
142	для нас	2	2
143	и этим	5	2
144	но как	4	2
145	что и	7	2
146	сознания и	8	2
147	мир по	2	2
148	у него	11	2
149	не на	7	2
150	не могут	10	2
151	со всеми	2	2
152	в них	5	2
153	а на	1	2
154	существует только	1	2
155	поэтому и	4	2
156	и других	1	2
157	все то	5	2
158	не знает	6	2
159	всех его	1	2
160	что не	3	2
161	цельного человека	1	2
162	и действительно	1	2
163	здесь же	1	2
164	вообще не	2	2
165	между собою	5	2
166	в жизни	5	2
167	можно назвать	1	2
168	из тех	2	2
169	но ведь	3	2
170	является по	1	2
171	как и	25	2
172	что он	15	2
173	есть в	2	2
174	же как	2	2
175	не есть	4	2
176	только то	3	2
177	в своей	11	2
178	и так	2	2
179	в одно	4	2
180	сознания при	1	2
181	как с	1	2
182	по своему	1	2
183	себя и	5	2
184	только и	1	2
185	войти в	2	2
186	не менее	3	2
187	в каком	1	2
188	три основных	1	2
189	на первый	1	2
190	и вообще	1	2
191	с этим	3	2
192	при всей	2	2
193	всей их	1	2
194	к этому	1	2
195	оно не	3	2
196	внешний мир	1	2
197	не существует	1	2
198	между собой	2	2
199	что мы	1	2
200	это последнее	2	2
201	мы уже	4	2
202	связанных с	1	2
203	другими словами	1	2
204	да еще	1	2
205	из этих	3	2
206	на друга	2	2
207	ту же	2	2
208	на два	3	2
209	этих трех	3	2
210	а может	1	2
211	он не	14	2
212	он ищет	2	2
213	и т.п	1	2
214	кажется что	4	2
215	с помощью	2	2
216	в частности	1	2
217	не будет	1	2
218	оно и	2	2
219	и лишь	2	2
220	не существовало	1	2
221	но зато	2	2
222	есть и	5	2
223	за пределы	7	2
224	в начале	1	2
225	в мир	4	2
226	в пределах	24	2
227	почти совершенно	1	2
228	как не	9	2
229	так же	8	2
230	и всех	1	2
231	друг на	2	2
232	потому и	1	2
233	было бы	8	2
234	это главное	1	2
235	к ним	1	2
236	его целом	6	2
237	нет и	1	2
238	и о	7	2
239	к следующему	1	2
240	своей жизни	2	2
241	если мы	3	2
242	с нею	2	2
243	находится в	2	2
244	что на	1	2
245	о том	5	2
246	во всей	3	2
247	чрезвычайно характерно	1	2
248	один из	3	2
249	и по	1	2
250	с ним	8	2
251	но это	6	2
252	существовало бы	1	2
253	и для	7	2
254	для этого	3	2
255	того же	3	2
256	начале пути	1	2
257	нам кажется	7	2
258	то же	18	2
259	образов и	1	2
260	никогда не	11	2
261	быть даже	1	1
262	для самого	2	1
263	и ту	1	1
264	что было	6	1
265	к сожалению	2	1
266	мир не	1	1
267	хорошо и	1	1
268	во всем	1	1
269	бы то	3	1
270	они являются	1	1
271	на почве	5	1
272	от нее	2	1
273	я у	1	1
274	что они	1	1
275	так ли	2	1
276	целом это	1	1
277	в другой	4	1
278	образом и	4	1
279	или к	3	1
280	только из	1	1
281	характерно понимание	1	1
282	в более	1	1
283	на языке	2	1
284	в центре	1	1
285	которая была	1	1
286	даны в	3	1
287	и здесь	6	1
288	та же	1	1
289	не оставляет	1	1
290	зрения может	1	1
291	не позволяет	2	1
292	себя этим	1	1
293	мы и	2	1
294	этот мир	3	1
295	к их	1	1
296	проникнув в	1	1
297	мир в	4	1
298	же и	5	1
299	конечно есть	1	1
300	нельзя сказать	2	1
301	это первое	1	1
302	как нам	3	1
303	ведь именно	1	1
304	данном случае	2	1
305	построение не	1	1
306	в момент	1	1
307	она как	1	1
308	только что	1	1
309	на вопрос	2	1
310	сознания с	3	1
311	которая в	1	1
312	время и	1	1
313	за собою	3	1
314	него уже	1	1
315	с одной	1	1
316	уже в	5	1
317	на ее	1	1
318	ним и	3	1
319	мог бы	1	1
320	тогда когда	1	1
321	сознание в	3	1
322	мы отвлечемся	1	1
323	есть прежде	1	1
324	в состоянии	1	1
325	несколько иное	2	1
326	быть сделан	1	1
327	идеологического творчества	2	1
328	вот она	1	1
329	их находит	1	1
330	личной жизни	2	1
331	теперь в	1	1
332	мы имеем	1	1
333	еще более	2	1
334	любовь к	1	1
335	уже здесь	1	1
336	это и	5	1
337	несмотря на	7	1
338	этой же	1	1
339	но именно	3	1
340	что мир	1	1
341	освободиться от	1	1
342	истории его	1	1
343	нас здесь	1	1
344	и чрезвычайно	1	1
345	для всего	1	1
346	и сознание	1	1
347	следует что	1	1
348	на своей	1	1
349	мы чувствуем	1	1
350	хотя и	5	1
351	смысл и	1	1
352	этом отношении	3	1
353	позволила бы	1	1
354	художественной формы	1	1
355	он владеет	2	1
356	в сущности	10	1
357	он что	1	1
358	не должна	3	1
359	только не	2	1
360	в каких-либо	1	1
361	как раз	9	1
362	тон и	4	1
363	человек есть	1	1
364	б я	1	1
365	о нем	15	1
366	которая позволила	1	1
367	в качестве	1	1
368	и всегда	2	1
